24,3,2301(10)[3] 4904(45)[1] 9999(49)[6] ,起點值,0.3251566531,預期報酬,36273.1998230356,風險,111556.0745066732,最佳解實驗#,1,最佳解世代數,1530,最佳解出現次數,50
25,3,3231(42)[1] 9904(48)[2] 9999(49)[10] ,起點值,0.1648716432,預期報酬,12788.5015358156,風險,77566.4103707362,最佳解實驗#,1,最佳解世代數,1250,最佳解出現次數,50
26,12,1301(3)[1] 1326(5)[7] 2207(12)[32] 2308(15)[5] 2347(21)[28] 2382(25)[31] 2409(26)[13] 2412(27)[48] 3045(43)[49] 3231(44)[4] 4904(46)[51] 9999(50)[42] ,起點值,2.1850489415,預期報酬,35367.4637069758,風險,16186.1196948988,最佳解實驗#,3,最佳解世代數,1881,最佳解出現次數,5
27,7,1102(1)[1] 1303(4)[6] 1326(5)[5] 2207(12)[2] 2353(22)[13] 2890(38)[4] 4904(46)[33] ,起點值,1.1464819086,預期報酬,65847.4006968641,風險,57434.3129188462,最佳解實驗#,1,最佳解世代數,1572,最佳解出現次數,49
28,4,2308(15)[1] 2317(17)[6] 2454(28)[26] 2912(41)[4] ,起點值,0.2994562050,預期報酬,22877.1461609621,風險,76395.6324109043,最佳解實驗#,1,最佳解世代數,1493,最佳解出現次數,41
29,3,1101(0)[7] 2303(14)[5] 2886(37)[1] ,起點值,0.3105216001,預期報酬,25746.6445993031,風險,82914.1824380760,最佳解實驗#,2,最佳解世代數,1772,最佳解出現次數,19
30,3,2201(11)[6] 3045(43)[3] 4904(46)[1] ,起點值,0.2154840422,預期報酬,14171.8023715415,風險,65767.2940863807,最佳解實驗#,1,最佳解世代數,1843,最佳解出現次數,19
31,6,2201(11)[6] 2347(21)[3] 2412(27)[9] 3045(43)[35] 3673(47)[1] 9999(50)[31] ,起點值,0.4019090846,預期報酬,29964.5424314769,風險,74555.5240779090,最佳解實驗#,1,最佳解世代數,1455,最佳解出現次數,50
32,5,2105(10)[1] 2308(15)[2] 2886(37)[3] 2892(40)[7] 3045(43)[11] ,起點值,0.4094561501,預期報酬,30872.5164690382,風險,75398.8344399065,最佳解實驗#,10,最佳解世代數,1340,最佳解出現次數,7
33,4,1802(8)[18] 2454(28)[1] 3045(43)[6] 9999(50)[37] ,起點值,0.7632209101,預期報酬,36886.2187088274,風險,48329.6752257919,最佳解實驗#,1,最佳解世代數,1287,最佳解出現次數,33
