代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10383264.059999998658895
真實報酬,383264.059999998658895

夏普值報酬,0.029626406000000
夏普值風險,0.012303861633462
夏普值,2.407894926209746

二次趨勢線,-278.459544355546655 x^2 + 23644.413927111054363 x + 10000000.000000000000000
二次平均預期報酬,16961.384862577931926
風險,32383.542525719611149
二次平均趨勢值,0.523765577811843
一次趨勢線,18738.786209528199834 x + 10000000.000000000000000
一次預期報酬,18738.786209528199834
一次風險,36736.642842935150838
一次趨勢值,0.510084339759747
找到最佳解世代,1913
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](1),JPM[13](3),NKE[19](5),PG[21](6),TRV[22](15),V[25](2),
Stock#,GS[8](1),JPM[13](3),NKE[19](5),PG[21](6),TRV[22](15),V[25](2),
張數,10536,26123,30078,19287,14268,21296,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,81.520000000018626,18.600000000093132,44.020000000018626,76.330000000074506,20.919999999925494,41.039999999804422,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1644329.679999999934807,1662747.550000000046566,1651927.780000000027940,1673416.450000000186265,1669804.959999999962747,1667091.919999999925494,9969322.339999999850988
FS( 3 ),1668351.760000000009313,1689131.780000000027940,1646814.520000000018626,1658179.719999999972060,1683359.560000000055879,1676249.199999999720603,10022090.539999999105930
FS( 4 ),1665296.320000000065193,1686519.480000000214204,1648017.639999999897555,1659722.679999999934807,1681932.759999999776483,1692647.119999999878928,10034140.000000000000000
FS( 5 ),1707861.760000000009313,1731973.500000000000000,1679900.320000000065193,1654515.190000000176951,1691920.359999999869615,1706702.479999999748543,10172877.610000001266599
FS( 6 ),1715658.400000000139698,1726748.899999999906868,1683810.459999999962747,1654129.450000000186265,1685785.120000000111759,1702656.239999999757856,10168792.570000000298023
FS( 7 ),1722085.360000000102445,1720740.610000000102445,1677494.080000000074506,1658565.459999999962747,1686213.159999999916181,1704998.799999999813735,10170101.469999998807907
FS( 8 ),1708915.360000000102445,1705328.040000000037253,1658244.160000000149012,1664737.300000000046566,1686926.560000000055879,1696906.320000000065193,10121061.740000000223517
FS( 9 ),1726510.480000000214204,1710030.179999999934807,1706368.959999999962747,1672837.840000000083819,1692205.719999999739230,1706276.559999999823049,10214233.740000000223517
FS( 10 ),1720083.520000000018626,1706372.959999999962747,1697947.120000000111759,1678816.810000000288710,1690921.600000000093132,1704146.959999999729916,10198292.969999998807907
FS( 11 ),1744316.320000000065193,1716822.160000000149012,1707572.080000000074506,1678431.070000000065193,1688638.719999999739230,1723100.399999999674037,10258884.750000001862645
FS( 12 ),1745369.920000000158325,1716560.929999999934807,1710880.660000000149012,1669944.790000000037253,1669091.560000000055879,1720970.799999999813735,10232822.660000000149012
FS( 13 ),1745580.639999999897555,1721263.070000000065193,1710279.100000000093132,1677273.849999999860302,1675369.479999999981374,1721609.679999999934807,10251379.820000000298023
FS( 14 ),1749689.679999999934807,1722830.450000000186265,1720806.400000000139698,1686531.610000000102445,1681076.679999999934807,1709470.959999999729916,10270409.779999999329448
FS( 15 ),1751480.799999999813735,1720479.380000000121072,1771638.219999999972060,1684024.300000000046566,1676082.879999999888241,1713730.159999999683350,10317439.739999998360872
FS( 16 ),1751796.879999999888241,1718912.000000000000000,1764419.500000000000000,1675152.280000000027940,1668663.520000000018626,1726294.799999999813735,10305242.980000000447035
FS( 17 ),1749900.400000000139698,1718128.310000000055879,1793294.379999999888241,1685760.130000000121072,1664097.759999999776483,1720757.839999999850988,10331942.820000000298023
FS( 18 ),1741682.320000000065193,1722830.450000000186265,1811341.179999999934807,1684024.300000000046566,1670946.399999999906868,1709896.879999999888241,10340725.530000001192093
FS( 19 ),1748003.920000000158325,1725965.209999999962747,1781864.739999999990687,1695403.630000000121072,1680077.919999999925494,1710535.759999999543652,10341855.179999999701977
FS( 20 ),1748741.439999999944121,1729883.660000000149012,1774646.020000000018626,1689231.790000000037253,1671374.439999999944121,1715859.759999999543652,10329741.109999999403954
FS( 21 ),1758223.840000000083819,1748953.450000000186265,1763517.160000000149012,1703118.429999999934807,1690493.560000000055879,1722248.559999999823049,10386559.000000000000000
FS( 22 ),1784563.840000000083819,1763321.100000000093132,1744568.020000000018626,1688460.310000000288710,1690350.879999999888241,1728637.359999999869615,10399905.510000001639128
FS( 23 ),1785512.080000000074506,1763321.100000000093132,1733739.939999999944121,1684024.300000000046566,1693775.199999999720603,1722887.439999999944121,10383264.059999998658895
