代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10250007.789999999105930
真實報酬,250007.789999999105930

夏普值報酬,0.016300779000000
夏普值風險,0.018519896063429
夏普值,0.880176591929647

二次趨勢線,1476.146637177191224 x^2 + -14928.278060362303222 x + 10000000.000000000000000
二次平均預期報酬,19023.094594713093102
風險,124510.057441512661171
二次平均趨勢值,0.152783598253892
一次趨勢線,9969.395220026302923 x + 10000000.000000000000000
一次預期報酬,9969.395220026302923
一次風險,150375.247828284860589
一次趨勢值,0.066296783307120
找到最佳解世代,2341
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](2),UNH[23](1),
Stock#,NKE[19](2),UNH[23](1),
張數,101255,43706,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,28.099999999627471,33.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4960510.549999999813735,4932692.759999999776483,9893203.309999998658895
FS( 3 ),4937221.899999999441206,4974650.519999999552965,9911872.419999998062849
FS( 4 ),4984811.749999999068677,5017045.339999999850988,10001857.089999999850988
FS( 5 ),4906845.399999999441206,4933566.879999999888241,9840412.279999999329448
FS( 6 ),4933171.699999999254942,5021853.000000000000000,9955024.699999999254942
FS( 7 ),4886594.399999999441206,4915210.359999999403954,9801804.759999997913837
FS( 8 ),4826853.950000000186265,4926573.919999999925494,9753427.870000001043081
FS( 9 ),4912920.700000000186265,5020978.879999999888241,9933899.580000000074506
FS( 10 ),4851155.149999999441206,5037150.099999999627471,9888305.250000000000000
FS( 11 ),4882544.199999999254942,5180068.719999999739230,10062612.919999998062849
FS( 12 ),4887606.950000000186265,5139859.199999999254942,10027466.149999998509884
FS( 13 ),4937221.899999999441206,5243005.359999999403954,10180227.259999997913837
FS( 14 ),4977723.899999999441206,5277970.160000000149012,10255694.059999998658895
FS( 15 ),5163020.549999999813735,5207166.439999999478459,10370186.989999998360872
FS( 16 ),5136694.249999999068677,5202795.839999999850988,10339490.089999999850988
FS( 17 ),5096192.249999999068677,5162586.319999999366701,10258778.569999998435378
FS( 18 ),5012150.599999999627471,5093530.839999999850988,10105681.439999999478459
FS( 19 ),5029363.950000000186265,5080856.099999999627471,10110220.050000000745058
FS( 20 ),5056702.799999999813735,5157778.660000000149012,10214481.460000000894070
FS( 21 ),5108342.849999999627471,5288459.599999999627471,10396802.449999999254942
FS( 22 ),5079991.450000000186265,5170016.339999999850988,10250007.789999999105930
