代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10843977.579999998211861
真實報酬,843977.579999998211861

夏普值報酬,0.075697758000000
夏普值風險,0.024541733029325
夏普值,3.084450389446767

二次趨勢線,819.930973654494210 x^2 + 20627.984868866842589 x + 10000000.000000000000000
二次平均預期報酬,39486.397262920210778
風險,16459.005475668040162
二次平均趨勢值,2.399075528669969
一次趨勢線,34457.487291172561527 x + 10000000.000000000000000
一次預期報酬,34457.487291172561527
一次風險,49643.991334417412872
一次趨勢值,0.694091799731738
找到最佳解世代,2596
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,8
AAPL[0](16),INTC[11](6),MCD[15](13),MMM[16](10),NKE[19](9),TRV[22](8),UTX[24](17),WMT[28](7),
Stock#,AAPL[0](16),INTC[11](6),MCD[15](13),MMM[16](10),NKE[19](9),TRV[22](8),UTX[24](17),WMT[28](7),
張數,8126,32018,7963,5875,24098,10136,10631,15933,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,139.939999999944121,17.280000000027940,127.520000000018626,35.000000000000000,36.739999999990687,28.479999999981374,7.020000000018626,56.149999999906868,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1255444.419999999925494,1260886.120000000111759,1249203.700000000186265,1260633.750000000000000,1240360.800000000046566,1253851.679999999934807,1251382.030000000027940,1262268.409999999916181,10034030.910000000149012
FS( 3 ),1247318.419999999925494,1259605.400000000139698,1251990.750000000000000,1272090.000000000000000,1255060.579999999841675,1255878.880000000121072,1250531.550000000046566,1260197.119999999878928,10052672.699999999254942
FS( 4 ),1262839.079999999841675,1265688.820000000065193,1264651.920000000158325,1271208.750000000000000,1257470.379999999888241,1261352.320000000065193,1256272.290000000037253,1265295.679999999934807,10104779.240000000223517
FS( 5 ),1262107.739999999990687,1268890.620000000111759,1271022.320000000065193,1272090.000000000000000,1263253.900000000139698,1267738.000000000000000,1256910.150000000139698,1258763.149999999906868,10120775.880000000819564
FS( 6 ),1266495.780000000027940,1276254.760000000009313,1275163.080000000074506,1273030.000000000000000,1241565.699999999953434,1266521.679999999934807,1261162.550000000046566,1283140.639999999897555,10143334.190000001341105
FS( 7 ),1266983.340000000083819,1269530.979999999981374,1278826.060000000055879,1273441.250000000000000,1241806.679999999934807,1276556.320000000065193,1255740.739999999990687,1340499.439999999944121,10203384.810000000521541
FS( 8 ),1272265.239999999990687,1258324.679999999934807,1299290.969999999972060,1272031.250000000000000,1229757.679999999934807,1273211.439999999944121,1251807.270000000018626,1365992.239999999990687,10222680.769999999552965
FS( 9 ),1267795.939999999944121,1254802.699999999953434,1305342.850000000093132,1278376.250000000000000,1224938.079999999841675,1276657.679999999934807,1263182.439999999944121,1371887.449999999720603,10242983.389999998733401
FS( 10 ),1275840.679999999934807,1270171.340000000083819,1316968.830000000074506,1279140.000000000000000,1228552.780000000027940,1283955.600000000093132,1262119.340000000083819,1380172.609999999869615,10296921.179999999701977
FS( 11 ),1299324.819999999832362,1273052.959999999962747,1314102.149999999906868,1285015.000000000000000,1237951.000000000000000,1305748.000000000000000,1265202.330000000074506,1366151.569999999832362,10346547.830000000074506
FS( 12 ),1304119.159999999916181,1274013.500000000000000,1317207.719999999972060,1279316.250000000000000,1253132.739999999990687,1304024.880000000121072,1268923.179999999934807,1369975.489999999990687,10370712.919999999925494
FS( 13 ),1298349.699999999953434,1288741.780000000027940,1320154.030000000027940,1282371.250000000000000,1260362.139999999897555,1317911.200000000186265,1267009.600000000093132,1373799.409999999916181,10408699.109999999403954
FS( 14 ),1267633.419999999925494,1283618.900000000139698,1325967.020000000018626,1288070.000000000000000,1269760.359999999869615,1349839.599999999860302,1270305.209999999962747,1376667.350000000093132,10431861.859999997541308
FS( 15 ),1269827.439999999944121,1294505.020000000018626,1324374.420000000158325,1300290.000000000000000,1278676.620000000111759,1351360.000000000000000,1285613.850000000093132,1393237.669999999925494,10497885.019999999552965
FS( 16 ),1269177.359999999869615,1307312.219999999972060,1300803.939999999944121,1301641.250000000000000,1293135.419999999925494,1362813.679999999934807,1285188.610000000102445,1412516.600000000093132,10532589.079999998211861
FS( 17 ),1276734.539999999804422,1311154.380000000121072,1305103.959999999962747,1378603.750000000000000,1287351.900000000139698,1350042.320000000065193,1272962.959999999962747,1401841.489999999990687,10583795.300000000745058
FS( 18 ),1271127.599999999860302,1305711.320000000065193,1302715.060000000055879,1396405.000000000000000,1323980.859999999869615,1335750.560000000055879,1264989.709999999962747,1409807.989999999990687,10610488.099999999627471
FS( 19 ),1279253.599999999860302,1323961.580000000074506,1306139.149999999906868,1368557.500000000000000,1369044.120000000111759,1337372.320000000065193,1274982.850000000093132,1412038.609999999869615,10671349.730000000447035
FS( 20 ),1325084.239999999990687,1421616.479999999981374,1317128.089999999850988,1379132.500000000000000,1348560.820000000065193,1328452.639999999897555,1265840.189999999944121,1404868.760000000009313,10790683.719999998807907
FS( 21 ),1354906.659999999916181,1420655.939999999944121,1323817.010000000009313,1357277.500000000000000,1331933.199999999953434,1344264.800000000046566,1273919.750000000000000,1385430.500000000000000,10792205.359999999403954
FS( 22 ),1373758.979999999981374,1456516.100000000093132,1329231.850000000093132,1352401.250000000000000,1325185.760000000009313,1342541.679999999934807,1273175.580000000074506,1391166.379999999888241,10843977.579999998211861
