代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10689223.939999999478459
真實報酬,689223.939999999478459

夏普值報酬,0.060222394000000
夏普值風險,0.022261071384801
夏普值,2.705278329106731

二次趨勢線,591.347537080751408 x^2 + 23987.898669234069530 x + 10000000.000000000000000
二次平均預期報酬,36997.544485010606877
風險,53643.052914873929694
二次平均趨勢值,0.689698711662104
一次趨勢線,33518.220604047128290 x + 10000000.000000000000000
一次預期報酬,33518.220604047128290
一次風險,61883.026627099614416
一次趨勢值,0.541638352726738
找到最佳解世代,2480
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CAT[3](2),CSCO[4](3),CVX[5](7),DIS[6](6),DD[7](1),JPM[13](11),KO[14](19),MSFT[18](4),
Stock#,CAT[3](2),CSCO[4](3),CVX[5](7),DIS[6](6),DD[7](1),JPM[13](11),KO[14](19),MSFT[18](4),
張數,15695,45871,11928,11855,18325,20850,30727,30697,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,50.199999999953434,15.250000000000000,64.879999999888241,8.800000000046566,51.750000000000000,42.500000000000000,25.639999999897555,18.160000000149012,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1259416.999999999767169,1244495.479999999981374,1255844.719999999972060,1256638.800000000046566,1258979.250000000000000,1261884.500000000000000,1250000.000000000000000,1236800.290000000037253,10024060.039999999105930
FS( 3 ),1279035.749999999767169,1248623.869999999878928,1275406.639999999897555,1252252.449999999953434,1270340.749999999767169,1260842.000000000000000,1265056.229999999981374,1275478.510000000009313,10127036.199999999254942
FS( 4 ),1264125.500000000000000,1256421.939999999944121,1294730.000000000000000,1249881.450000000186265,1266309.250000000000000,1268765.000000000000000,1260139.909999999916181,1274864.570000000298023,10135237.620000001043081
FS( 5 ),1262556.000000000000000,1263761.300000000046566,1272305.359999999869615,1260906.600000000093132,1262277.750000000000000,1272935.000000000000000,1256452.669999999925494,1271487.900000000139698,10122682.580000000074506
FS( 6 ),1266322.800000000046566,1267430.979999999981374,1275764.479999999981374,1265767.149999999906868,1271990.000000000000000,1281692.000000000000000,1261368.989999999757856,1273329.719999999972060,10163666.120000001043081
FS( 7 ),1296457.199999999953434,1286238.089999999850988,1275287.359999999869615,1267901.050000000046566,1262827.500000000000000,1286487.500000000000000,1256145.399999999906868,1280697.000000000000000,10212041.099999999627471
FS( 8 ),1289237.500000000000000,1283485.830000000074506,1270396.879999999888241,1262684.850000000093132,1259712.250000000000000,1294202.000000000000000,1250614.540000000037253,1281924.880000000121072,10192258.730000002309680
FS( 9 ),1302735.199999999953434,1275687.760000000009313,1298308.399999999906868,1264463.100000000093132,1274372.250000000000000,1314426.500000000000000,1244776.409999999916181,1278548.210000000195578,10253317.830000000074506
FS( 10 ),1336636.399999999906868,1295871.000000000000000,1317035.359999999869615,1268256.700000000186265,1307723.750000000000000,1338820.999999999767169,1241396.439999999944121,1297273.380000000121072,10403014.030000001192093
FS( 11 ),1323766.500000000000000,1311925.850000000093132,1314053.359999999869615,1281534.300000000046566,1298378.000000000000000,1330481.000000000000000,1247541.839999999850988,1294203.679999999934807,10401884.529999999329448
FS( 12 ),1307129.800000000046566,1280733.570000000065193,1301528.959999999962747,1264818.750000000000000,1295995.750000000000000,1310256.500000000000000,1238323.739999999757856,1277627.300000000046566,10276414.370000001043081
FS( 13 ),1327847.199999999953434,1306421.330000000074506,1315604.000000000000000,1282956.900000000139698,1307174.000000000000000,1318596.500000000000000,1249385.459999999729916,1317226.429999999934807,10425211.820000000298023
FS( 14 ),1317174.600000000093132,1316054.239999999990687,1308924.319999999832362,1276555.200000000186265,1295812.500000000000000,1299206.000000000000000,1253072.699999999953434,1308938.240000000223517,10375737.799999998882413
FS( 15 ),1332084.850000000093132,1312843.270000000018626,1306180.879999999888241,1279637.500000000000000,1305341.500000000000000,1312341.500000000000000,1269358.010000000009313,1319682.190000000176951,10437469.699999999254942
FS( 16 ),1330829.250000000000000,1315595.530000000027940,1311787.039999999804422,1292203.800000000046566,1330996.500000000000000,1309422.500000000000000,1258296.290000000037253,1330426.140000000363216,10479557.050000000745058
FS( 17 ),1327847.199999999953434,1322017.469999999972060,1310594.239999999990687,1298486.949999999953434,1334111.750000000000000,1305252.500000000000000,1256452.669999999925494,1469483.550000000046566,10624246.330000001937151
FS( 18 ),1339304.549999999813735,1325228.439999999944121,1308566.479999999981374,1305955.600000000093132,1343274.250000000000000,1299831.500000000000000,1254609.049999999813735,1474395.070000000298023,10651164.940000001341105
FS( 19 ),1352959.199999999953434,1344952.969999999972060,1325504.239999999990687,1303110.400000000139698,1352436.750000000000000,1308588.500000000000000,1252765.429999999934807,1509082.679999999934807,10749400.169999999925494
FS( 20 ),1373362.699999999953434,1332567.800000000046566,1332780.319999999832362,1301806.350000000093132,1346939.250000000000000,1326102.500000000000000,1244161.869999999878928,1506012.980000000214204,10763733.769999999552965
FS( 21 ),1363631.799999999813735,1322476.179999999934807,1324788.559999999823049,1288884.400000000139698,1330996.500000000000000,1319013.500000000000000,1246312.760000000009313,1493120.240000000223517,10689223.939999999478459
