代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10300510.480000000447035
真實報酬,300510.480000000447035

夏普值報酬,0.021351048000000
夏普值風險,0.008534623989601
夏普值,2.501697558792919

二次趨勢線,74.196053931828317 x^2 + 10728.491851454458811 x + 10000000.000000000000000
二次平均預期報酬,12509.197145818337958
風險,24579.538826141033496
二次平均趨勢值,0.508927251821114
一次趨勢線,12035.605312210922420 x + 10000000.000000000000000
一次預期報酬,12035.605312210922420
一次風險,25010.311526009234512
一次趨勢值,0.481225725624993
找到最佳解世代,2207
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](2),MCD[15](1),PG[21](5),
Stock#,CAT[3](2),MCD[15](1),PG[21](5),
張數,29472,21639,36589,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,49.800000000279397,61.439999999944121,75.100000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3333038.280000000260770,3388512.450000000186265,3331137.660000000149012,10052689.390000000596046
FS( 3 ),3346890.120000000577420,3348047.520000000018626,3324551.640000000130385,10019490.280000001192093
FS( 4 ),3370173.000000000000000,3328572.419999999925494,3317599.729999999981374,10016346.150000000372529
FS( 5 ),3380782.919999999925494,3353457.270000000018626,3345773.260000000242144,10080014.449999999254942
FS( 6 ),3371941.320000000298023,3352375.319999999832362,3350895.720000000204891,10075213.360000001266599
FS( 7 ),3369878.280000000260770,3352375.319999999832362,3363335.979999999981374,10085590.580000000074506
FS( 8 ),3334806.600000000558794,3389161.620000000111759,3356749.959999999962747,10080719.179999999701977
FS( 9 ),3325965.000000000000000,3403876.140000000130385,3342114.360000000335276,10071956.500000000000000
FS( 10 ),3351310.919999999925494,3403010.579999999608845,3353456.950000000186265,10107779.449999999254942
FS( 11 ),3349542.600000000558794,3410800.620000000111759,3373580.900000000372529,10133925.120000001043081
FS( 12 ),3363394.440000000409782,3438498.540000000037253,3382362.260000000242144,10184256.240000000223517
FS( 13 ),3334511.880000000353903,3416643.149999999441206,3368824.330000000074506,10119980.359999999403954
FS( 14 ),3357500.040000000502914,3413830.079999999608845,3383459.930000000167638,10154791.050000000745058
FS( 15 ),3348069.000000000000000,3426813.480000000447035,3397729.640000000130385,10172613.120000001043081
FS( 16 ),3413496.839999999850988,3454511.399999999441206,3395168.410000000149012,10263177.649999998509884
FS( 17 ),3381961.800000000279397,3436551.029999999795109,3382362.260000000242144,10200876.089999999850988
FS( 18 ),3382845.960000000428408,3427895.429999999701977,3376142.129999999888241,10186884.519999999552965
FS( 19 ),3399645.000000000000000,3436767.419999999925494,3384923.490000000223517,10221336.910000000149012
FS( 20 ),3391392.839999999850988,3455160.569999999832362,3383459.930000000167638,10230014.339999999850988
FS( 21 ),3419096.520000000484288,3448885.259999999776483,3377971.580000000074506,10245954.359999999403954
FS( 22 ),3464483.400000000372529,3452131.109999999869615,3361506.530000000260770,10278122.039999999105930
FS( 23 ),3462715.080000000074506,3461652.270000000018626,3376142.129999999888241,10300510.480000000447035
