代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10781283.730000000447035
真實報酬,781283.730000000447035

夏普值報酬,0.069428373000000
夏普值風險,0.029625676643346
夏普值,2.343520245489310

二次趨勢線,701.122059385121020 x^2 + 27031.613549622736173 x + 10000000.000000000000000
二次平均預期報酬,43157.420915480513941
風險,95971.673825903722900
二次平均趨勢值,0.449689155091425
一次趨勢線,38857.205617918349162 x + 10000000.000000000000000
一次預期報酬,38857.205617918349162
一次風險,103992.929112156183692
一次趨勢值,0.373652381461541
找到最佳解世代,2057
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),UTX[24](3),WBA[27](1),
Stock#,HD[9](2),UTX[24](3),WBA[27](1),
張數,33710,30388,49185,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,88.200000000186265,73.280000000260770,65.550000000279397,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3309061.800000000279397,3333029.120000000577420,3283164.300000000279397,9925256.220000000670552
FS( 3 ),3323557.100000000093132,3372837.399999999906868,3314150.850000000093132,10010546.349999999627471
FS( 4 ),3335692.700000000186265,3379522.760000000242144,3339727.050000000745058,10054943.510000001639128
FS( 5 ),3358952.600000000093132,3381953.800000000279397,3374156.549999999813735,10115063.949999999254942
FS( 6 ),3385583.500000000465661,3435436.680000000167638,3331365.600000000558794,10152386.780000001192093
FS( 7 ),3358952.600000000093132,3494389.399999999906868,3373664.700000000651926,10227007.700000001117587
FS( 8 ),3335355.600000000093132,3449111.280000000260770,3352023.300000000745058,10136491.180000001564622
FS( 9 ),3380189.899999999906868,3465520.800000000279397,3591062.400000000372529,10436774.100000001490116
FS( 10 ),3363672.000000000000000,3408087.480000000447035,3664348.050000000279397,10436108.530000001192093
FS( 11 ),3372773.700000000186265,3400794.360000000335276,3612211.950000000186265,10385781.010000001639128
FS( 12 ),3271980.800000000279397,3440906.520000000484288,3560567.700000000186265,10273456.019999999552965
FS( 13 ),3335355.600000000093132,3461266.480000000447035,3540893.700000000186265,10337516.780000001192093
FS( 14 ),3393673.900000000372529,3554253.760000000242144,3658445.850000000093132,10606374.509999999776483
FS( 15 ),3436148.500000000465661,3512622.200000000186265,3601883.100000000558794,10550654.800000000745058
FS( 16 ),3489073.200000000186265,3559723.600000000093132,3653035.500000000000000,10701833.300000000745058
FS( 17 ),3497837.800000000279397,3561850.760000000242144,3763209.900000000372529,10822899.460000000894070
FS( 18 ),3491095.800000000279397,3552734.360000000335276,3771079.500000000465661,10814910.660000000149012
FS( 19 ),3497500.700000000186265,3562762.399999999906868,3760750.649999999906868,10821014.750000000000000
FS( 20 ),3523794.500000000000000,3551214.960000000428408,3776981.700000000651926,10851992.160000002011657
FS( 21 ),3515029.899999999906868,3531158.880000000353903,3740584.800000000279397,10786774.580000000074506
FS( 22 ),3538626.900000000372529,3494693.280000000260770,3747962.550000000279397,10781283.730000000447035
