代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10880946.910000000149012
真實報酬,880946.910000000149012

夏普值報酬,0.079394691000000
夏普值風險,0.027792572802834
夏普值,2.856687344609764

二次趨勢線,951.530103951620049 x^2 + 19112.171760264016484 x + 10000000.000000000000000
二次平均預期報酬,41948.894255102903116
風險,135989.358698642899981
二次平均趨勢值,0.308471888216365
一次趨勢線,35875.297846901041339 x + 10000000.000000000000000
一次預期報酬,35875.297846901041339
一次風險,148345.812108668877045
一次趨勢值,0.241835595740452
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PFE[20](2),
Stock#,CAT[3](1),PFE[20](2),
張數,50070,261233,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,9.799999999813735,0.379999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5055577.700000000186265,5013061.650000000372529,10068639.350000001490116
FS( 3 ),5219807.299999999813735,5164576.790000000037253,10384384.089999999850988
FS( 4 ),5159222.600000000558794,5135841.160000000149012,10295063.760000001639128
FS( 5 ),5113658.899999999441206,5122779.509999999776483,10236438.410000000149012
FS( 6 ),5213798.899999999441206,5141065.819999999366701,10354864.719999998807907
FS( 7 ),5125175.000000000000000,5135841.160000000149012,10261016.160000000149012
FS( 8 ),4926397.099999999627471,5057471.259999999776483,9983868.359999999403954
FS( 9 ),5008011.199999999254942,5086206.889999999664724,10094218.089999999850988
FS( 10 ),5112156.799999999813735,5175026.109999999403954,10287182.910000000149012
FS( 11 ),5044562.299999999813735,5161964.459999999962747,10206526.759999999776483
FS( 12 ),5027037.799999999813735,5041797.280000000260770,10068835.080000000074506
FS( 13 ),5163228.200000000186265,5193312.419999999925494,10356540.620000001043081
FS( 14 ),5260364.000000000000000,5271682.319999999366701,10532046.320000000298023
FS( 15 ),5387041.099999999627471,5219435.719999999739230,10606476.820000000298023
FS( 16 ),5346985.100000000558794,5208986.400000000372529,10555971.500000000000000
FS( 17 ),5345483.000000000000000,5203761.740000000223517,10549244.740000000223517
FS( 18 ),5426095.700000000186265,5303030.280000000260770,10729125.980000000447035
FS( 19 ),5462146.099999999627471,5316091.930000000633299,10778238.030000001192093
FS( 20 ),5477667.799999999813735,5295193.290000000037253,10772861.089999999850988
FS( 21 ),5534747.600000000558794,5323928.919999999925494,10858676.519999999552965
FS( 22 ),5584316.899999999441206,5313479.599999999627471,10897796.500000000000000
FS( 23 ),5575304.299999999813735,5305642.609999999403954,10880946.910000000149012
