代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11523090.899999998509884
真實報酬,1523090.899999998509884

夏普值報酬,0.143609090000000
夏普值風險,0.044310764413045
夏普值,3.240952664714627

二次趨勢線,-1752.743011836570986 x^2 + 114877.634631413820898 x + 10000000.000000000000000
二次平均預期報酬,76317.288371009257389
風險,88530.086039196932688
二次平均趨勢值,0.862049183338866
一次趨勢線,86629.939115070999833 x + 10000000.000000000000000
一次預期報酬,86629.939115070999833
一次風險,127281.080577924265526
一次趨勢值,0.680619136180528
找到最佳解世代,1994
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](29),INTC[11](2),TRV[22](5),WMT[28](4),
Stock#,AAPL[0](29),INTC[11](2),TRV[22](5),WMT[28](4),
張數,46720,121241,53418,48113,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,12.800000000279397,10.580000000074506,37.600000000093132,48.520000000018626,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485984.000000000465661,2572744.600000000093132,2568375.040000000037253,2544263.959999999962747,10171367.600000001490116
FS( 3 ),2524761.600000000093132,2649126.430000000167638,2647967.860000000335276,2533197.969999999739230,10355053.859999999403954
FS( 4 ),2518688.000000000000000,2670949.810000000055879,2681087.020000000018626,2538009.270000000018626,10408734.099999999627471
FS( 5 ),2468230.400000000372529,2702472.469999999739230,2617519.600000000093132,2583716.620000000111759,10371939.089999999850988
FS( 6 ),2594841.600000000093132,2774004.660000000149012,2729697.400000000372529,2637122.050000000279397,10735665.710000000894070
FS( 7 ),2671462.400000000372529,2787341.169999999925494,2693373.160000000149012,2632791.879999999888241,10784968.609999999403954
FS( 8 ),2684544.000000000465661,2803102.500000000000000,2747859.520000000018626,2655886.120000000111759,10891392.140000000596046
FS( 9 ),2726124.800000000279397,2835837.570000000298023,2694975.700000000186265,2647225.780000000260770,10904163.850000001490116
FS( 10 ),2816761.600000000093132,2849174.080000000074506,2738778.460000000428408,2668395.500000000000000,11073109.640000000596046
FS( 11 ),2803212.800000000279397,2822501.060000000055879,2648502.040000000037253,2635678.660000000149012,10909894.560000000521541
FS( 12 ),2818163.200000000186265,2837049.979999999981374,2748927.880000000353903,2689084.089999999850988,11093225.150000000372529
FS( 13 ),2660716.800000000279397,2938892.419999999925494,2905442.620000000111759,2706404.770000000018626,11211456.609999999403954
FS( 14 ),2638291.200000000186265,2862510.589999999850988,2912921.140000000130385,2712178.330000000074506,11125901.259999999776483
FS( 15 ),2621939.200000000186265,2913431.810000000055879,3063559.900000000372529,2738640.479999999981374,11337571.390000000596046
FS( 16 ),2708371.200000000186265,2981326.770000000018626,3077982.759999999776483,2731904.660000000149012,11499585.390000000596046
FS( 17 ),2654643.200000000186265,2986176.410000000149012,3009607.720000000204891,2728536.750000000000000,11378964.080000000074506
FS( 18 ),2673798.399999999906868,2994663.279999999795109,3071572.600000000093132,2760291.330000000074506,11500325.609999999403954
FS( 19 ),2700896.000000000465661,3046796.910000000149012,3140481.819999999832362,2781461.050000000279397,11669635.780000001192093
FS( 20 ),2702764.800000000279397,3028610.760000000242144,3177340.239999999757856,2749706.469999999739230,11658422.269999999552965
FS( 21 ),2701830.400000000372529,2975264.719999999739230,3116977.900000000372529,2729017.879999999888241,11523090.899999998509884
