代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10447024.099999999627471
真實報酬,447024.099999999627471

夏普值報酬,0.036002410000000
夏普值風險,0.013087239446443
夏普值,2.750955245170996

二次趨勢線,-476.963546607317312 x^2 + 32774.952960536029423 x + 10000000.000000000000000
二次平均預期報酬,23235.682028389681363
風險,28228.483282954468450
二次平均趨勢值,0.823128957921035
一次趨勢線,25803.947279352192709 x + 10000000.000000000000000
一次預期報酬,25803.947279352192709
一次風險,34878.669907702082128
一次趨勢值,0.739820278343069
找到最佳解世代,1925
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](5),IBM[10](6),MCD[15](7),MRK[17](11),PFE[20](9),WBA[27](16),
Stock#,HD[9](5),IBM[10](6),MCD[15](7),MRK[17](11),PFE[20](9),WBA[27](16),
張數,29347,8567,18716,38535,70086,46685,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,49.870000000111759,41.820000000065193,6.199999999953434,27.250000000000000,20.919999999925494,11.499999999767169,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1659329.250000000000000,1670949.500000000000000,1666853.159999999916181,1673987.649999999906868,1676478.040000000037253,1675069.299999999813735,10022670.900000000372529
FS( 3 ),1691904.420000000158325,1705731.520000000018626,1696985.919999999925494,1704815.650000000139698,1705914.159999999916181,1643323.500000000000000,10148679.169999999925494
FS( 4 ),1680459.090000000083819,1709158.320000000065193,1703536.519999999785796,1697494.000000000000000,1698905.559999999823049,1631185.399999999674037,10120742.890000000596046
FS( 5 ),1681632.969999999972060,1721580.469999999972060,1708777.000000000000000,1705586.349999999860302,1689093.520000000018626,1640522.399999999906868,10147196.709999999031425
FS( 6 ),1664611.709999999962747,1741455.910000000149012,1706905.399999999906868,1708283.800000000046566,1693999.540000000037253,1639121.849999999627471,10154382.209999999031425
FS( 7 ),1674296.219999999972060,1745739.410000000149012,1699793.319999999832362,1715990.800000000046566,1686990.939999999944121,1650793.099999999627471,10173607.789999999105930
FS( 8 ),1710979.969999999972060,1767927.940000000176951,1713830.319999999832362,1721000.349999999860302,1699606.419999999925494,1681605.199999999953434,10294954.199999999254942
FS( 9 ),1745022.490000000223517,1771783.090000000083819,1716263.399999999906868,1680923.949999999953434,1668067.719999999972060,1681605.199999999953434,10263669.849999999627471
FS( 10 ),1728881.639999999897555,1774695.870000000111759,1724498.439999999944121,1695567.250000000000000,1683486.639999999897555,1666666.000000000000000,10273799.839999999850988
FS( 11 ),1727414.290000000037253,1774010.510000000009313,1742091.479999999981374,1698650.050000000046566,1682785.780000000027940,1664798.599999999627471,10289754.709999999031425
FS( 12 ),1745315.959999999962747,1768527.630000000121072,1737412.479999999981374,1715220.099999999860302,1693298.679999999934807,1671801.349999999860302,10331580.199999999254942
FS( 13 ),1739740.030000000260770,1766385.880000000121072,1743401.600000000093132,1729863.399999999906868,1710820.179999999934807,1659663.249999999534339,10349878.339999999850988
FS( 14 ),1743848.610000000102445,1764672.479999999981374,1753882.559999999823049,1730634.099999999860302,1718529.639999999897555,1639121.849999999627471,10350693.239999998360872
FS( 15 ),1742968.200000000186265,1758761.250000000000000,1753882.559999999823049,1739497.149999999906868,1734649.419999999925494,1665265.449999999953434,10395028.029999999329448
FS( 16 ),1752652.709999999962747,1756105.479999999981374,1737973.959999999962747,1738341.100000000093132,1740957.159999999916181,1683939.449999999720603,10409973.859999999403954
FS( 17 ),1736511.860000000102445,1747709.820000000065193,1744337.399999999906868,1734487.599999999860302,1740256.299999999813735,1672268.199999999720603,10375575.179999999701977
FS( 18 ),1757348.230000000214204,1764072.790000000037253,1745647.519999999785796,1742965.299999999813735,1749367.479999999981374,1708682.499999999767169,10468087.820000000298023
FS( 19 ),1771728.260000000009313,1777265.969999999972060,1717199.199999999953434,1737955.750000000000000,1741658.020000000018626,1701212.899999999674037,10447024.099999999627471
