代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10750873.289999999105930
真實報酬,750873.289999999105930

夏普值報酬,0.066387329000000
夏普值風險,0.023999834809783
夏普值,2.766157747591596

二次趨勢線,464.146635338540364 x^2 + 25023.220353018416063 x + 10000000.000000000000000
二次平均預期報酬,36162.739601143381151
風險,38343.566587996763701
二次平均趨勢值,0.943124044503046
一次趨勢線,33200.101503237754514 x + 10000000.000000000000000
一次預期報酬,33200.101503237754514
一次風險,48022.883258032226877
一次趨勢值,0.691339196042228
找到最佳解世代,3152
找到最佳解實驗#,7
找到最佳解次數,17

stock[index](rank)
投資組合檔數,8
AAPL[0](8),CAT[3](5),DIS[6](4),NKE[19](13),UTX[24](1),VZ[26](7),WBA[27](9),WMT[28](18),
Stock#,AAPL[0](8),CAT[3](5),DIS[6](4),NKE[19](13),UTX[24](1),VZ[26](7),WBA[27](9),WMT[28](18),
張數,41862,21607,39632,73270,17949,46125,35290,23191,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,0.679999999934807,35.050000000046566,6.719999999972060,13.800000000046566,31.639999999897555,12.500000000000000,28.199999999953434,5.100000000093132,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1249162.760000000009313,1256482.100000000093132,1263474.879999999888241,1246336.500000000232831,1251974.389999999897555,1261992.500000000000000,1243647.800000000046566,1242810.790000000270084,10015881.720000000670552
FS( 3 ),1251674.479999999981374,1265557.040000000037253,1253963.199999999953434,1239009.500000000000000,1249282.039999999804422,1255996.250000000000000,1247882.599999999860302,1244434.159999999916181,10007799.269999999552965
FS( 4 ),1260046.879999999888241,1262964.200000000186265,1290820.959999999962747,1239009.500000000000000,1263102.770000000018626,1262453.750000000000000,1235178.199999999953434,1251391.460000000195578,10064967.720000000670552
FS( 5 ),1309444.040000000037253,1279817.659999999916181,1316581.760000000009313,1251465.399999999906868,1278897.889999999897555,1260608.750000000000000,1234825.300000000046566,1255565.840000000083819,10187206.639999998733401
FS( 6 ),1310281.280000000027940,1272903.419999999925494,1315392.799999999813735,1260257.800000000046566,1270102.879999999888241,1277675.000000000000000,1226002.800000000046566,1255797.750000000000000,10188413.730000000447035
FS( 7 ),1333724.000000000000000,1278737.310000000055879,1320148.640000000130385,1262455.900000000139698,1288410.859999999869615,1289667.500000000000000,1213651.300000000046566,1253710.560000000055879,10240506.070000002160668
FS( 8 ),1344608.119999999878928,1270094.510000000009313,1320941.279999999795109,1266119.400000000139698,1288590.350000000093132,1282748.750000000000000,1209416.500000000000000,1243738.430000000167638,10226257.339999999850988
FS( 9 ),1348375.699999999953434,1272687.350000000093132,1339964.640000000130385,1277842.600000000093132,1293077.600000000093132,1286900.000000000000000,1197770.799999999813735,1251623.370000000111759,10268242.060000002384186
