代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10748487.190000001341105
真實報酬,748487.190000001341105

夏普值報酬,0.066148719000000
夏普值風險,0.025035212934494
夏普值,2.642227137156067

二次趨勢線,1767.915150979565169 x^2 + -7383.683894777755995 x + 10000000.000000000000000
二次平均預期報酬,35046.279728731817158
風險,91922.885360438711359
二次平均趨勢值,0.381257394078873
一次趨勢線,23761.714935245196102 x + 10000000.000000000000000
一次預期報酬,23761.714935245196102
一次風險,143450.966918030375382
一次趨勢值,0.165643463029586
找到最佳解世代,2126
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),WBA[27](3),WMT[28](1),
Stock#,MCD[15](2),WBA[27](3),WMT[28](1),
張數,19999,46002,35310,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,99.670000000391155,28.080000000074506,69.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3303534.490000000689179,3380715.060000000055879,3359815.500000000000000,10044066.050000000745058
FS( 3 ),3293135.010000000242144,3394975.680000000167638,3321680.699999999720603,10009792.390000000596046
FS( 4 ),3315933.870000000577420,3373814.760000000242144,3326624.099999999627471,10016373.730000000447035
FS( 5 ),3331333.100000000093132,3335633.100000000093132,3294845.100000000093132,9961812.300000000745058
FS( 6 ),3355331.900000000372529,3411076.380000000353903,3343572.899999999906868,10109982.180000001564622
FS( 7 ),3396529.840000000782311,3383935.200000000186265,3427963.799999999813735,10208429.839999999850988
FS( 8 ),3367331.300000000279397,3326432.700000000186265,3381354.600000000093132,10075119.599999999627471
FS( 9 ),3259336.700000000186265,3261569.880000000353903,3316384.200000000186265,9837291.780000001192093
FS( 10 ),3276335.850000000093132,3381175.080000000074506,3347810.100000000093132,10005322.029999999329448
FS( 11 ),3273336.000000000000000,3437297.520000000018626,3312853.199999999720603,10023487.719999998807907
FS( 12 ),3281335.600000000093132,3509060.640000000130385,3383120.100000000093132,10173517.339999999850988
FS( 13 ),3335332.900000000372529,3541262.040000000037253,3409602.600000000093132,10286198.540000000968575
FS( 14 ),3336132.860000000335276,3522861.240000000223517,3395831.700000000186265,10254826.800000000745058
FS( 15 ),3349732.180000000633299,3558282.779999999795109,3430435.500000000000000,10338451.460000000894070
FS( 16 ),3332533.040000000502914,3572083.380000000353903,3430082.399999999906868,10334699.820000000298023
FS( 17 ),3542922.520000000484288,3554142.600000000093132,3453387.000000000000000,10550453.120000001043081
FS( 18 ),3546922.320000000298023,3413376.479999999981374,3444912.600000000093132,10405212.400000000372529
FS( 19 ),3506124.360000000335276,3484219.560000000055879,3502114.800000000279397,10492459.720000000670552
FS( 20 ),3466726.330000000540167,3506760.540000000037253,3493640.399999999906868,10467128.270000001415610
FS( 21 ),3464526.440000000409782,3533901.719999999739230,3524007.000000000000000,10522436.160000000149012
FS( 22 ),3569721.180000000633299,3624985.680000000167638,3616519.200000000186265,10811227.060000002384186
FS( 23 ),3537922.770000000484288,3669607.620000000111759,3540955.799999999813735,10748487.190000001341105
