代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10706179.980000000447035
真實報酬,706179.980000000447035

夏普值報酬,0.061917998000000
夏普值風險,0.027506350136324
夏普值,2.251043766007777

二次趨勢線,1585.593364418299188 x^2 + -14.788151694770931 x + 10000000.000000000000000
二次平均預期報酬,38039.452594344409590
風險,76579.209895240928745
二次平均趨勢值,0.496733416894504
一次趨勢線,27918.643885291403421 x + 10000000.000000000000000
一次預期報酬,27918.643885291403421
一次風險,124980.709438415578916
一次趨勢值,0.223383624646877
找到最佳解世代,1782
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),INTC[11](4),PG[21](2),XOM[29](3),
Stock#,BA[2](1),INTC[11](4),PG[21](2),XOM[29](3),
張數,21231,109505,32825,29069,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.750000000000000,0.850000000093132,48.000000000000000,66.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2501910.790000000037253,2506570.300000000279397,2492450.250000000000000,2502325.520000000018626,10003256.859999999403954
FS( 3 ),2446710.189999999944121,2474813.850000000093132,2489496.000000000000000,2485465.500000000000000,9896485.539999999105930
FS( 4 ),2488322.950000000186265,2497809.899999999906868,2495404.500000000000000,2509302.079999999608845,9990839.429999999701977
FS( 5 ),2477495.140000000130385,2500000.000000000000000,2483259.250000000000000,2497093.100000000093132,9957847.490000000223517
FS( 6 ),2450956.390000000130385,2461673.250000000000000,2505580.250000000000000,2485756.189999999944121,9903966.080000000074506
FS( 7 ),2430362.319999999832362,2473718.800000000279397,2525931.750000000000000,2475582.040000000037253,9905594.910000000149012
FS( 8 ),2524415.649999999906868,2529566.350000000093132,2556787.250000000000000,2501162.760000000242144,10111932.009999999776483
FS( 9 ),2504883.129999999888241,2547087.150000000372529,2576154.000000000000000,2527615.550000000279397,10155739.830000000074506
FS( 10 ),2536305.009999999776483,2567893.100000000093132,2584688.500000000000000,2546510.399999999906868,10235397.009999999776483
FS( 11 ),2509129.330000000074506,2561322.800000000279397,2547268.000000000000000,2522964.510000000242144,10140684.640000000596046
FS( 12 ),2554988.290000000037253,2595269.350000000093132,2571558.500000000000000,2538080.390000000130385,10259896.530000001192093
FS( 13 ),2596388.740000000223517,2619360.450000000186265,2607009.500000000000000,2543022.120000000111759,10365780.810000000521541
FS( 14 ),2601271.870000000111759,2614980.250000000000000,2606681.250000000000000,2545056.949999999720603,10367990.320000000298023
FS( 15 ),2578979.319999999832362,2643451.550000000279397,2592238.250000000000000,2535754.870000000111759,10350423.990000000223517
FS( 16 ),2600422.629999999888241,2635786.200000000186265,2638521.500000000000000,2557556.620000000111759,10432286.949999999254942
FS( 17 ),2739273.370000000111759,2599649.549999999813735,2655918.750000000000000,2546801.089999999850988,10541642.759999999776483
FS( 18 ),2738424.129999999888241,2604029.750000000000000,2646071.250000000000000,2570346.979999999981374,10558872.109999999403954
FS( 19 ),2785344.640000000130385,2654402.049999999813735,2626048.000000000000000,2557265.930000000167638,10623060.619999999180436
FS( 20 ),2757532.029999999795109,2667542.649999999906868,2668720.500000000000000,2564823.870000000111759,10658619.050000000745058
FS( 21 ),2752861.209999999962747,2685063.450000000186265,2706797.500000000000000,2585172.170000000391155,10729894.330000000074506
FS( 22 ),2753285.830000000074506,2682873.350000000093132,2675942.000000000000000,2581683.890000000130385,10693785.070000000298023
FS( 23 ),2770695.250000000000000,2679588.200000000186265,2650666.750000000000000,2605229.780000000260770,10706179.980000000447035
