代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11603374.530000001192093
真實報酬,1603374.530000001192093

夏普值報酬,0.151637453000000
夏普值風險,0.038781027678233
夏普值,3.910093725677904

二次趨勢線,-1448.319529670316570 x^2 + 100010.930843472568085 x + 10000000.000000000000000
二次平均預期報酬,68147.901190725606284
風險,124262.481924880354200
二次平均趨勢值,0.548418960695817
一次趨勢線,76669.409121111486456 x + 10000000.000000000000000
一次預期報酬,76669.409121111486456
一次風險,145434.984038739348762
一次趨勢值,0.527173084439499
找到最佳解世代,3152
找到最佳解實驗#,17
找到最佳解次數,1

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MMM[16](4),WBA[27](5),
Stock#,AAPL[0](1),MMM[16](4),WBA[27](5),
張數,214638,65811,125786,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,4.860000000335276,5.850000000093132,4.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3455676.660000000614673,3430733.280000000260770,3445282.540000000037253,10331693.480000000447035
FS( 3 ),3556556.520000000484288,3429417.060000000055879,3384905.260000000242144,10370879.839999999850988
FS( 4 ),3631679.820000000763685,3427442.729999999981374,3387420.979999999981374,10446544.530000001192093
FS( 5 ),3526507.200000000186265,3343204.649999999906868,3446540.399999999906868,10316253.250000000000000
FS( 6 ),3567288.420000000391155,3381375.030000000260770,3486791.919999999925494,10435456.370000001043081
FS( 7 ),3666021.899999999906868,3496544.280000000260770,3645282.280000000260770,10807849.460000000894070
FS( 8 ),3685339.320000000763685,3511022.700000000186265,3669181.620000000111759,10865544.640000000596046
FS( 9 ),3627387.060000000055879,3484040.189999999944121,3635219.399999999906868,10746647.650000000372529
FS( 10 ),3608069.640000000130385,3536030.879999999888241,3652829.439999999944121,10796930.959999999031425
FS( 11 ),3723974.160000000614673,3603816.209999999962747,3822640.540000000037253,11150431.910000000149012
FS( 12 ),3784072.800000000279397,3541295.760000000242144,3776099.719999999739230,11101469.280000001192093
FS( 13 ),3693924.840000000316650,3420203.520000000018626,3786162.600000000093132,10900291.960000000894070
FS( 14 ),3732559.680000000633299,3507074.040000000037253,3851571.320000000298023,11091206.040000000968575
FS( 15 ),3726120.540000000037253,3491937.510000000242144,3755973.959999999962747,10974033.010000001639128
FS( 16 ),3844171.440000000409782,3567620.160000000149012,3691823.100000000093132,11103615.700000001117587
FS( 17 ),3799097.459999999962747,3751232.850000000093132,3722011.739999999757856,11272343.050000000745058
FS( 18 ),3824854.020000000484288,3774266.700000000186265,3679244.500000000000000,11278366.220000000670552
FS( 19 ),3799097.459999999962747,3721617.899999999906868,3773584.000000000000000,11294300.359999999403954
FS( 20 ),3837732.300000000279397,3785454.570000000298023,3916980.040000000037253,11540167.910000000149012
FS( 21 ),3859196.100000000558794,3790719.450000000186265,3953457.979999999981374,11603374.530000001192093
