代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10733800.889999998733401
真實報酬,733800.889999998733401

夏普值報酬,0.064680089000000
夏普值風險,0.020937631007627
夏普值,3.089178951355089

二次趨勢線,-997.177750069589820 x^2 + 56687.554800720856292 x + 10000000.000000000000000
二次平均預期報酬,35746.822049259484629
風險,23769.246757474971673
二次平均趨勢值,1.503910595653091
一次趨勢線,41365.067421602783725 x + 10000000.000000000000000
一次預期報酬,41365.067421602783725
一次風險,52951.662805884370755
一次趨勢值,0.781185428930591
找到最佳解世代,2740
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
BA[2](8),CVX[5](1),HD[9](7),XOM[29](3),
Stock#,BA[2](8),CVX[5](1),HD[9](7),XOM[29](3),
張數,10402,22986,16580,32649,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,87.339999999850988,42.639999999664724,67.600000000093132,66.070000000298023,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2465361.339999999850988,2515630.479999999515712,2535647.000000000000000,2519915.890000000596046,10036554.710000000894070
FS( 3 ),2440604.580000000074506,2569647.579999999608845,2595832.399999999906868,2572154.290000000502914,10178238.850000001490116
FS( 4 ),2458183.959999999962747,2569877.439999999478459,2618547.000000000000000,2580316.540000000502914,10226924.939999999478459
FS( 5 ),2483876.899999999906868,2546431.719999999739230,2647230.399999999906868,2573460.250000000000000,10250999.269999999552965
FS( 6 ),2502704.520000000018626,2586427.359999999403954,2625842.200000000186265,2587499.320000000298023,10302473.399999998509884
FS( 7 ),2502600.500000000000000,2585737.779999999329448,2651375.399999999906868,2595661.570000000298023,10335375.250000000000000
FS( 8 ),2516643.199999999720603,2624584.119999999646097,2653199.200000000186265,2604476.800000000279397,10398903.320000000298023
FS( 9 ),2550969.799999999813735,2630790.339999999850988,2642588.000000000000000,2614924.480000000447035,10439272.620000001043081
FS( 10 ),2590185.339999999850988,2634927.819999999366701,2626339.600000000093132,2614271.500000000000000,10465724.259999999776483
FS( 11 ),2632625.500000000000000,2647799.979999999515712,2616557.399999999906868,2614924.480000000447035,10511907.359999999403954
FS( 12 ),2626176.259999999776483,2674233.879999999888241,2614070.399999999906868,2619168.850000000093132,10533649.389999998733401
FS( 13 ),2657382.259999999776483,2674923.459999999962747,2630982.000000000000000,2629943.020000000018626,10593230.740000000223517
FS( 14 ),2663415.419999999925494,2677222.059999999590218,2639437.800000000279397,2608394.680000000167638,10588469.959999999031425
FS( 15 ),2667680.239999999757856,2696070.579999999608845,2652370.200000000186265,2609374.150000000372529,10625495.169999999925494
FS( 16 ),2645523.979999999981374,2712160.779999999329448,2671105.600000000093132,2643982.090000000316650,10672772.449999999254942
FS( 17 ),2639074.739999999757856,2701357.359999999403954,2673758.399999999906868,2641043.680000000167638,10655234.179999999701977
FS( 18 ),2655509.899999999906868,2699748.339999999850988,2668121.199999999720603,2658674.140000000596046,10682053.580000000074506
FS( 19 ),2645003.879999999888241,2703655.959999999962747,2691996.400000000372529,2683487.380000000353903,10724143.620000001043081
FS( 20 ),2644379.759999999776483,2700897.639999999664724,2711892.399999999906868,2676631.090000000316650,10733800.889999998733401
