代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10783916.640000000596046
真實報酬,783916.640000000596046

夏普值報酬,0.069691664000000
夏普值風險,0.022171302542683
夏普值,3.143327455201828

二次趨勢線,-1681.041702834142598 x^2 + 74298.814397697395179 x + 10000000.000000000000000
二次平均預期報酬,40677.980341014546866
風險,31265.211758201647172
二次平均趨勢值,1.301062044793082
一次趨勢線,49729.743356275321275 x + 10000000.000000000000000
一次預期報酬,49729.743356275321275
一次風險,78680.677815706891124
一次趨勢值,0.632045182335070
找到最佳解世代,2014
找到最佳解實驗#,2
找到最佳解次數,47

stock[index](rank)
投資組合檔數,9
AAPL[0](10),BA[2](18),DIS[6](12),DD[7](4),IBM[10](13),JPM[13](2),NKE[19](6),VZ[26](19),WBA[27](15),
Stock#,AAPL[0](10),BA[2](18),DIS[6](12),DD[7](4),IBM[10](13),JPM[13](2),NKE[19](6),VZ[26](19),WBA[27](15),
張數,9366,7596,12086,17253,7184,20030,24175,23650,14836,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,22.420000000158325,120.040000000037253,45.020000000018626,17.799999999813735,33.560000000055879,46.899999999906868,28.000000000000000,34.000000000000000,42.959999999962747,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1111298.320000000298023,1119314.680000000167638,1137337.619999999878928,1152173.139999999897555,1138482.040000000037253,1136148.500000000000000,1128517.000000000000000,1131213.500000000000000,1109627.400000000139698,10164113.200000001117587
FS( 3 ),1119821.380000000121072,1118403.159999999916181,1224115.100000000093132,1135610.259999999776483,1127634.200000000186265,1129338.300000000046566,1118605.250000000000000,1130504.000000000000000,1107847.080000000074506,10211879.730000000447035
FS( 4 ),1123380.460000000195578,1128885.639999999897555,1240552.060000000055879,1174429.509999999776483,1134459.000000000000000,1137150.000000000000000,1128275.250000000000000,1131923.000000000000000,1109627.400000000139698,10308683.320000000298023
FS( 5 ),1113920.800000000279397,1124328.040000000037253,1233058.739999999990687,1189267.089999999850988,1125910.040000000037253,1159583.599999999860302,1109660.500000000000000,1166688.500000000000000,1129804.360000000102445,10352222.669999998062849
FS( 6 ),1121319.940000000176951,1121137.720000000204891,1229553.800000000046566,1185816.489999999990687,1118941.560000000055879,1158181.500000000000000,1102166.250000000000000,1161012.500000000000000,1133513.360000000102445,10331644.119999999180436
FS( 7 ),1142861.740000000223517,1124631.879999999888241,1231850.140000000130385,1191682.509999999776483,1139128.600000000093132,1171000.699999999953434,1121264.500000000000000,1170945.500000000000000,1137815.799999999813735,10431182.370000001043081
FS( 8 ),1169648.500000000000000,1123720.359999999869615,1231245.840000000083819,1181330.709999999729916,1136542.359999999869615,1169197.999999999767169,1103858.500000000000000,1178040.500000000000000,1179950.040000000037253,10473535.809999998658895
FS( 9 ),1184446.780000000027940,1125011.680000000167638,1251912.899999999906868,1207555.269999999785796,1138841.240000000223517,1193234.000000000000000,1112078.000000000000000,1171182.000000000000000,1186329.519999999785796,10570592.390000000596046
FS( 10 ),1190253.700000000186265,1137469.119999999878928,1259043.640000000130385,1214801.529999999795109,1152347.160000000149012,1195237.000000000000000,1112561.500000000000000,1166215.500000000000000,1168081.239999999990687,10596011.390000000596046
FS( 11 ),1197278.200000000186265,1138912.359999999869615,1258439.340000000083819,1217907.069999999832362,1156370.200000000186265,1203849.899999999906868,1110385.750000000000000,1163141.000000000000000,1157250.959999999962747,10603535.780000001192093
FS( 12 ),1205613.940000000176951,1148407.359999999869615,1255296.979999999981374,1213938.879999999888241,1165206.520000000018626,1189227.999999999767169,1131659.750000000000000,1157465.000000000000000,1154135.400000000139698,10620952.830000000074506
FS( 13 ),1203085.120000000111759,1168005.040000000037253,1255659.560000000055879,1220667.549999999813735,1177419.320000000065193,1186423.799999999813735,1132626.750000000000000,1156755.500000000000000,1143898.559999999823049,10644542.200000001117587
FS( 14 ),1212919.420000000158325,1202642.800000000046566,1263636.320000000065193,1217044.419999999925494,1175695.160000000149012,1197840.899999999906868,1147615.250000000000000,1158174.500000000000000,1144343.639999999897555,10719913.410000000149012
FS( 15 ),1245700.420000000158325,1175525.080000000074506,1268954.159999999916181,1216009.239999999990687,1170379.000000000000000,1188827.399999999906868,1148582.250000000000000,1153444.500000000000000,1166004.199999999953434,10733427.250000000000000
FS( 16 ),1237926.640000000130385,1172790.520000000018626,1265086.640000000130385,1223773.089999999850988,1184172.280000000260770,1218271.500000000000000,1153417.250000000000000,1164087.000000000000000,1192709.000000000000000,10812234.920000001788139
FS( 17 ),1206269.560000000055879,1162384.000000000000000,1275964.040000000037253,1224808.269999999785796,1169660.600000000093132,1224681.099999999860302,1170339.750000000000000,1163614.000000000000000,1187071.320000000065193,10784793.640000000596046
FS( 18 ),1221536.140000000130385,1152661.119999999878928,1263757.179999999934807,1210143.219999999739230,1155723.640000000130385,1233494.299999999813735,1172515.500000000000000,1167634.500000000000000,1211402.360000000102445,10788868.959999997168779
FS( 19 ),1203178.780000000260770,1145976.639999999897555,1257955.899999999906868,1209798.159999999916181,1163410.520000000018626,1227485.299999999813735,1173966.000000000000000,1169526.500000000000000,1232617.839999999850988,10783916.640000000596046
