代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10724410.659999998286366
真實報酬,724410.659999998286366

夏普值報酬,0.063741066000000
夏普值風險,0.023989204729653
夏普值,2.657072909182780

二次趨勢線,937.216419564638159 x^2 + 18175.116924074616691 x + 10000000.000000000000000
二次平均預期報酬,38793.878154496655043
風險,54166.758436376629106
二次平均趨勢值,0.716193460239333
一次趨勢線,33279.558290546607168 x + 10000000.000000000000000
一次預期報酬,33279.558290546607168
一次風險,72973.628551688540028
一次趨勢值,0.456049109124046
找到最佳解世代,1772
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,6
AXP[1](7),INTC[11](8),PFE[20](4),TRV[22](2),UNH[23](15),WMT[28](14),
Stock#,AXP[1](7),INTC[11](8),PFE[20](4),TRV[22](2),UNH[23](15),WMT[28](14),
張數,58173,86043,103906,37020,60916,33440,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,9.550000000046566,13.089999999850988,13.760000000009313,25.599999999860302,4.239999999990687,16.399999999906868,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1670156.380000000121072,1662363.849999999860302,1669783.179999999934807,1712570.799999999813735,1640472.119999999878928,1667000.399999999906868,10022350.730000000447035
FS( 3 ),1766141.830000000074506,1622784.069999999832362,1649001.979999999981374,1724417.199999999720603,1594785.119999999878928,1645264.399999999906868,10002398.599999999627471
FS( 4 ),1821406.179999999934807,1609017.189999999711290,1640689.500000000000000,1731821.199999999953434,1582601.919999999925494,1637907.599999999860302,10023447.589999999850988
FS( 5 ),1901684.919999999925494,1591808.589999999850988,1658353.520000000018626,1756994.799999999813735,1614887.400000000139698,1648273.999999999767169,10172007.229999998584390
FS( 6 ),1881324.370000000344589,1614179.770000000018626,1653158.219999999972060,1718494.000000000000000,1649000.360000000102445,1662653.199999999953434,10178813.919999999925494
FS( 7 ),1833040.780000000027940,1603854.609999999869615,1644845.739999999990687,1663334.199999999953434,1694687.360000000102445,1673353.999999999767169,10113120.689999999478459
FS( 8 ),1849910.950000000186265,1618481.919999999692664,1647962.919999999925494,1718864.199999999953434,1692859.879999999888241,1689070.799999999813735,10217154.670000001788139
FS( 9 ),1860382.090000000083819,1639132.239999999990687,1641728.560000000055879,1757364.999999999767169,1728191.160000000149012,1734883.600000000093132,10361686.650000000372529
FS( 10 ),1845257.109999999869615,1615040.199999999720603,1638611.379999999888241,1749220.599999999860302,1709307.199999999953434,1731873.999999999767169,10289314.489999998360872
FS( 11 ),1767887.020000000018626,1587506.439999999711290,1650041.040000000037253,1725527.799999999813735,1734891.919999999925494,1724517.199999999953434,10190375.419999998062849
FS( 12 ),1843511.920000000158325,1615040.199999999720603,1660431.640000000130385,1758845.799999999813735,1716617.119999999878928,1717494.799999999813735,10311945.480000000447035
FS( 13 ),1844093.649999999906868,1617621.489999999990687,1700954.980000000214204,1775504.799999999813735,1716617.119999999878928,1727861.199999999953434,10382657.239999998360872
FS( 14 ),1891795.510000000242144,1609877.619999999878928,1686408.140000000130385,1769951.800000000046566,1729409.479999999981374,1729198.800000000046566,10416645.349999999627471
FS( 15 ),1910992.600000000093132,1625365.359999999869615,1729009.600000000093132,1784389.599999999860302,1761694.960000000195578,1717494.799999999813735,10528950.920000001788139
FS( 16 ),1900521.460000000195578,1614179.770000000018626,1738361.140000000130385,1775134.599999999860302,1808600.280000000027940,1723848.399999999906868,10560649.650000000372529
FS( 17 ),1909247.410000000149012,1643434.389999999897555,1745634.560000000055879,1792904.199999999953434,1822610.960000000195578,1727861.199999999953434,10641696.719999998807907
FS( 18 ),1927862.770000000018626,1671828.579999999841675,1742517.379999999888241,1806231.399999999906868,1762304.119999999878928,1732208.399999999906868,10642956.649999998509884
FS( 19 ),1975564.630000000121072,1675270.299999999813735,1751868.919999999925494,1821409.599999999860302,1762913.280000000027940,1713482.000000000000000,10700512.729999998584390
FS( 20 ),1991853.070000000065193,1742383.839999999850988,1746673.619999999878928,1836587.799999999813735,1716617.119999999878928,1709803.600000000093132,10743923.049999998882413
FS( 21 ),1967420.410000000149012,1748406.849999999860302,1735243.959999999962747,1866574.000000000000000,1705652.239999999990687,1701109.199999999720603,10724410.659999998286366
