代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10802435.800000000745058
真實報酬,802435.800000000745058

夏普值報酬,0.071543580000000
夏普值風險,0.024348487456098
夏普值,2.938317221100365

二次趨勢線,-1626.324402130508133 x^2 + 71657.730457824131008 x + 10000000.000000000000000
二次平均預期報酬,37504.918013083464757
風險,72267.140316965902457
二次平均趨勢值,0.518976091327064
一次趨勢線,46667.867693379790580 x + 10000000.000000000000000
一次預期報酬,46667.867693379790580
一次風險,105725.337518057218404
一次趨勢值,0.441406656047886
找到最佳解世代,2287
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](2),NKE[19](5),WBA[27](3),
Stock#,DD[7](2),NKE[19](5),WBA[27](3),
張數,79878,136668,97238,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,24.060000000055879,0.479999999981374,14.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3332534.219999999739230,3337433.040000000037253,3332360.620000000111759,10002328.879999998956919
FS( 3 ),3354900.060000000055879,3337433.040000000037253,3458770.020000000018626,10151104.119999999180436
FS( 4 ),3371674.439999999944121,3363399.959999999962747,3485996.660000000149012,10221072.060000000521541
FS( 5 ),3446759.759999999776483,3368866.679999999701977,3510306.160000000149012,10325933.599999999627471
FS( 6 ),3481906.080000000540167,3351099.839999999850988,3534615.660000000149012,10367622.580000000074506
FS( 7 ),3532229.219999999739230,3396200.280000000260770,3563787.059999999590218,10492217.559999998658895
FS( 8 ),3543412.140000000130385,3389366.879999999888241,3565731.819999999832362,10498511.839999999850988
FS( 9 ),3529832.879999999888241,3325132.919999999925494,3550173.739999999757856,10405140.539999999105930
FS( 10 ),3573765.780000000260770,3311466.120000000111759,3574483.239999999757856,10459716.140000000596046
FS( 11 ),3619296.240000000223517,3348366.479999999981374,3611433.679999999701977,10579097.400000000372529
FS( 12 ),3730326.660000000149012,3379800.120000000111759,3651301.259999999776483,10761429.039999999105930
FS( 13 ),3688790.100000000093132,3341533.080000000074506,3621157.479999999981374,10651481.660000000149012
FS( 14 ),3695979.120000000111759,3382533.479999999981374,3651301.259999999776483,10729814.859999999403954
FS( 15 ),3639265.740000000223517,3591635.520000000018626,3530726.140000000130385,10761628.400000000372529
FS( 16 ),3660832.799999999813735,3608035.679999999701977,3546284.219999999739230,10815153.699999999254942
FS( 17 ),3687991.320000000298023,3508268.040000000037253,3564759.439999999478459,10761019.800000000745058
FS( 18 ),3653643.780000000260770,3536968.319999999832362,3552118.500000000000000,10742731.599999999627471
FS( 19 ),3596930.400000000372529,3485034.479999999981374,3553090.879999999888241,10635056.760000001639128
FS( 20 ),3677607.180000000167638,3526034.879999999888241,3598792.739999999757856,10802435.800000000745058
