代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10573977.320000000298023
真實報酬,573977.320000000298023

夏普值報酬,0.048697732000000
夏普值風險,0.015684375658161
夏普值,3.104856263415248

二次趨勢線,843.156389542045758 x^2 + 7519.516411249418525 x + 10000000.000000000000000
二次平均預期報酬,26068.956981174425891
風險,46967.061637131671887
二次平均趨勢值,0.555047645573054
一次趨勢線,21108.060084566594014 x + 10000000.000000000000000
一次預期報酬,21108.060084566594014
一次風險,64351.787274355243426
一次趨勢值,0.328010471481937
找到最佳解世代,1532
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,5
CVX[5](3),INTC[11](2),JNJ[12](1),MSFT[18](4),PG[21](9),
Stock#,CVX[5](3),INTC[11](2),JNJ[12](1),MSFT[18](4),PG[21](9),
張數,17415,81632,21843,52938,25813,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,61.399999999906868,16.000000000000000,54.919999999925494,2.359999999869615,8.760000000009313,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2008359.199999999720603,2008979.520000000018626,2038880.540000000037253,2033350.939999999711290,2025038.610000000102445,10114608.809999998658895
FS( 3 ),1992859.850000000093132,2000000.000000000000000,2022498.290000000037253,2017469.539999999804422,2008776.419999999925494,10041604.100000001490116
FS( 4 ),2000174.149999999906868,2010612.159999999916181,2029051.189999999944121,2019587.059999999823049,2014971.540000000037253,10074396.099999999627471
FS( 5 ),2004179.599999999860302,2011428.479999999981374,2038443.679999999701977,2006352.559999999823049,2023231.699999999953434,10083636.019999999552965
FS( 6 ),2017415.000000000000000,2027754.879999999888241,2041283.270000000018626,2002117.519999999785796,2027103.650000000139698,10115674.320000000298023
FS( 7 ),1994253.050000000046566,2018775.360000000102445,2042156.989999999757856,2012705.120000000111759,2037945.110000000102445,10105835.630000000819564
FS( 8 ),2014106.149999999906868,2021224.320000000065193,2044559.719999999739230,2025939.620000000111759,2045430.879999999888241,10151260.689999999478459
FS( 9 ),1993208.149999999906868,2005714.239999999990687,2031453.919999999925494,2005823.179999999934807,2044140.229999999981374,10080339.719999998807907
FS( 10 ),1987112.899999999906868,2000000.000000000000000,2027303.750000000000000,1995764.959999999962747,2038719.500000000000000,10048901.109999999403954
FS( 11 ),2004005.449999999720603,2016326.399999999906868,2051767.910000000149012,2014293.259999999776483,2060918.680000000167638,10147311.699999999254942
FS( 12 ),2024380.999999999767169,2026122.239999999990687,2051986.339999999850988,2093700.259999999776483,2059111.770000000018626,10255301.609999999403954
FS( 13 ),2006269.399999999906868,2042448.639999999897555,2044341.290000000037253,2078877.620000000111759,2033556.900000000139698,10205493.849999999627471
FS( 14 ),2011668.050000000046566,2075917.760000000009313,2055918.080000000074506,2134991.899999999906868,2021682.919999999925494,10300178.710000000894070
FS( 15 ),2013757.849999999860302,2054693.440000000176951,2095453.910000000149012,2125992.439999999478459,2010325.199999999953434,10300222.839999999850988
FS( 16 ),2017589.149999999906868,2050611.840000000083819,2079508.520000000018626,2143991.359999999869615,2046979.659999999916181,10338680.529999999329448
FS( 17 ),2039183.750000000000000,2078366.719999999972060,2127126.259999999776483,2135521.280000000260770,2060144.290000000037253,10440342.300000000745058
FS( 18 ),2049981.049999999813735,2071836.159999999916181,2119918.069999999832362,2106405.379999999888241,2052142.260000000009313,10400282.919999999925494
FS( 19 ),2049284.449999999953434,2066121.919999999925494,2124941.959999999962747,2083642.039999999804422,2056014.210000000195578,10380004.580000000074506
FS( 20 ),2063738.899999999906868,2091427.840000000083819,2128436.839999999850988,2133403.759999999776483,2058853.640000000130385,10475860.980000000447035
FS( 21 ),2070879.049999999813735,2106937.919999999925494,2145692.810000000055879,2169930.979999999981374,2080536.559999999823049,10573977.320000000298023
