代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10891730.540000000968575
真實報酬,891730.540000000968575

夏普值報酬,0.080473054000000
夏普值風險,0.034716405358927
夏普值,2.318012281744108

二次趨勢線,3780.232576915363097 x^2 + -37629.079861864331178 x + 10000000.000000000000000
二次平均預期報酬,49316.269407189014601
風險,69152.541611945431214
二次平均趨勢值,0.713151942902271
一次趨勢線,26130.842935441378359 x + 10000000.000000000000000
一次預期報酬,26130.842935441378359
一次風險,226737.531042263435666
一次趨勢值,0.115247100095531
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MMM[16](2),NKE[19](23),UNH[23](5),WBA[27](7),WMT[28](10),
Stock#,MMM[16](2),NKE[19](23),UNH[23](5),WBA[27](7),WMT[28](10),
張數,32927,152555,79491,68166,41347,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,14.020000000018626,3.950000000186265,6.439999999944121,9.560000000055879,45.610000000102445,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1983865.770000000018626,1948131.300000000046566,1900636.250000000000000,1956373.760000000009313,1976018.739999999990687,9765025.820000000298023
FS( 3 ),1997695.110000000102445,1980167.850000000325963,1914944.629999999888241,2011588.220000000204891,1973537.919999999925494,9877933.730000000447035
FS( 4 ),1934804.540000000037253,1952707.950000000186265,2000794.910000000149012,1967280.320000000065193,1978086.090000000316650,9833673.810000000521541
FS( 5 ),1943365.560000000055879,1964912.350000000325963,1961049.410000000149012,2028629.720000000204891,2000000.000000000000000,9897957.040000000968575
FS( 6 ),1945670.450000000186265,1948131.300000000046566,1982511.979999999981374,2002726.639999999897555,1988009.370000000111759,9867049.740000000223517
FS( 7 ),1968719.350000000093132,1957284.600000000093132,1961049.410000000149012,1965917.000000000000000,1966922.400000000139698,9819892.759999999776483
FS( 8 ),1991768.250000000000000,1966437.900000000372529,1988076.350000000093132,1998636.680000000167638,1977672.620000000111759,9922591.800000000745058
FS( 9 ),1996378.030000000027940,1980167.850000000325963,1968998.510000000009313,2004089.959999999962747,1990076.720000000204891,9939711.070000000298023
FS( 10 ),2041488.020000000018626,2018306.600000000325963,1980127.250000000000000,2044307.899999999906868,2007442.459999999962747,10091672.230000000447035
FS( 11 ),2087585.820000000065193,2028985.450000000186265,2007154.189999999944121,2003408.300000000046566,2005788.580000000074506,10132922.339999999850988
FS( 12 ),2071780.860000000102445,2000000.000000000000000,1994435.629999999888241,2032719.680000000167638,2004961.640000000130385,10103897.810000000521541
FS( 13 ),2102073.700000000186265,2015255.500000000232831,1974562.879999999888241,2049761.180000000167638,2018606.150000000139698,10160259.410000000149012
FS( 14 ),2113927.419999999925494,1986270.050000000046566,2034181.129999999888241,2042262.920000000158325,2020260.030000000027940,10196901.549999998882413
FS( 15 ),2129403.109999999869615,1964912.350000000325963,2066772.439999999944121,2031356.360000000102445,2033077.600000000093132,10225521.860000001266599
FS( 16 ),2286135.630000000353903,1951182.400000000139698,2150237.990000000223517,2027266.399999999906868,2016125.330000000074506,10430947.750000000000000
FS( 17 ),2285806.359999999869615,1989321.150000000139698,2171700.560000000055879,2073619.280000000260770,2023567.790000000037253,10544015.140000000596046
FS( 18 ),2301940.589999999850988,1996948.900000000139698,2195547.859999999869615,2070210.980000000214204,2024808.199999999953434,10589456.529999999329448
FS( 19 ),2300952.779999999795109,2018306.600000000325963,2311604.719999999739230,2062031.060000000055879,2022740.850000000093132,10715636.009999999776483
FS( 20 ),2262757.459999999962747,2073226.400000000139698,2258345.750000000000000,2096114.060000000055879,2041347.000000000000000,10731790.669999999925494
FS( 21 ),2301611.320000000298023,2138825.050000000279397,2233703.540000000037253,2113837.220000000204891,2066568.669999999925494,10854545.800000000745058
FS( 22 ),2322026.060000000055879,2160182.750000000000000,2230523.899999999906868,2116563.860000000335276,2062433.970000000204891,10891730.540000000968575
