代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10618149.560000000521541
真實報酬,618149.560000000521541

夏普值報酬,0.053114956000000
夏普值風險,0.018608061760383
夏普值,2.854405616445381

二次趨勢線,563.276920624207605 x^2 + 20653.354888666392071 x + 10000000.000000000000000
二次平均預期報酬,32482.170221774758829
風險,20766.761954161585891
二次平均趨勢值,1.564142271841540
一次趨勢線,29308.585620209112676 x + 10000000.000000000000000
一次預期報酬,29308.585620209112676
一次風險,33847.388833689510648
一次趨勢值,0.865903888900205
找到最佳解世代,2308
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,9
AAPL[0](14),AXP[1](5),JNJ[12](1),MCD[15](15),MSFT[18](18),UNH[23](7),VZ[26](2),WBA[27](3),WMT[28](17),
Stock#,AAPL[0](14),AXP[1](5),JNJ[12](1),MCD[15](15),MSFT[18](18),UNH[23](7),VZ[26](2),WBA[27](3),WMT[28](17),
張數,18066,17814,14486,11612,39753,20760,23782,26890,15488,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,52.000000000000000,51.820000000065193,34.800000000046566,74.839999999850988,14.650000000139698,35.800000000046566,15.959999999962747,16.199999999953434,1.880000000121072,
FS( 1 ),1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,10000000.000000000000000
FS( 2 ),1084192.659999999916181,1120374.280000000027940,1118354.000000000000000,1104027.679999999701977,1119061.600000000093132,1106959.000000000000000,1120385.979999999981374,1123211.500000000000000,1134652.760000000242144,10031220.459999999031425
FS( 3 ),1112736.940000000176951,1142285.500000000232831,1125017.560000000055879,1112620.559999999823049,1127012.200000000186265,1110695.800000000046566,1134179.539999999804422,1094977.000000000000000,1141777.239999999990687,10101303.340000001713634
FS( 4 ),1098645.459999999962747,1151726.920000000158325,1121106.340000000083819,1124232.559999999823049,1116676.420000000158325,1112979.400000000139698,1124428.919999999925494,1074540.599999999860302,1136511.320000000065193,10060848.939999999478459
FS( 5 ),1111291.659999999916181,1150123.660000000149012,1126321.300000000046566,1127483.919999999925494,1118664.070000000065193,1116923.800000000046566,1129185.319999999832362,1079111.899999999906868,1135582.040000000037253,10094688.670000001788139
FS( 6 ),1114182.219999999972060,1152617.620000000111759,1132695.139999999897555,1146295.359999999869615,1113098.650000000139698,1117131.400000000139698,1140600.679999999934807,1092825.800000000046566,1131090.520000000251457,10140538.390000000596046
FS( 7 ),1130080.300000000046566,1166868.820000000065193,1136316.639999999897555,1148385.519999999785796,1107930.760000000242144,1125435.400000000139698,1137033.380000000121072,1110035.399999999906868,1130316.120000000111759,10192403.339999999850988
