代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10498886.519999999552965
真實報酬,498886.519999999552965

夏普值報酬,0.041188652000000
夏普值風險,0.013738082254038
夏普值,2.998136947964078

二次趨勢線,-1798.657274460292228 x^2 + 59654.875557981198654 x + 10000000.000000000000000
二次平均預期報酬,20084.415519854774175
風險,57038.724419225902238
二次平均趨勢值,0.352118945932896
一次趨勢線,30667.212971911871136 x + 10000000.000000000000000
一次預期報酬,30667.212971911871136
一次風險,109818.920975177738001
一次趨勢值,0.279252543182823
找到最佳解世代,3071
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](5),PG[21](1),WMT[28](3),
Stock#,DIS[6](5),PG[21](1),WMT[28](3),
張數,33548,45382,40165,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.720000000204891,25.100000000093132,39.650000000372529,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3362855.240000000223517,3366461.860000000335276,3430933.950000000651926,10160252.050000000745058
FS( 3 ),3352790.840000000316650,3356931.640000000130385,3398801.950000000651926,10108525.430000001564622
FS( 4 ),3418880.399999999906868,3374176.799999999813735,3396392.050000000279397,10189450.250000000000000
FS( 5 ),3437667.280000000260770,3438165.420000000391155,3412056.400000000372529,10287890.100000001490116
FS( 6 ),3488324.760000000242144,3502607.860000000335276,3388359.050000000279397,10379292.670000001788139
FS( 7 ),3500737.520000000018626,3518491.560000000055879,3385949.150000000372529,10405179.230000000447035
FS( 8 ),3500066.560000000055879,3505330.779999999795109,3377916.150000000372529,10383314.490000000223517
FS( 9 ),3566491.600000000093132,3470386.640000000130385,3377514.500000000465661,10414393.740000000223517
FS( 10 ),3648348.720000000204891,3448603.279999999795109,3365465.000000000465661,10462418.000000000000000
FS( 11 ),3651703.520000000018626,3511684.259999999776483,3361850.150000000372529,10525238.929999999701977
FS( 12 ),3591652.600000000093132,3441795.980000000447035,3333734.650000000372529,10367184.230000000447035
FS( 13 ),3559446.520000000018626,3464033.160000000149012,3358235.300000000279397,10381715.980000000447035
FS( 14 ),3594671.920000000391155,3442249.799999999813735,3358235.300000000279397,10395158.020000001415610
FS( 15 ),3552401.440000000409782,3469025.180000000167638,3382334.300000000279397,10403761.920000001788139
FS( 16 ),3567498.040000000502914,3513953.360000000335276,3406834.950000000186265,10488287.350000001490116
FS( 17 ),3504092.320000000298023,3530290.880000000353903,3473107.200000000186265,10507491.400000002235174
FS( 18 ),3497718.200000000186265,3539821.100000000093132,3453426.350000000558794,10490966.650000002235174
FS( 19 ),3487653.799999999813735,3525752.680000000167638,3489976.500000000465661,10503383.980000000447035
FS( 20 ),3514827.680000000167638,3542090.200000000186265,3448606.550000000279397,10505525.430000001564622
FS( 21 ),3516169.600000000093132,3542544.020000000018626,3440171.900000000372529,10498886.519999999552965
