代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10592507.250000000000000
真實報酬,592507.250000000000000

夏普值報酬,0.050550725000000
夏普值風險,0.021911578736589
夏普值,2.307032533241787

二次趨勢線,295.349026141192098 x^2 + 25644.079097688765614 x + 10000000.000000000000000
二次平均預期報酬,32437.106698936175235
風險,57757.613759790423501
二次平均趨勢值,0.561607458954930
一次趨勢線,30625.632671936808038 x + 10000000.000000000000000
一次預期報酬,30625.632671936808038
一次風險,60171.181133283367672
一次趨勢值,0.508975095637543
找到最佳解世代,3196
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
CVX[5](2),MSFT[18](1),PG[21](13),VZ[26](19),
Stock#,CVX[5](2),MSFT[18](1),PG[21](13),VZ[26](19),
張數,36331,100482,44154,89094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,63.890000000130385,7.840000000316650,0.520000000018626,22.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2475658.229999999981374,2508038.560000000521541,2505740.020000000018626,2490199.660000000149012,9979636.470000000670552
FS( 3 ),2521071.979999999981374,2475884.320000000298023,2502649.240000000223517,2495545.300000000279397,9995150.840000001713634
FS( 4 ),2563579.250000000000000,2523110.860000000335276,2518103.140000000130385,2513364.100000000558794,10118157.350000001490116
FS( 5 ),2561762.700000000186265,2522106.040000000502914,2514570.820000000298023,2447434.540000000037253,10045874.100000001490116
FS( 6 ),2595913.840000000316650,2579380.780000000260770,2545478.620000000111759,2428724.800000000279397,10149498.040000000968575
FS( 7 ),2643507.450000000186265,2567322.940000000409782,2541504.760000000242144,2428724.800000000279397,10181059.950000001117587
FS( 8 ),2676568.660000000149012,2584404.880000000353903,2538855.520000000018626,2415360.700000000186265,10215189.760000001639128
FS( 9 ),2691101.060000000055879,2593448.260000000242144,2528258.560000000055879,2417142.580000000074506,10229950.460000000894070
FS( 10 ),2741601.149999999906868,2608520.560000000521541,2530466.260000000242144,2410906.000000000000000,10291493.970000000670552
FS( 11 ),2786288.280000000260770,2683882.060000000521541,2527375.479999999981374,2425161.040000000037253,10422706.859999999403954
FS( 12 ),2790648.000000000000000,2662780.840000000316650,2536206.279999999795109,2407342.240000000223517,10396977.359999999403954
FS( 13 ),2821529.350000000093132,2648713.360000000335276,2551660.180000000167638,2412687.880000000353903,10434590.770000001415610
FS( 14 ),2798640.820000000298023,2649718.180000000633299,2566672.540000000037253,2399323.780000000260770,10414355.320000000298023
FS( 15 ),2796460.959999999962747,2670819.400000000372529,2538413.979999999981374,2418033.520000000484288,10423727.859999999403954
FS( 16 ),2808086.880000000353903,2671824.220000000204891,2566672.540000000037253,2417142.580000000074506,10463726.220000000670552
FS( 17 ),2785924.970000000204891,2815513.480000000447035,2545037.080000000074506,2402887.540000000037253,10549363.070000000298023
FS( 18 ),2741237.840000000316650,2881831.600000000093132,2512363.120000000111759,2385959.680000000633299,10521392.240000002086163
FS( 19 ),2782655.180000000167638,2872788.220000000204891,2524726.240000000223517,2432288.560000000521541,10612458.200000001117587
FS( 20 ),2757223.479999999981374,2815513.480000000447035,2526933.939999999944121,2494654.360000000335276,10594325.260000001639128
FS( 21 ),2832065.340000000316650,2835609.880000000353903,2628929.680000000167638,2502672.820000000298023,10799277.720000000670552
FS( 22 ),2780838.630000000353903,2786373.700000000186265,2560932.520000000018626,2464362.400000000372529,10592507.250000000000000
