代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10583164.679999999701977
真實報酬,583164.679999999701977

夏普值報酬,0.049616468000000
夏普值風險,0.019225982679512
夏普值,2.580698673616972

二次趨勢線,1544.700568053666302 x^2 + -3165.740462673456932 x + 10000000.000000000000000
二次平均預期報酬,30817.672034507206263
風險,27798.083647466686671
二次平均趨勢值,1.108625775263314
一次趨勢線,21729.084971307762316 x + 10000000.000000000000000
一次預期報酬,21729.084971307762316
一次風險,85253.610784302436514
一次趨勢值,0.254875831902110
找到最佳解世代,3309
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](5),DD[7](6),MSFT[18](15),VZ[26](2),
Stock#,AAPL[0](1),CSCO[4](5),DD[7](6),MSFT[18](15),VZ[26](2),
張數,23668,86918,28830,50000,42354,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,54.000000000000000,16.819999999832362,62.899999999906868,0.000000000000000,44.120000000111759,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2003550.200000000186265,1993915.739999999990687,1999135.100000000093132,1984500.000000000000000,1995764.600000000093132,9976865.640000000596046
FS( 3 ),2031951.799999999813735,1995654.099999999860302,2026523.600000000093132,1971500.000000000000000,2007200.180000000167638,10032829.679999999701977
FS( 4 ),2009940.560000000055879,1974793.779999999795109,2016433.099999999860302,1953000.000000000000000,2010588.500000000000000,9964755.939999999478459
FS( 5 ),2002840.160000000149012,1987831.479999999981374,2033154.499999999767169,1971000.000000000000000,2037271.520000000251457,10032097.660000000149012
FS( 6 ),1988166.000000000000000,2000869.179999999701977,2020469.299999999813735,1982000.000000000000000,2053789.580000000307336,10045294.060000000521541
FS( 7 ),1979882.200000000186265,2000869.179999999701977,2023064.000000000000000,1977000.000000000000000,2053366.040000000037253,10034181.419999999925494
FS( 8 ),2004496.919999999925494,2015645.239999999990687,2057948.299999999813735,1998500.000000000000000,2039812.760000000009313,10116403.220000000670552
FS( 9 ),2007573.759999999776483,1986962.299999999813735,2055065.300000000046566,2021000.000000000000000,2026683.020000000251457,10097284.379999998956919
FS( 10 ),2008047.120000000111759,1982616.399999999674037,2061119.599999999860302,2012000.000000000000000,2033459.659999999916181,10097242.779999999329448
FS( 11 ),1991006.160000000149012,2101694.059999999590218,1995963.800000000046566,1980000.000000000000000,2031341.960000000195578,10100005.980000000447035
FS( 12 ),2020354.479999999981374,2118208.479999999981374,2010955.399999999906868,1991500.000000000000000,2078354.900000000139698,10219373.259999999776483
FS( 13 ),2044259.160000000149012,2116470.120000000111759,2025658.699999999953434,1987500.000000000000000,2081743.219999999972060,10255631.200000001117587
FS( 14 ),2044732.520000000018626,2096478.979999999981374,2042091.799999999813735,1984000.000000000000000,2060566.219999999972060,10227869.519999999552965
FS( 15 ),2050176.160000000149012,2127769.459999999962747,2050452.500000000000000,2017500.000000000000000,2082590.300000000279397,10328488.419999999925494
FS( 16 ),2053253.000000000000000,2119077.659999999683350,2043821.599999999860302,2005000.000000000000000,2094449.420000000158325,10315601.679999999701977
FS( 17 ),2076447.640000000130385,2131246.179999999701977,2080724.000000000000000,2005999.999999999767169,2106732.080000000074506,10401149.900000000372529
FS( 18 ),2115499.839999999850988,2147760.600000000093132,2091102.800000000046566,2009500.000000000000000,2101649.600000000093132,10465512.839999999850988
FS( 19 ),2109819.520000000018626,2157321.580000000074506,2125698.799999999813735,2000500.000000000000000,2106732.080000000074506,10500071.979999998584390
FS( 20 ),2148398.359999999869615,2145153.059999999590218,2154240.500000000000000,2017000.000000000232831,2105885.000000000000000,10570676.919999999925494
FS( 21 ),2140351.240000000223517,2139937.979999999981374,2139825.500000000000000,2047000.000000000000000,2116049.959999999962747,10583164.679999999701977
