代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10581291.470000000670552
真實報酬,581291.470000000670552

夏普值報酬,0.049429147000000
夏普值風險,0.017745173998297
夏普值,2.785498017925514

二次趨勢線,-1464.926722989533118 x^2 + 59130.587570971663808 x + 10000000.000000000000000
二次平均預期報酬,25437.272942212406633
風險,42189.731471409657388
二次平均趨勢值,0.602925689618344
一次趨勢線,34422.156843214790570 x + 10000000.000000000000000
一次預期報酬,34422.156843214790570
一次風險,93713.723623295212747
一次趨勢值,0.367311803568738
找到最佳解世代,1961
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,3
AAPL[0](4),NKE[19](2),PFE[20](12),
Stock#,AAPL[0](4),NKE[19](2),PFE[20](12),
張數,19712,48947,94161,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,33.800000000279397,42.300000000279397,33.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3480581.640000000130385,3341164.520000000484288,3285310.890000000130385,10107058.050000000745058
FS( 3 ),3486889.479999999981374,3274596.600000000558794,3273069.959999999962747,10034557.039999999105930
FS( 4 ),3623690.760000000707805,3333333.000000000000000,3280602.840000000316650,10237627.600000001490116
FS( 5 ),3649907.720000000204891,3394027.280000000260770,3289077.330000000074506,10333013.330000000074506
FS( 6 ),3667451.400000000372529,3350953.919999999925494,3293785.379999999888241,10312191.699999999254942
FS( 7 ),3693274.120000000577420,3325990.950000000186265,3311675.970000000204891,10330942.040000000968575
FS( 8 ),3746102.280000000260770,3324522.540000000502914,3299435.040000000037253,10370060.859999999403954
FS( 9 ),3717519.880000000353903,3349485.510000000707805,3342749.100000000093132,10409755.490000000223517
FS( 10 ),3708846.600000000558794,3369553.780000000260770,3376647.060000000055879,10455048.440000001341105
FS( 11 ),3675139.080000000074506,3401858.800000000279397,3360639.689999999944121,10437638.570000000298023
FS( 12 ),3709437.960000000428408,3491921.280000000260770,3359698.080000000074506,10561058.320000000298023
FS( 13 ),3685980.680000000633299,3472342.479999999981374,3362522.910000000149012,10520847.070000000298023
FS( 14 ),3672576.520000000484288,3490942.339999999850988,3355931.640000000130385,10519451.500000000000000
FS( 15 ),3698596.360000000335276,3493879.160000000149012,3370997.399999999906868,10563473.919999999925494
FS( 16 ),3689331.720000000204891,3490452.870000000577420,3363464.520000000018626,10543250.110000001266599
FS( 17 ),3712986.120000000577420,3491921.280000000260770,3387004.770000000018626,10591913.169999999925494
FS( 18 ),3708846.600000000558794,3533036.760000000707805,3379471.890000000130385,10621356.250000001862645
FS( 19 ),3717322.760000000707805,3536463.050000000279397,3359698.080000000074506,10613484.890000000596046
FS( 20 ),3703918.600000000558794,3471363.540000000502914,3361581.300000000279397,10536864.440000001341105
FS( 21 ),3696033.800000000279397,3535484.110000000335276,3394537.649999999906868,10626056.560000000521541
FS( 22 ),3683615.240000000223517,3514436.900000000372529,3383238.330000000074506,10581291.470000000670552
