代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10674445.849999999627471
真實報酬,674445.849999999627471

夏普值報酬,0.058744585000000
夏普值風險,0.018802284532583
夏普值,3.124332306438533

二次趨勢線,-638.430810488225006 x^2 + 44478.867432335260673 x + 10000000.000000000000000
二次平均預期報酬,30433.389601594310079
風險,32701.503986075364082
二次平均趨勢值,0.930641893857639
一次趨勢線,34189.738323769270210 x + 10000000.000000000000000
一次預期報酬,34189.738323769270210
一次風險,46679.129264187300578
一次趨勢值,0.732441647106729
找到最佳解世代,1796
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](2),MSFT[18](1),PG[21](3),TRV[22](27),
Stock#,KO[14](2),MSFT[18](1),PG[21](3),TRV[22](27),
張數,103007,104166,47152,50751,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.109999999869615,16.000000000000000,0.959999999962747,5.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2564894.409999999683350,2485416.759999999776483,2489626.560000000055879,2494417.390000000130385,10034355.120000001043081
FS( 3 ),2553563.639999999664724,2511458.259999999776483,2492927.199999999720603,2533495.660000000149012,10091444.759999999776483
FS( 4 ),2573134.969999999739230,2564582.919999999925494,2492455.680000000167638,2543645.859999999869615,10173819.429999999701977
FS( 5 ),2596826.580000000074506,2585416.120000000111759,2555639.359999999869615,2485282.209999999962747,10223164.269999999552965
FS( 6 ),2608157.350000000093132,2581249.479999999981374,2534892.479999999981374,2493909.880000000353903,10218209.190000001341105
FS( 7 ),2605067.139999999664724,2604166.000000000000000,2642399.040000000037253,2462444.260000000242144,10314076.439999999478459
FS( 8 ),2653480.430000000167638,2589582.759999999776483,2623538.239999999757856,2456861.649999999906868,10323463.080000000074506
FS( 9 ),2686442.669999999925494,2604166.000000000000000,2607506.560000000055879,2486297.230000000447035,10384412.460000000894070
FS( 10 ),2701893.719999999739230,2624999.199999999720603,2594775.520000000018626,2487312.250000000000000,10408980.689999999478459
FS( 11 ),2713224.489999999757856,2624999.199999999720603,2607978.080000000074506,2479192.090000000316650,10425393.859999999403954
FS( 12 ),2751337.080000000074506,2635415.800000000279397,2618351.520000000018626,2420828.440000000409782,10425932.839999999850988
FS( 13 ),2768848.269999999552965,2631249.160000000149012,2702753.600000000093132,2404080.609999999869615,10506931.639999998733401
FS( 14 ),2729705.609999999869615,2635415.800000000279397,2692380.160000000149012,2425396.030000000260770,10482897.600000001490116
FS( 15 ),2722495.119999999646097,2684373.819999999832362,2698981.439999999944121,2415245.830000000540167,10521096.209999999031425
FS( 16 ),2708074.139999999664724,2678123.859999999869615,2699452.959999999962747,2400020.530000000260770,10485671.490000000223517
FS( 17 ),2695713.299999999813735,2702082.040000000037253,2727272.640000000130385,2411693.260000000242144,10536761.240000000223517
FS( 18 ),2728675.539999999571592,2661457.300000000279397,2735288.479999999981374,2423365.990000000223517,10548787.310000000521541
FS( 19 ),2736916.100000000093132,2690623.779999999795109,2742361.279999999795109,2494924.899999999906868,10664826.060000000521541
FS( 20 ),2746186.729999999981374,2682290.500000000000000,2730573.279999999795109,2484774.700000000186265,10643825.210000000894070
FS( 21 ),2765758.060000000055879,2679165.520000000018626,2731044.799999999813735,2498477.470000000204891,10674445.849999999627471
