代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11292890.879999998956919
真實報酬,1292890.879999998956919

夏普值報酬,0.120589088000000
夏普值風險,0.050211396747997
夏普值,2.401627833721021

二次趨勢線,1135.488929091513228 x^2 + 48854.492737228400074 x + 10000000.000000000000000
二次平均預期報酬,74970.738106333184987
風險,184601.520694531616755
二次平均趨勢值,0.406121996310045
一次趨勢線,68006.406007905126899 x + 10000000.000000000000000
一次預期報酬,68006.406007905126899
一次風險,195664.856182083400199
一次趨勢值,0.347565767991668
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](7),JNJ[12](4),WMT[28](1),
Stock#,BA[2](7),JNJ[12](4),WMT[28](1),
張數,112956,69560,69386,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.439999999944121,17.799999999813735,29.560000000055879,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3316389.600000000093132,3313856.199999999720603,3287538.240000000223517,9917785.039999999105930
FS( 3 ),3423697.799999999813735,3415413.799999999813735,3364556.700000000186265,10203669.300000000745058
FS( 4 ),3319778.279999999795109,3315943.000000000000000,3451983.060000000055879,10087705.339999999850988
FS( 5 ),3399977.040000000037253,3336810.999999999534339,3393698.819999999832362,10130487.859999999403954
FS( 6 ),3501637.439999999944121,3241513.799999999813735,3296558.419999999925494,10039710.660000000149012
FS( 7 ),3728678.999999999534339,3323594.600000000093132,3377046.180000000167638,10429320.779999999329448
FS( 8 ),3758047.560000000521541,3331941.799999999813735,3293089.120000000111759,10383079.480000000447035
FS( 9 ),3798711.720000000204891,3408457.799999999813735,3395780.399999999906868,10602950.919999999925494
FS( 10 ),3772731.839999999850988,3522536.199999999720603,3413126.899999999906868,10708395.939999999478459
FS( 11 ),3821302.919999999925494,3528796.599999999627471,3386066.359999999869615,10736166.879999998956919
FS( 12 ),3890206.079999999608845,3528100.999999999534339,3469329.560000000055879,10887637.639999998733401
FS( 13 ),3812266.439999999944121,3523927.399999999441206,3499859.399999999906868,10836054.240000000223517
FS( 14 ),3749011.079999999608845,3482191.399999999906868,3465860.260000000242144,10697063.740000000223517
FS( 15 ),3676719.239999999757856,3594183.000000000000000,3440881.300000000279397,10711784.540000000968575
FS( 16 ),4009939.439999999944121,3702696.599999999627471,3572020.839999999850988,11284657.879999998956919
FS( 17 ),4077713.040000000037253,3665829.799999999813735,3544266.439999999944121,11287810.279999999329448
FS( 18 ),4186150.800000000279397,3676959.399999999906868,3585898.040000000037253,11449009.240000000223517
FS( 19 ),4366880.400000000372529,3679741.799999999813735,3660834.919999999925494,11707458.120000001043081
FS( 20 ),4239240.119999999180436,3674872.599999999627471,3647651.580000000074506,11561765.299999998882413
FS( 21 ),4012198.560000000521541,3687393.399999999906868,3591448.919999999925494,11291041.880000000819564
FS( 22 ),4018975.919999999925494,3658873.799999999813735,3615040.160000000149012,11292890.879999998956919
