代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10388041.209999999031425
真實報酬,388041.209999999031425

夏普值報酬,0.030104121000000
夏普值風險,0.011991252838130
夏普值,2.510506734064844

二次趨勢線,366.282239743087757 x^2 + 10646.217416209290604 x + 10000000.000000000000000
二次平均預期報酬,18704.426690557222173
風險,48005.947496690212574
二次平均趨勢值,0.389627278825125
一次趨勢線,16549.324210208364093 x + 10000000.000000000000000
一次預期報酬,16549.324210208364093
一次風險,51669.999499173252843
一次趨勢值,0.320288840151298
找到最佳解世代,2015
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](6),JNJ[12](1),KO[14](5),MCD[15](2),NKE[19](4),PG[21](3),
Stock#,GS[8](6),JNJ[12](1),KO[14](5),MCD[15](2),NKE[19](4),PG[21](3),
張數,9271,16124,40025,17959,42045,20085,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.329999999841675,89.360000000102445,25.000000000000000,70.800000000046566,2.199999999953434,12.699999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665089.929999999701977,1673115.600000000093132,1672269.500000000000000,1672772.060000000055879,1656995.649999999906868,1665059.199999999953434,10005305.939999999478459
FS( 3 ),1669540.010000000009313,1674405.520000000251457,1675871.750000000000000,1670437.390000000130385,1680120.399999999906868,1681127.199999999953434,10051506.269999999552965
FS( 4 ),1666480.579999999841675,1683757.440000000176951,1674671.000000000232831,1671514.929999999934807,1724688.100000000093132,1682533.149999999906868,10103649.200000001117587
FS( 5 ),1669818.139999999897555,1677791.560000000055879,1672269.500000000000000,1661278.300000000046566,1732256.200000000186265,1673494.899999999906868,10086912.599999999627471
FS( 6 ),1644693.729999999981374,1673760.560000000055879,1678673.500000000000000,1635956.110000000102445,1720483.600000000093132,1666866.849999999860302,10020438.349999999627471
FS( 7 ),1667593.099999999860302,1692948.120000000111759,1687879.250000000000000,1670257.800000000046566,1733938.000000000000000,1679922.099999999860302,10132542.369999999180436
FS( 8 ),1678069.329999999841675,1685853.560000000055879,1679073.750000000000000,1669539.439999999944121,1720063.149999999906868,1676909.349999999860302,10109512.580000000074506
FS( 9 ),1698187.399999999674037,1686337.280000000027940,1659461.500000000000000,1676363.860000000102445,1720483.600000000093132,1672289.800000000046566,10113127.440000001341105
FS( 10 ),1705696.909999999683350,1688594.640000000130385,1661062.500000000000000,1678698.530000000027940,1715858.650000000139698,1684541.650000000139698,10134456.880000000819564
FS( 11 ),1706253.169999999692664,1707298.479999999981374,1666666.000000000000000,1683727.050000000046566,1707029.199999999953434,1688759.500000000000000,10159737.399999998509884
FS( 12 ),1713484.549999999813735,1712296.920000000158325,1665465.250000000000000,1679776.070000000065193,1713756.399999999906868,1690366.299999999813735,10175149.489999998360872
FS( 13 ),1741946.519999999785796,1731000.760000000009313,1672669.750000000000000,1678878.120000000111759,1723426.750000000000000,1690968.849999999860302,10238894.749999998137355
FS( 14 ),1726278.529999999795109,1741320.120000000111759,1683076.250000000000000,1694682.040000000037253,1720063.149999999906868,1696592.649999999906868,10262016.740000000223517
FS( 15 ),1717841.919999999692664,1739546.479999999981374,1689880.500000000000000,1686959.670000000158325,1696517.949999999953434,1703421.550000000046566,10234172.070000000298023
FS( 16 ),1715987.719999999972060,1732774.399999999906868,1676672.250000000000000,1679416.890000000130385,1684324.900000000139698,1695990.099999999860302,10185170.259999999776483
FS( 17 ),1741204.839999999850988,1751800.720000000204891,1691881.750000000232831,1706175.800000000046566,1699461.100000000093132,1712058.099999999860302,10302586.310000000521541
FS( 18 ),1706716.719999999972060,1726969.760000000009313,1672269.500000000000000,1691090.239999999990687,1676756.800000000046566,1693780.750000000000000,10167587.770000001415610
FS( 19 ),1716265.849999999860302,1726969.760000000009313,1689080.000000000000000,1700788.100000000093132,1881515.949999999953434,1698802.000000000000000,10413425.659999998286366
FS( 20 ),1704306.260000000009313,1717940.320000000298023,1691081.250000000000000,1728085.780000000027940,1873527.400000000139698,1695990.099999999860302,10410935.109999999403954
FS( 21 ),1701895.799999999813735,1718746.520000000251457,1707491.499999999767169,1702763.590000000083819,1875209.199999999953434,1681930.599999999860302,10388041.209999999031425
