代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11393306.629999998956919
真實報酬,1393306.629999998956919

夏普值報酬,0.130630663000000
夏普值風險,0.036693890603569
夏普值,3.560011240326027

二次趨勢線,1908.139845859791421 x^2 + 25972.607988704949094 x + 10000000.000000000000000
二次平均預期報酬,66043.544751760578947
風險,70658.437365921010496
二次平均趨勢值,0.934687310019876
一次趨勢線,55292.805620209066547 x + 10000000.000000000000000
一次預期報酬,55292.805620209066547
一次風險,114850.592015786431148
一次趨勢值,0.481432482408179
找到最佳解世代,1870
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](3),MRK[17](1),
Stock#,KO[14](2),MCD[15](3),MRK[17](1),
張數,156936,63613,137174,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,12.360000000335276,11.800000000279397,4.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3388260.600000000093132,3356869.810000000521541,3377228.680000000167638,10122360.089999999850988
FS( 3 ),3385121.880000000353903,3381678.879999999888241,3373113.459999999962747,10139915.219999998807907
FS( 4 ),3369428.280000000260770,3415393.770000000018626,3375856.939999999944121,10160679.990000000223517
FS( 5 ),3358442.760000000242144,3396309.870000000111759,3458161.339999999850988,10212914.970000000670552
FS( 6 ),3367858.920000000391155,3493637.760000000242144,3404663.479999999981374,10266161.160000000149012
FS( 7 ),3355304.040000000037253,3460559.000000000000000,3347050.399999999441206,10162914.439999999478459
FS( 8 ),3483991.560000000055879,3433205.410000000149012,3426611.319999999832362,10343809.290000000968575
FS( 9 ),3424355.880000000353903,3402671.170000000391155,3521261.379999999888241,10348289.429999999701977
FS( 10 ),3523225.560000000055879,3407760.210000000428408,3573387.500000000000000,10504374.269999999552965
FS( 11 ),3527933.640000000596046,3400762.780000000260770,3493826.579999999608845,10422524.000000000000000
FS( 12 ),3615817.800000000279397,3447836.400000000372529,3530863.559999999590218,10594518.760000001639128
FS( 13 ),3659759.880000000353903,3426844.110000000335276,3534978.779999999795109,10621583.769999999552965
FS( 14 ),3688008.360000000335276,3578243.050000000279397,3578874.459999999962747,10845126.870000001043081
FS( 15 ),3662898.600000000093132,3542619.770000000018626,3582989.680000000167638,10788509.050000000745058
FS( 16 ),3711548.760000000242144,3631041.840000000316650,3589848.379999999888241,10932439.980000000447035
FS( 17 ),3705271.320000000298023,3743000.720000000670552,3643346.239999999757856,11091619.280000001192093
FS( 18 ),3659759.880000000353903,3678115.460000000428408,3652948.419999999459833,10990824.759999999776483
FS( 19 ),3680161.560000000055879,3697835.490000000223517,3672152.779999999795109,11050150.830000000074506
FS( 20 ),3857499.240000000223517,3752542.670000000391155,3783263.719999999739230,11393306.629999998956919
