代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10548502.580000000074506
真實報酬,548502.580000000074506

夏普值報酬,0.046150258000000
夏普值風險,0.017732969706985
夏普值,2.602511523031717

二次趨勢線,1885.324652511559862 x^2 + -9791.297538592269120 x + 10000000.000000000000000
二次平均預期報酬,29800.520164150490018
風險,19423.962294980108709
二次平均趨勢值,1.534214271608840
一次趨勢線,19178.325170731699473 x + 10000000.000000000000000
一次預期報酬,19178.325170731699473
一次風險,91544.862082059335080
一次趨勢值,0.209496466918488
找到最佳解世代,2940
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](19),AXP[1](6),MRK[17](4),PG[21](10),WBA[27](3),
Stock#,AAPL[0](19),AXP[1](6),MRK[17](4),PG[21](10),WBA[27](3),
張數,40633,44091,60477,32216,48851,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,43.739999999990687,32.239999999990687,25.609999999869615,30.719999999972060,40.060000000055879,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1980496.160000000149012,2002645.459999999962747,2012095.400000000139698,2005798.879999999888241,1994626.389999999897555,9995662.290000000968575
FS( 3 ),1967087.269999999785796,2002645.459999999962747,2005442.929999999701977,1986791.439999999944121,2008304.669999999925494,9970271.769999999552965
FS( 4 ),1962211.310000000055879,2040563.719999999972060,2016933.560000000055879,1989690.879999999888241,2013678.280000000027940,10023077.750000000000000
FS( 5 ),1962617.639999999897555,2035272.799999999813735,2015724.019999999785796,2001610.800000000046566,2019051.889999999897555,10034277.149999998509884
FS( 6 ),1945145.449999999953434,2040563.719999999972060,2036286.199999999953434,1994201.119999999878928,2003419.570000000065193,10019616.060000000521541
FS( 7 ),1920359.319999999832362,2044972.820000000065193,2031448.040000000037253,2003543.760000000009313,2019540.400000000139698,10019864.339999999850988
FS( 8 ),1929704.910000000149012,2029100.060000000055879,2029633.729999999981374,2026094.959999999962747,2016120.830000000307336,10030654.490000000223517
FS( 9 ),1951240.400000000139698,2032627.340000000083819,2024190.799999999813735,2029316.560000000055879,2018563.380000000121072,10055938.480000000447035
FS( 10 ),1929704.910000000149012,2022927.320000000065193,2047776.829999999841675,2039303.519999999785796,2024914.010000000242144,10064626.589999999850988
FS( 11 ),1900855.479999999981374,2039240.989999999990687,2087086.879999999655411,2067653.600000000093132,2045431.429999999934807,10140268.379999998956919
FS( 12 ),1926454.269999999785796,2030863.700000000186265,2052010.219999999739230,2061854.719999999972060,2034684.209999999962747,10105867.119999999180436
FS( 13 ),1961398.650000000139698,2056436.479999999981374,2041124.359999999869615,2057344.479999999981374,2069856.929999999934807,10186160.900000000372529
FS( 14 ),1987810.100000000093132,2072309.239999999990687,2058662.689999999711290,2052834.239999999990687,2079138.620000000111759,10250754.890000000596046
FS( 15 ),2035757.040000000037253,2077159.250000000000000,2058662.689999999711290,2038337.040000000037253,2085489.250000000000000,10295405.269999999552965
FS( 16 ),2049165.929999999934807,2074513.789999999804422,2076201.019999999785796,2041558.639999999897555,2073765.010000000242144,10315204.389999998733401
FS( 17 ),2034131.719999999972060,2076718.340000000083819,2120349.229999999981374,2056378.000000000000000,2094282.429999999934807,10381859.720000000670552
FS( 18 ),2032506.400000000139698,2099645.660000000149012,2154821.120000000111759,2062499.039999999804422,2094770.940000000176951,10444243.160000000149012
FS( 19 ),2013002.560000000055879,2139327.560000000521541,2163287.899999999906868,2077962.719999999972060,2108937.729999999981374,10502518.470000000670552
FS( 20 ),2032506.400000000139698,2164018.519999999552965,2174173.760000000242144,2090849.120000000111759,2086954.780000000027940,10548502.580000000074506
