代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10335385.559999998658895
真實報酬,335385.559999998658895

夏普值報酬,0.024838556000000
夏普值風險,0.011268808135925
夏普值,2.204186609657040

二次趨勢線,131.409534562531007 x^2 + 16059.147932331774427 x + 10000000.000000000000000
二次平均預期報酬,18818.748158144928311
風險,23062.424060977973568
二次平均趨勢值,0.815991766883976
一次趨勢線,18078.367609756041929 x + 10000000.000000000000000
一次預期報酬,18078.367609756041929
一次風險,23890.520185846879031
一次趨勢值,0.756717202853789
找到最佳解世代,2333
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),HD[9](3),MCD[15](7),PG[21](6),
Stock#,AAPL[0](1),HD[9](3),MCD[15](7),PG[21](6),
張數,21523,18613,20899,29691,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,103.549999999813735,87.969999999739230,61.620000000111759,17.799999999813735,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2497202.009999999776483,2522149.469999999739230,2497074.140000000130385,2508907.299999999813735,10025332.919999998062849
FS( 3 ),2509900.579999999608845,2492368.669999999925494,2501671.920000000391155,2525534.259999999776483,10029475.429999999701977
FS( 4 ),2537880.479999999515712,2485481.859999999869615,2523824.860000000335276,2524643.529999999795109,10071830.730000000447035
FS( 5 ),2561125.319999999832362,2500000.000000000000000,2516928.190000000409782,2505938.200000000186265,10083991.710000000894070
FS( 6 ),2563708.079999999608845,2533317.269999999552965,2513166.370000000111759,2478919.389999999664724,10089111.109999999403954
FS( 7 ),2577482.799999999813735,2525872.069999999366701,2526332.740000000223517,2486639.049999999813735,10116326.660000000149012
FS( 8 ),2566721.299999999813735,2514145.879999999422580,2551829.520000000018626,2489311.239999999757856,10122007.939999999478459
FS( 9 ),2562201.469999999739230,2513587.489999999757856,2539290.120000000111759,2494358.709999999962747,10109437.789999999105930
FS( 10 ),2582863.549999999813735,2530153.060000000055879,2565413.870000000111759,2529987.909999999683350,10208418.389999998733401
FS( 11 ),2582648.319999999832362,2534434.049999999813735,2564577.910000000149012,2521674.430000000167638,10203334.709999999031425
FS( 12 ),2578128.489999999757856,2520102.039999999571592,2553501.440000000409782,2514845.500000000000000,10166577.469999998807907
FS( 13 ),2582863.549999999813735,2524010.769999999552965,2555173.360000000335276,2596495.750000000000000,10258543.429999999701977
FS( 14 ),2584585.389999999664724,2569984.879999999422580,2536782.240000000223517,2581947.159999999683350,10273299.669999999925494
FS( 15 ),2582217.859999999869615,2569798.750000000000000,2529885.569999999832362,2608669.059999999590218,10290571.239999998360872
FS( 16 ),2623326.789999999571592,2559003.209999999497086,2545350.830000000074506,2587885.359999999869615,10315566.189999999478459
FS( 17 ),2624618.169999999925494,2577243.949999999720603,2547231.740000000223517,2571258.399999999441206,10320352.259999997913837
FS( 18 ),2624833.399999999906868,2574824.259999999776483,2567712.760000000242144,2574821.319999999832362,10342191.740000000223517
FS( 19 ),2617946.039999999571592,2577430.079999999608845,2571056.600000000093132,2575712.049999999813735,10342144.769999999552965
FS( 20 ),2611919.599999999627471,2560864.509999999776483,2561652.049999999813735,2600949.399999999441206,10335385.559999998658895
