代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10567717.480000000447035
真實報酬,567717.480000000447035

夏普值報酬,0.048071748000000
夏普值風險,0.026363837743784
夏普值,1.823397202910393

二次趨勢線,4424.628747542392375 x^2 + -54663.354678264659015 x + 10000000.000000000000000
二次平均預期報酬,38253.849020125584502
風險,71522.700001079181675
二次平均趨勢值,0.534849062179537
一次趨勢線,13324.843149825785076 x + 10000000.000000000000000
一次預期報酬,13324.843149825785076
一次風險,221801.016917091386858
一次趨勢值,0.060075663020096
找到最佳解世代,3148
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AXP[1](6),TRV[22](1),VZ[26](2),
Stock#,AXP[1](6),TRV[22](1),VZ[26](2),
張數,57461,56182,86535,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.390000000130385,54.939999999944121,4.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3355168.180000000167638,3330523.899999999906868,3328140.899999999906868,10013833.980000000447035
FS( 3 ),3296557.959999999962747,3327152.979999999981374,3322083.449999999720603,9945795.389999998733401
FS( 4 ),3338504.490000000223517,3308051.100000000093132,3258912.899999999441206,9905469.489999998360872
FS( 5 ),3284491.149999999906868,3261420.039999999571592,3241605.899999999906868,9787518.089999999850988
FS( 6 ),3228179.370000000111759,3244565.439999999944121,3184492.799999999348074,9657238.609999999403954
FS( 7 ),3272424.340000000316650,3268161.879999999888241,3234683.100000000093132,9775270.320000000298023
FS( 8 ),3335056.830000000074506,3320411.140000000130385,3249394.049999999348074,9904863.019999999552965
FS( 9 ),3291386.470000000204891,3265352.779999999795109,3224298.899999999441206,9781039.149999998509884
FS( 10 ),3322990.020000000018626,3323782.059999999590218,3239009.849999999627471,9885782.929999999701977
FS( 11 ),3343101.370000000111759,3370413.120000000111759,3265835.700000000186265,9979351.190000001341105
FS( 12 ),3335056.830000000074506,3341198.479999999981374,3258912.899999999441206,9935169.210000000894070
FS( 13 ),3308050.160000000149012,3466484.340000000316650,3301315.049999999813735,10075850.550000000745058
FS( 14 ),3301154.840000000316650,3525475.439999999944121,3351505.349999999627471,10178136.629999998956919
FS( 15 ),3293684.910000000149012,3534464.559999999590218,3337659.750000000000000,10165810.219999998807907
FS( 16 ),3311497.820000000298023,3560308.279999999795109,3418137.299999999813735,10289944.399999998509884
FS( 17 ),3385047.899999999906868,3583342.899999999906868,3416406.599999999627471,10384798.399999998509884
FS( 18 ),3424121.380000000353903,3638963.079999999608845,3473519.699999999720603,10536605.160000000149012
FS( 19 ),3457448.760000000242144,3596264.760000000242144,3481307.849999999627471,10535022.370000001043081
FS( 20 ),3459747.200000000186265,3613681.179999999701977,3494288.100000000093132,10567717.480000000447035
