代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10509718.070000000298023
真實報酬,509718.070000000298023

夏普值報酬,0.042271807000000
夏普值風險,0.016811340015329
夏普值,2.514481710646199

二次趨勢線,-1508.605843692078452 x^2 + 56862.918702885166567 x + 10000000.000000000000000
二次平均預期報酬,23673.590141659435176
風險,36733.746736795153993
二次平均趨勢值,0.644464348036305
一次趨勢線,32549.805919661688677 x + 10000000.000000000000000
一次預期報酬,32549.805919661688677
一次風險,86860.829886377294315
一次趨勢值,0.374735147732760
找到最佳解世代,2258
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](15),JPM[13](4),TRV[22](2),V[25](24),VZ[26](1),
Stock#,JNJ[12](15),JPM[13](4),TRV[22](2),V[25](24),VZ[26](1),
張數,17956,24452,17329,26514,40104,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,60.719999999972060,70.919999999925494,60.110000000102445,48.979999999748543,13.520000000018626,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2010414.479999999748543,1995354.119999999878928,2004158.960000000195578,2007689.059999999823049,1997593.760000000009313,10015210.379999998956919
FS( 3 ),2010055.359999999869615,2035944.439999999944121,2007971.340000000083819,2049846.319999999832362,1995187.520000000018626,10099004.979999998584390
FS( 4 ),2012210.080000000074506,2046458.799999999813735,2024607.180000000167638,2044543.519999999785796,2019650.959999999962747,10147470.539999999105930
FS( 5 ),1994972.319999999832362,2055750.559999999823049,2044708.820000000065193,2102874.319999999366701,2060557.040000000037253,10258863.059999998658895
FS( 6 ),1992997.159999999916181,2081425.160000000149012,2051467.130000000121072,2102078.899999999441206,2050531.040000000037253,10278499.390000000596046
FS( 7 ),2015801.280000000027940,2090472.399999999906868,2065503.620000000111759,2098366.939999999478459,2064968.480000000214204,10335112.719999998807907
FS( 8 ),2071464.879999999888241,2071888.880000000121072,2095309.500000000000000,2081397.979999999748543,2075796.559999999823049,10395857.799999998882413
FS( 9 ),2080981.560000000055879,2072622.439999999944121,2104320.580000000074506,2099957.780000000260770,2099858.959999999962747,10457741.320000000298023
FS( 10 ),2064821.159999999916181,2071888.880000000121072,2085951.840000000083819,2098101.799999999813735,2070583.040000000037253,10391346.719999998807907
FS( 11 ),2080981.560000000055879,2102942.919999999925494,2086471.710000000195578,2107911.979999999515712,2077801.760000000009313,10456109.929999999701977
FS( 12 ),2080802.000000000000000,2077023.799999999813735,2107266.509999999776483,2077420.879999999655411,2096249.600000000093132,10438762.789999999105930
FS( 13 ),2083315.839999999850988,2089005.280000000027940,2109865.860000000335276,2070792.379999999655411,2121916.159999999683350,10474895.519999999552965
FS( 14 ),2076851.679999999934807,2115902.479999999981374,2121822.870000000111759,2077686.019999999785796,2130338.000000000000000,10522601.050000000745058
FS( 15 ),2070567.080000000074506,2121281.919999999925494,2124075.639999999664724,2071852.939999999711290,2124322.399999999906868,10512099.979999998584390
FS( 16 ),2072901.359999999869615,2124705.199999999720603,2116277.589999999850988,2065489.579999999841675,2151593.120000000111759,10530966.849999999627471
FS( 17 ),2082238.479999999748543,2128617.520000000018626,2116277.589999999850988,2072118.079999999841675,2152796.240000000223517,10552047.910000000149012
FS( 18 ),2081340.679999999934807,2130573.679999999701977,2113851.530000000260770,2077420.879999999655411,2151192.080000000074506,10554378.849999999627471
FS( 19 ),2066796.319999999832362,2115168.919999999925494,2115584.429999999701977,2076095.179999999701977,2143171.279999999795109,10516816.129999998956919
FS( 20 ),2073799.159999999916181,2100253.199999999720603,2119223.520000000484288,2076890.599999999627471,2155202.479999999981374,10525368.959999999031425
FS( 21 ),2068771.479999999748543,2110034.000000000000000,2121476.290000000037253,2068671.259999999543652,2140765.040000000037253,10509718.070000000298023
