代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10662996.359999999403954
真實報酬,662996.359999999403954

夏普值報酬,0.057599636000000
夏普值風險,0.019602366990029
夏普值,2.938402083243210

二次趨勢線,-316.154452270576712 x^2 + 39452.713415164645994 x + 10000000.000000000000000
二次平均預期報酬,32497.315465211955598
風險,36210.903266431829252
二次平均趨勢值,0.897445590520178
一次趨勢線,34357.480033222600468 x + 10000000.000000000000000
一次預期報酬,34357.480033222600468
一次風險,39790.997258913535916
一次趨勢值,0.863448578824604
找到最佳解世代,1979
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](20),CVX[5](2),INTC[11](1),UNH[23](8),
Stock#,AAPL[0](20),CVX[5](2),INTC[11](1),UNH[23](8),
張數,27836,20456,91709,31458,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,48.839999999850988,72.240000000223517,12.659999999683350,32.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2535351.719999999739230,2506955.040000000037253,2536683.599999999627471,2512897.780000000260770,10091888.140000000596046
FS( 3 ),2564301.160000000149012,2502863.840000000316650,2531181.059999999590218,2532716.320000000298023,10131062.379999998956919
FS( 4 ),2574322.120000000111759,2526797.360000000335276,2536683.599999999627471,2510381.140000000130385,10148184.220000000670552
FS( 5 ),2567084.759999999776483,2540502.880000000353903,2583455.189999999944121,2514470.680000000633299,10205513.510000001639128
FS( 6 ),2608282.040000000037253,2544184.960000000428408,2559610.849999999627471,2509122.820000000298023,10221200.669999999925494
FS( 7 ),2623591.839999999850988,2564027.280000000260770,2589874.819999999366701,2510695.720000000204891,10288189.660000000149012
FS( 8 ),2612735.799999999813735,2560754.320000000298023,2561445.029999999795109,2522020.600000000093132,10256955.750000000000000
FS( 9 ),2569033.279999999795109,2579778.400000000372529,2564196.299999999813735,2499056.260000000242144,10212064.240000000223517
FS( 10 ),2540918.919999999925494,2603302.800000000279397,2739360.489999999757856,2490877.180000000633299,10374459.390000000596046
FS( 11 ),2566528.040000000037253,2629486.479999999981374,2752199.750000000000000,2453756.740000000223517,10401971.009999999776483
FS( 12 ),2563187.719999999739230,2635418.720000000670552,2746697.209999999497086,2459104.600000000093132,10404408.250000000000000
FS( 13 ),2565971.319999999832362,2665079.920000000391155,2744863.029999999795109,2491820.919999999925494,10467735.189999999478459
FS( 14 ),2557063.799999999813735,2700059.680000000633299,2759536.469999999739230,2532716.320000000298023,10549376.269999999552965
FS( 15 ),2530619.599999999627471,2707219.280000000260770,2769624.459999999497086,2561028.520000000018626,10568491.859999999403954
FS( 16 ),2528392.719999999739230,2720311.120000000111759,2772375.729999999515712,2563545.160000000149012,10584624.730000000447035
FS( 17 ),2513082.919999999925494,2695559.360000000335276,2797137.159999999683350,2571409.660000000149012,10577189.099999999627471
FS( 18 ),2515309.799999999813735,2684513.120000000111759,2831986.579999999608845,2590284.460000000428408,10622093.960000000894070
FS( 19 ),2530341.240000000223517,2678171.759999999776483,2822815.679999999701977,2588711.560000000521541,10620040.240000000223517
FS( 20 ),2560404.120000000111759,2666716.400000000372529,2836572.029999999795109,2579588.740000000223517,10643281.290000000968575
FS( 21 ),2586848.319999999832362,2670603.040000000502914,2833820.759999999776483,2571724.240000000223517,10662996.359999999403954
