訓練日期,20140507 - 20140807
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11387881.960000000894070
真實報酬,1387881.960000000894070

夏普值報酬,0.130088196000000
夏普值風險,0.052215271109629
夏普值,2.491382180643530

預期報酬,28943.640607163826644
風險,139232.632607288425788
趨勢值,0.207879719467782
找到最佳解世代,2904
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,3
AAPL[0](3),INTC[11](1),NKE[19](8),
Stock#,AAPL[0](3),INTC[11](1),NKE[19](8),
張數,39252,127226,92259,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,53.160000000149012,11.800000000279397,15.329999999608845,
20140507,3321557.400000000372529,3354961.420000000391155,3329642.640000000130385,10006162.460000000894070
20140508,3297221.160000000149012,3351144.640000000130385,3370236.599999999627471,10018603.400000000372529
20140509,3283482.960000000428408,3346055.600000000558794,3388688.399999999441206,10018227.960000000894070
20140512,3324305.040000000037253,3354961.420000000391155,3443121.209999999497086,10122388.669999999925494
20140513,3329407.799999999813735,3365139.500000000000000,3441276.029999999329448,10135824.329999998211861
20140514,3330192.840000000316650,3349872.379999999888241,3394223.939999999478459,10074290.160000000149012
20140515,3301931.400000000372529,3309160.060000000521541,3364701.059999999590218,9975793.519999999552965
20140516,3350603.880000000353903,3284987.120000000111759,3410830.559999999590218,10046422.559999998658895
20140519,3390248.400000000372529,3312976.840000000316650,3435740.489999999757856,10138966.730000000447035
20140520,3391033.439999999944121,3312976.840000000316650,3379462.500000000000000,10083473.780000001192093
20140521,3400061.400000000372529,3333333.000000000000000,3422824.229999999515712,10156219.629999998956919
20140522,3405164.160000000149012,3326971.700000000186265,3454192.289999999571592,10186329.150000000372529
20140523,3443631.120000000111759,3344783.340000000316650,3498476.609999999869615,10286892.070000000298023
20140527,3508396.919999999925494,3398218.260000000242144,3534457.619999999646097,10441073.799999998882413
20140528,3498976.439999999944121,3419846.680000000167638,3518773.589999999850988,10437597.710000000894070
20140529,3562957.200000000186265,3430024.760000000242144,3523386.539999999571592,10516369.500000000000000
