訓練日期,20120209 - 20120511
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11240992.030000001192093
真實報酬,1240992.030000001192093

夏普值報酬,0.115399203000000
夏普值風險,0.040008004420116
夏普值,2.884402875689951

預期報酬,22398.673654513419024
風險,98764.468497097856016
趨勢值,0.226788783409203
找到最佳解世代,2664
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](3),
Stock#,HD[9](1),KO[14](3),
張數,110692,146327,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,42.359999999403954,6.410000000149012,
20120209,5011069.200000000186265,4973661.140000000596046,9984730.339999999850988
20120210,5017710.719999998807907,4970734.599999999627471,9988445.319999998435378
20120213,5084125.919999998994172,5007316.349999999627471,10091442.269999999552965
20120214,5098515.879999999888241,5040971.560000000521541,10139487.440000001341105
20120215,5059773.679999999701977,5004389.810000000521541,10064163.490000000223517
20120216,5084125.919999998994172,5038045.020000000484288,10122170.939999999478459
20120217,5170465.679999999701977,5052677.720000000670552,10223143.400000000372529
20120221,5193711.000000000000000,5035118.479999999515712,10228829.480000000447035
20120222,5154968.799999999813735,5067310.420000000856817,10222279.220000000670552
20120223,5197031.759999999776483,5061457.340000000782311,10258489.100000001490116
20120224,5200352.519999998621643,5048287.910000000149012,10248640.429999999701977
20120227,5194817.919999998994172,5036581.750000000000000,10231399.669999998062849
20120228,5228025.519999998621643,5036581.750000000000000,10264607.269999999552965
20120229,5265660.799999999813735,5111208.520000000484288,10376869.320000000298023
20120301,5253484.679999999701977,5092186.009999999776483,10345670.689999999478459
20120302,5247950.079999999143183,5061457.340000000782311,10309407.419999999925494
20120305,5245736.239999999292195,5065847.149999999441206,10311583.389999998733401
20120306,5135044.239999999292195,5030728.670000000856817,10165772.910000000149012
20120307,5245736.239999999292195,5033655.209999999962747,10279391.449999999254942
20120308,5293333.799999999813735,5068773.690000000409782,10362107.490000000223517
20120309,5324327.559999999590218,5086332.929999999701977,10410660.489999998360872
20120312,5378566.639999999664724,5133157.570000000298023,10511724.210000000894070
20120313,5439447.239999999292195,5140473.920000000856817,10579921.160000000149012
20120314,5475975.599999999627471,5137547.379999999888241,10613522.980000000447035
20120315,5446088.759999999776483,5146327.000000000000000,10592415.759999999776483
20120316,5429484.959999999031425,5133157.570000000298023,10562642.529999999329448
20120319,5405132.719999998807907,5150716.810000000521541,10555849.529999999329448
20120320,5466013.319999999366701,5165349.509999999776483,10631362.829999998211861
20120321,5511397.039999999105930,5203394.530000000260770,10714791.570000000298023
20120322,5499220.919999998994172,5225343.580000000074506,10724564.500000000000000
20120323,5483724.039999999105930,5229733.390000000596046,10713457.429999999701977
20120326,5549032.319999999366701,5260462.060000000521541,10809494.379999998956919
20120327,5539070.039999999105930,5258998.790000000037253,10798068.829999998211861
20120328,5524680.079999999143183,5316066.320000000298023,10840746.399999998509884
20120329,5524680.079999999143183,5400935.979999999515712,10925616.059999998658895
20120330,5568956.879999999888241,5415568.679999999701977,10984525.559999998658895
20120402,5533535.439999999478459,5424348.299999999813735,10957883.739999998360872
20120403,5534642.359999999403954,5396546.170000000856817,10931188.530000001192093
20120404,5518038.559999999590218,5374597.120000000111759,10892635.679999999701977
20120405,5603271.399999999441206,5376060.390000000596046,10979331.789999999105930
20120409,5598843.719999998807907,5332162.290000000037253,10931006.009999997913837
20120410,5463799.479999999515712,5269241.679999999701977,10733041.160000000149012
20120411,5506969.359999999403954,5276558.030000000260770,10783527.390000000596046
20120412,5604378.319999999366701,5283874.379999999888241,10888252.699999999254942
20120413,5640906.679999999701977,5263388.599999999627471,10904295.279999999329448
20120416,5721711.839999998919666,5299970.349999999627471,11021682.189999997615814
20120417,5759347.119999999180436,5411178.870000000111759,11170525.989999998360872
20120418,5734994.879999999888241,5427274.840000000782311,11162269.720000000670552
20120419,5707321.879999999888241,5400935.979999999515712,11108257.859999999403954
20120420,5696252.679999999701977,5424348.299999999813735,11120600.980000000447035
20120423,5656403.559999999590218,5392156.360000000335276,11048559.919999999925494
20120424,5670793.519999998621643,5422885.030000000260770,11093678.549999998882413
20120425,5746064.079999999143183,5482879.099999999627471,11228943.179999999701977
20120426,5741636.399999999441206,5538483.360000000335276,11280119.759999999776483
20120427,5750491.759999999776483,5607257.049999999813735,11357748.809999998658895
20120430,5732781.039999999105930,5583844.729999999515712,11316625.769999999552965
20120501,5791447.799999999813735,5629206.099999999627471,11420653.899999998509884
20120502,5834617.679999999701977,5645302.070000000298023,11479919.750000000000000
20120503,5808051.599999999627471,5665787.849999999627471,11473839.449999999254942
20120504,5751598.679999999701977,5633595.910000000149012,11385194.589999999850988
20120507,5688504.239999999292195,5654081.690000000409782,11342585.929999999701977
20120508,5603271.399999999441206,5643838.799999999813735,11247110.199999999254942
20120509,5546818.479999999515712,5617499.940000000409782,11164318.419999999925494
20120510,5603271.399999999441206,5664324.580000000074506,11267595.980000000447035
20120511,5572277.639999999664724,5668714.390000000596046,11240992.030000001192093
