訓練日期,20130618 - 20130918
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11657601.910000000149012
真實報酬,1657601.910000000149012

夏普值報酬,0.157060191000000
夏普值風險,0.054622436690456
夏普值,2.875378699966402

預期報酬,24342.005174611662369
風險,209208.286944249732187
趨勢值,0.116352968279399
找到最佳解世代,1732
找到最佳解實驗#,1
找到最佳解次數,36

stock[index](rank)
投資組合檔數,2
DD[7](3),UNH[23](1),
Stock#,DD[7](3),UNH[23](1),
張數,102838,77675,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,16.440000000409782,60.250000000000000,
20130618,5069929.839999999850988,5101754.250000000931323,10171684.089999999850988
20130619,4993829.720000000670552,5069130.750000000000000,10062960.470000000670552
20130620,4861168.700000001117587,4955725.250000000000000,9816893.950000001117587
20130621,4778898.300000000745058,4963492.750000000000000,9742391.050000000745058
20130624,4737763.100000000558794,5021749.000000000000000,9759512.100000001490116
20130625,4759359.080000000074506,4950288.000000000000000,9709647.080000000074506
20130626,4716167.120000000111759,5031846.750000000000000,9748013.870000001043081
20130627,4737763.100000000558794,5133601.000000000000000,9871364.100000001490116
20130628,4711025.220000000670552,5086219.250000000000000,9797244.470000000670552
20130701,4759359.080000000074506,5097870.500000000000000,9857229.580000000074506
20130702,4751132.040000000968575,5069907.500000000000000,9821039.540000000968575
20130703,4749075.280000000260770,5090879.750000000931323,9839955.030000001192093
20130705,4787125.339999999850988,5139815.000000000000000,9926940.339999999850988
20130708,4845743.000000000000000,5247783.250000000000000,10093526.250000000000000
20130709,4982517.540000000968575,5279630.000000000000000,10262147.540000000968575
20130710,4948581.000000000000000,5257881.000000000000000,10206462.000000000000000
20130711,5008227.040000000968575,5309923.250000000000000,10318150.290000000968575
20130712,4996914.860000000335276,5281960.250000000000000,10278875.109999999403954
20130715,5038050.060000000521541,5252443.750000000000000,10290493.810000000521541
20130716,4975318.880000000819564,5197294.500000000000000,10172613.380000000819564
20130717,5086383.920000000856817,5144475.500000000000000,10230859.420000001788139
20130718,5064787.940000000409782,5480031.500000000000000,10544819.440000001341105
20130719,5077128.500000000000000,5549939.000000000000000,10627067.500000000000000
20130722,5065816.320000000298023,5606641.750000000931323,10672458.070000000298023
20130723,5059646.040000000968575,5646256.000000000000000,10705902.040000000968575
20130724,5033936.540000000968575,5633828.000000000000000,10667764.540000000968575
20130725,5124433.980000000447035,5640818.750000000000000,10765252.730000000447035
20130726,5082270.400000000372529,5608971.999999999068677,10691242.399999998509884
20130729,5125462.360000000335276,5654023.500000000931323,10779485.860000001266599
20130730,5134717.780000000260770,5613632.500000000000000,10748350.280000001192093
20130731,5131632.640000000596046,5658684.000000000000000,10790316.640000000596046
20130801,5184080.020000000484288,5682763.250000000000000,10866843.269999999552965
20130802,5304400.480000000447035,5612855.750000000000000,10917256.230000000447035
20130805,5342450.540000000968575,5696744.750000000000000,11039195.290000000968575
20130806,5280747.740000000223517,5688977.250000000000000,10969724.990000000223517
20130807,5314684.280000000260770,5664121.250000000000000,10978805.530000001192093
20130808,5405181.720000000670552,5684316.750000000931323,11089498.470000002533197
20130809,5570750.900000000372529,5664898.000000000931323,11235648.900000002235174
20130812,5488480.500000000000000,5622953.500000000000000,11111434.000000000000000
20130813,5547098.160000000149012,5697521.500000000000000,11244619.660000000149012
20130814,5528587.320000000298023,5630721.000000000000000,11159308.320000000298023
20130815,5441175.020000000484288,5546055.250000000000000,10987230.269999999552965
20130816,5402096.580000000074506,5548385.500000000931323,10950482.080000001937151
20130819,5364046.520000000484288,5570134.499999999068677,10934181.019999999552965
20130820,5411352.000000000000000,5628390.749999999068677,11039742.750000000000000
20130821,5439118.260000000707805,5581009.000000000000000,11020127.260000001639128
20130822,5446316.920000000856817,5590330.000000000000000,11036646.920000001788139
20130823,5673588.900000000372529,5634604.750000000931323,11308193.650000002235174
20130826,5660219.959999999962747,5622176.750000000000000,11282396.710000000894070
20130827,5500821.060000000521541,5555376.250000000000000,11056197.310000000521541
20130828,5484366.980000000447035,5556929.750000000931323,11041296.730000000447035
20130829,5494650.780000000260770,5626837.250000000000000,11121488.030000001192093
20130830,5477168.320000000298023,5572464.750000000000000,11049633.070000000298023
20130903,5483338.600000000558794,5636158.250000000000000,11119496.850000001490116
20130904,5532700.839999999850988,5697521.500000000000000,11230222.339999999850988
20130905,5625255.040000000968575,5751117.250000000931323,11376372.290000002831221
20130906,5646851.020000000484288,5752670.750000000000000,11399521.769999999552965
20130909,5683872.700000001117587,5767429.000000000000000,11451301.700000001117587
20130910,5855612.160000000149012,5796945.500000000000000,11652557.660000000149012
20130911,5836072.940000000409782,5839666.750000000931323,11675739.690000001341105
20130912,5691071.360000000335276,5805489.750000000000000,11496561.109999999403954
20130913,5839158.080000000074506,5785294.250000000000000,11624452.330000000074506
20130916,5828874.280000000260770,5835006.250000000000000,11663880.530000001192093
20130917,5815505.339999999850988,5772089.500000000000000,11587594.839999999850988
20130918,5984159.660000000149012,5673442.250000000931323,11657601.910000000149012
