訓練日期,20170320 - 20170620
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10881389.900000000372529
真實報酬,881389.900000000372529

夏普值報酬,0.079438990000000
夏普值風險,0.030803017457842
夏普值,2.578935330239111

預期報酬,15792.640623605399014
風險,68961.819463348409045
趨勢值,0.229005567812764
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
CVX[5](19),KO[14](2),MCD[15](1),WMT[28](3),
Stock#,CVX[5](19),KO[14](2),MCD[15](1),WMT[28](3),
張數,23216,59481,19434,35770,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,101.119999999646097,13.569999999832362,10.240000000223517,34.700000000186265,
20170320,2499535.679999999701977,2508922.149999999906868,2502720.760000000242144,2503219.300000000279397,10014397.890000000596046
20170321,2508357.759999999776483,2527956.069999999832362,2497667.920000000391155,2500357.700000000186265,10034339.449999999254942
20170322,2516483.359999999869615,2520818.350000000093132,2508939.640000000130385,2512877.200000000186265,10059118.550000000745058
20170323,2504411.039999999571592,2508327.339999999850988,2506996.240000000223517,2498926.900000000372529,10018661.519999999552965
20170324,2507196.959999999497086,2505353.289999999571592,2513603.800000000279397,2489984.400000000372529,10016138.449999999254942
20170327,2467497.599999999627471,2517249.489999999757856,2516518.900000000372529,2491772.899999999906868,9993038.890000000596046
20170328,2488159.839999999850988,2523792.399999999906868,2515741.540000000037253,2515381.100000000093132,10043074.880000000819564
20170329,2509054.239999999292195,2523197.589999999850988,2503886.800000000279397,2530404.500000000000000,10066543.129999998956919
20170330,2502321.599999999627471,2533904.169999999925494,2513215.120000000111759,2560809.000000000465661,10110249.890000000596046
20170331,2492803.039999999571592,2524387.209999999497086,2518850.980000000447035,2578336.300000000279397,10114377.529999999329448
20170403,2502785.919999999459833,2522602.779999999795109,2518850.980000000447035,2569393.800000000279397,10113633.480000000447035
20170404,2522751.679999999701977,2538662.649999999906868,2512632.100000000093132,2575832.400000000372529,10149878.830000000074506
20170405,2522287.359999999869615,2532119.739999999757856,2534398.180000000167638,2562955.200000000186265,10151760.480000000447035
20170406,2537377.759999999776483,2538067.839999999850988,2529345.340000000316650,2555085.800000000279397,10159876.740000000223517
20170407,2527394.879999999422580,2534498.979999999981374,2525652.880000000353903,2607667.700000000186265,10195214.440000001341105
20170410,2540628.000000000000000,2539257.459999999497086,2526041.560000000055879,2613390.900000000372529,10219317.919999999925494
20170411,2529948.639999999664724,2537473.029999999795109,2549751.040000000037253,2626625.800000000279397,10243798.509999999776483
20170412,2529948.639999999664724,2554127.709999999497086,2550917.080000000074506,2626983.500000000000000,10261976.929999999701977
20170413,2463318.719999999739230,2545205.559999999590218,2541200.080000000074506,2616610.200000000186265,10166334.559999998658895
20170417,2464943.839999999850988,2561860.239999999757856,2552666.140000000130385,2628772.000000000000000,10208242.220000000670552
20170418,2453568.000000000000000,2586247.449999999720603,2571128.440000000409782,2643080.000000000000000,10254023.890000000596046
20170419,2419904.799999999813735,2571377.199999999720603,2577736.000000000000000,2649518.600000000093132,10218536.599999999627471
20170420,2434995.199999999720603,2563049.859999999869615,2589979.420000000391155,2675630.700000000186265,10263655.179999999701977
20170421,2435227.359999999869615,2561860.239999999757856,2592700.180000000167638,2680638.500000000000000,10270426.279999999329448
20170424,2459372.000000000000000,2574351.250000000000000,2608636.060000000055879,2674915.300000000279397,10317274.610000001266599
20170425,2477944.799999999813735,2564239.479999999981374,2753808.040000000037253,2684573.200000000186265,10480565.519999999552965
20170426,2462854.399999999441206,2571972.009999999776483,2737094.800000000279397,2698165.800000000279397,10470087.009999999776483
20170427,2448692.639999999664724,2558291.379999999888241,2737677.820000000298023,2698523.500000000000000,10443185.339999999850988
20170428,2477248.319999999832362,2566618.719999999739230,2719409.860000000335276,2689223.300000000279397,10452500.199999999254942
20170501,2459139.839999999850988,2570782.389999999664724,2743119.340000000316650,2691011.800000000279397,10464053.370000001043081
20170502,2446138.879999999422580,2580894.159999999683350,2744674.060000000055879,2701385.100000000093132,10473092.199999999254942
20170503,2477712.639999999664724,2576730.489999999757856,2771687.320000000298023,2709969.900000000372529,10536100.349999999627471
20170504,2433370.079999999608845,2596954.029999999795109,2787817.540000000037253,2730716.500000000465661,10548858.150000000372529
20170505,2456121.759999999776483,2598738.459999999497086,2797728.880000000353903,2736439.700000000186265,10589028.800000000745058
20170508,2476784.000000000000000,2610634.659999999683350,2803170.400000000372529,2722847.100000000558794,10613436.160000000149012
20170509,2439638.399999999441206,2588031.879999999888241,2805502.480000000447035,2744309.100000000093132,10577481.859999999403954
20170510,2472605.119999999646097,2591600.739999999757856,2808611.920000000391155,2743593.700000000186265,10616411.480000000447035
20170511,2465872.479999999515712,2597548.839999999850988,2802587.380000000353903,2723204.799999999813735,10589213.500000000000000
20170512,2460068.479999999515712,2592790.359999999869615,2824936.480000000447035,2708181.399999999906868,10585976.720000000670552
20170515,2480730.719999999739230,2601117.699999999720603,2842815.760000000242144,2728928.000000000465661,10653592.179999999701977
20170516,2490017.119999999646097,2608255.419999999925494,2862444.100000000093132,2686719.400000000372529,10647436.039999999105930
20170517,2430816.319999999832362,2613013.899999999906868,2845342.180000000167638,2687077.100000000558794,10576249.500000000000000
20170518,2441727.839999999850988,2605281.369999999646097,2857002.580000000074506,2773640.500000000465661,10677652.289999999105930
20170519,2473069.439999999478459,2611229.469999999739230,2879157.340000000316650,2817637.600000000093132,10781093.849999999627471
20170522,2463783.039999999571592,2627884.149999999906868,2879934.700000000186265,2809768.200000000186265,10781370.089999999850988
20170523,2467265.439999999478459,2640375.159999999683350,2872744.120000000111759,2807622.000000000000000,10788006.719999998807907
20170524,2466104.639999999664724,2678443.000000000000000,2905393.240000000223517,2795460.200000000186265,10845401.080000000074506
20170525,2440334.879999999422580,2701045.779999999795109,2910834.760000000242144,2801183.400000000372529,10853398.820000000298023
20170526,2431280.639999999664724,2699856.159999999683350,2912389.480000000447035,2794744.799999999813735,10838271.079999998211861
20170530,2415958.079999999608845,2702235.399999999906868,2913749.860000000335276,2795460.200000000186265,10827403.539999999105930
20170531,2402492.799999999813735,2704614.639999999664724,2932406.500000000000000,2811556.700000000186265,10851070.640000000596046
20170601,2420833.439999999478459,2723648.559999999590218,2961557.500000000000000,2854838.400000000372529,10960877.899999998509884
20170602,2393902.879999999422580,2729596.659999999683350,2987793.400000000372529,2848042.100000000558794,10959335.039999999105930
20170605,2395760.159999999683350,2735544.759999999776483,2969331.100000000093132,2870934.900000000372529,10971570.919999999925494
20170606,2418511.839999999850988,2734949.949999999720603,2939014.060000000055879,2823360.800000000279397,10915836.650000000372529
20170607,2409225.439999999478459,2706993.879999999888241,2952812.200000000186265,2831230.200000000186265,10900261.719999998807907
20170608,2414565.119999999646097,2684391.100000000093132,2942900.860000000335276,2823360.800000000279397,10865217.880000000819564
20170609,2470283.519999999552965,2695692.489999999757856,2943872.560000000055879,2840888.100000000093132,10950736.669999999925494
20170612,2508357.759999999776483,2696287.299999999813735,2885376.220000000204891,2834449.500000000000000,10924470.779999999329448
20170613,2510447.199999999720603,2678443.000000000000000,2911612.120000000111759,2844465.100000000093132,10944967.419999999925494
20170614,2474926.719999999739230,2694502.869999999646097,2928325.360000000335276,2858057.700000000186265,10955812.650000000372529
20170615,2468658.399999999441206,2691528.819999999832362,2937848.020000000018626,2822645.399999999906868,10920680.639999998733401
20170616,2515554.719999999739230,2695097.680000000167638,2953783.900000000372529,2691369.500000000000000,10855805.800000000745058
20170619,2494892.479999999515712,2699261.350000000093132,2976133.000000000000000,2700669.700000000186265,10870956.530000001192093
20170620,2472140.799999999813735,2712941.979999999981374,2994206.620000000111759,2702100.500000000465661,10881389.900000000372529
