訓練日期,20180209 - 20180514
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11604873.179999999701977
真實報酬,1604873.179999999701977

夏普值報酬,0.151787318000000
夏普值風險,0.035608094489044
夏普值,4.262719479322382

預期報酬,22752.666573426577088
風險,175224.041899469535565
趨勢值,0.129848999753586
找到最佳解世代,2190
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](2),INTC[11](1),MCD[15](15),
Stock#,CVX[5](2),INTC[11](1),MCD[15](15),
張數,29682,77972,20968,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.399999999906868,30.000000000000000,50.040000000037253,
20180209,3368951.399999999906868,3426899.400000000372529,3371704.440000000409782,10167556.240000002086163
20180212,3383198.760000000242144,3495514.759999999776483,3436705.240000000223517,10315419.759999999776483
20180213,3362718.180000000167638,3466665.120000000111759,3405253.240000000223517,10234637.540000000968575
20180214,3372810.059999999590218,3538399.360000000335276,3354720.360000000335276,10265930.780000001192093
20180215,3340159.859999999869615,3580504.240000000223517,3371285.080000000074506,10291950.179999999701977
20180216,3328583.879999999888241,3552434.320000000298023,3308590.759999999776483,10189609.960000000894070
20180220,3294152.760000000242144,3611693.040000000037253,3295380.919999999925494,10201227.720000000670552
20180221,3237163.319999999832362,3582063.679999999701977,3326413.559999999590218,10145641.559999998658895
20180222,3261799.379999999888241,3571147.599999999627471,3368768.919999999925494,10201716.899999998509884
20180223,3341940.779999999795109,3721633.559999999590218,3419092.120000000111759,10482667.460000000894070
20180226,3401601.599999999627471,3829234.919999999925494,3429995.480000000447035,10660833.000000000000000
20180227,3372216.419999999925494,3891612.519999999552965,3368768.919999999925494,10632598.859999999403954
20180228,3322053.839999999850988,3843269.879999999888241,3307542.360000000335276,10472867.080000000074506
20180301,3325615.680000000167638,3730210.480000000447035,3264767.639999999664724,10320594.800000000745058
20180302,3313742.879999999888241,3819098.559999999590218,3108975.400000000372529,10241817.839999999850988
