訓練日期,20110131 - 20110503
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11420006.939999999478459
真實報酬,1420006.939999999478459

夏普值報酬,0.133300694000000
夏普值風險,0.034505619681815
夏普值,3.863158964516427

預期報酬,22978.414141141292930
風險,154477.102787667012308
趨勢值,0.148749644617078
找到最佳解世代,1606
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](2),KO[14](4),PFE[20](1),UNH[23](5),
Stock#,CVX[5](2),KO[14](4),PFE[20](1),UNH[23](5),
張數,26775,80360,137741,61079,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,18.250000000000000,0.399999999906868,0.850000000093132,36.529999999795109,
20110131,2541769.000000000000000,2525715.199999999720603,2509641.870000000111759,2507329.479999999515712,10084455.549999998882413
20110201,2576308.750000000000000,2533751.200000000186265,2647382.870000000111759,2569630.059999999590218,10327072.879999998956919
20110202,2583270.250000000000000,2525715.199999999720603,2611570.210000000428408,2562300.580000000074506,10282856.240000000223517
20110203,2605493.500000000000000,2514464.799999999813735,2640495.820000000298023,2628876.689999999944121,10389330.810000000521541
20110204,2600138.500000000000000,2513661.200000000186265,2658402.150000000372529,2595283.239999999757856,10367485.089999999850988
20110207,2614864.750000000000000,2512054.000000000000000,2622589.489999999757856,2553749.520000000018626,10303257.759999999776483
20110208,2617006.750000000000000,2526518.799999999813735,2639118.410000000149012,2563522.159999999683350,10346166.119999999180436
20110209,2576844.250000000000000,2537769.199999999720603,2623966.900000000372529,2569630.059999999590218,10308210.410000000149012
20110210,2589160.750000000000000,2553037.600000000093132,2621212.080000000074506,2591618.500000000000000,10355028.929999999701977
20110211,2582467.000000000000000,2554644.799999999813735,2593663.879999999888241,2588564.549999999813735,10319340.230000000447035
20110214,2595854.500000000000000,2536965.600000000093132,2623966.900000000372529,2593450.869999999646097,10350237.869999999180436
20110215,2579521.750000000000000,2539376.399999999906868,2623966.900000000372529,2567186.899999999906868,10310051.950000001117587
20110216,2588089.750000000000000,2547412.399999999906868,2655647.330000000074506,2595894.029999999795109,10387043.509999999776483
20110217,2601745.000000000000000,2594021.200000000186265,2668044.020000000018626,2601391.140000000130385,10465201.360000001266599
20110218,2643246.250000000000000,2594021.200000000186265,2643250.640000000130385,2616660.890000000130385,10497178.980000000447035
20110222,2686086.250000000000000,2561877.199999999720603,2601928.340000000316650,2623990.369999999646097,10473882.159999998286366
20110223,2738297.500000000000000,2568306.000000000000000,2584022.010000000242144,2620936.419999999459833,10511561.929999999701977
20110224,2731871.500000000000000,2566698.799999999813735,2603305.750000000000000,2611163.779999999795109,10513039.830000000074506
20110225,2733745.750000000000000,2584377.999999999534339,2597796.109999999869615,2597115.609999999869615,10513035.469999998807907
20110228,2777924.500000000000000,2568306.000000000000000,2650137.689999999944121,2600780.349999999627471,10597148.539999999105930
