訓練日期,20131101 - 20140205
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11288479.799999998882413
真實報酬,1288479.799999998882413

夏普值報酬,0.120147980000000
夏普值風險,0.039870985700697
夏普值,3.013418853045815

預期報酬,22586.682021672972041
風險,115574.057735929076443
趨勢值,0.195430380001717
找到最佳解世代,2013
找到最佳解實驗#,1
找到最佳解次數,22

stock[index](rank)
投資組合檔數,3
CAT[3](2),MRK[17](1),V[25](3),
Stock#,CAT[3](2),MRK[17](1),V[25](3),
張數,39987,73926,67792,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,16.680000000167638,9.659999999683350,0.359999999869615,
20131101,3342530.010000000242144,3343682.639999999664724,3375364.040000000037253,10061577.690000001341105
20131104,3354526.110000000335276,3379906.379999999422580,3329265.479999999981374,10063698.970000000670552
20131105,3360924.030000000260770,3353293.019999999552965,3344857.640000000130385,10059075.689999999478459
20131106,3367721.820000000298023,3397648.619999999646097,3373330.279999999795109,10138701.719999998807907
20131107,3344929.230000000447035,3387298.979999999515712,3323842.120000000111759,10056071.330000000074506
20131108,3368521.560000000055879,3459746.459999999497086,3360449.799999999813735,10188718.820000000298023
20131111,3364922.730000000447035,3474531.659999999683350,3377397.799999999813735,10216853.190000001341105
20131112,3352926.629999999888241,3518148.000000000000000,3360449.799999999813735,10231525.429999999701977
20131113,3366922.080000000074506,3499666.500000000000000,3386210.760000000242144,10252800.339999999850988
20131114,3349327.800000000279397,3535150.979999999515712,3392312.040000000037253,10276791.820000000298023
20131115,3348528.060000000055879,3553632.479999999515712,3423496.359999999869615,10325657.899999998509884
20131118,3360524.160000000614673,3549196.919999999459833,3388244.519999999552965,10297966.599999999627471
20131119,3345728.970000000204891,3553632.479999999515712,3345535.560000000055879,10244898.009999999776483
20131120,3306141.840000000316650,3558068.040000000037253,3357738.120000000111759,10221949.000000000000000
20131121,3283749.120000000577420,3594291.779999999329448,3416717.159999999683350,10294759.060000000521541
20131122,3314139.239999999757856,3617948.099999999627471,3425530.120000000111759,10357618.460000000894070
20131125,3374919.480000000447035,3671174.819999999366701,3422140.519999999552965,10468235.820000000298023
20131126,3373320.000000000000000,3665260.739999999757856,3449257.319999999832362,10487839.060000000521541
20131127,3385715.970000000204891,3683742.239999999757856,3457392.359999999869615,10526851.570000000298023
20131129,3382916.879999999888241,3683742.239999999757856,3448579.399999999906868,10515239.519999999552965
20131202,3368921.430000000167638,3709616.339999999850988,3476374.120000000111759,10554912.890000000596046
20131203,3353726.370000000577420,3678567.419999999459833,3419428.839999999850988,10451723.629999998956919
20131204,3357725.070000000298023,3645300.719999999739230,3436376.839999999850988,10439403.629999998956919
20131205,3375319.350000000093132,3608337.719999999739230,3418750.919999999925494,10402408.990000000223517
20131206,3418905.180000000167638,3651214.799999999813735,3421462.599999999627471,10491583.580000000074506
20131209,3442497.510000000242144,3663782.219999999739230,3416717.159999999683350,10522997.890000000596046
20131210,3455693.220000000204891,3654171.839999999850988,3380109.479999999981374,10489975.540000000968575
20131211,3410108.040000000037253,3618687.359999999869615,3485865.000000000000000,10514661.400000000372529
20131212,3421704.270000000018626,3572113.979999999515712,3447901.479999999981374,10441720.730000000447035
20131213,3440898.030000000260770,3576549.540000000037253,3514337.640000000130385,10531786.210000000894070
20131216,3494080.739999999757856,3555111.000000000000000,3521116.839999999850988,10570309.580000000074506
20131217,3475686.720000000204891,3541065.059999999590218,3613991.879999999888241,10630744.660000000149012
20131218,3525670.470000000204891,3614991.059999999590218,3649921.640000000130385,10790584.169999999925494
