訓練日期,20160606 - 20160906
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10997241.269999999552965
真實報酬,997241.269999999552965

夏普值報酬,0.091024127000000
夏普值風險,0.029573381152517
夏普值,3.077907342774413

預期報酬,15792.131892168896229
風險,106385.137465834122850
趨勢值,0.148443027553925
找到最佳解世代,2197
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](14),INTC[11](2),MRK[17](6),PG[21](1),VZ[26](17),
Stock#,AAPL[0](14),INTC[11](2),MRK[17](6),PG[21](1),VZ[26](17),
張數,20424,63251,35310,24251,39277,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,81.919999999925494,3.379999999888241,41.600000000093132,20.030000000027940,15.159999999916181,
20160606,2014501.039999999804422,2003795.059999999823049,2018714.300000000046566,2007275.300000000046566,1991751.829999999841675,10036037.529999999329448
20160607,2022670.639999999897555,2016445.259999999776483,2012711.600000000093132,1996362.349999999860302,2032599.909999999916181,10080789.759999999776483
20160608,2020832.479999999981374,2017077.770000000018626,2034603.800000000046566,2004365.180000000167638,2023566.199999999953434,10100445.429999999701977
20160609,2035333.520000000018626,2020240.320000000065193,2019067.400000000139698,2016975.699999999953434,2040455.310000000055879,10132072.250000000000000
20160610,2018585.839999999850988,2026565.419999999925494,2006002.700000000186265,2017703.229999999981374,2068734.750000000000000,10137591.939999999478459
20160613,1988154.080000000074506,2034788.050000000046566,1981285.700000000186265,2002425.099999999860302,2064807.049999999813735,10071459.980000000447035
20160614,1990604.959999999729916,2032890.520000000018626,1986229.100000000093132,2021340.879999999888241,2081303.389999999897555,10112368.849999999627471
20160615,1984069.280000000027940,1999367.489999999757856,1980579.500000000232831,2011640.479999999981374,2075411.840000000083819,10051068.589999999850988
20160616,1992443.119999999878928,2004427.570000000065193,2030366.600000000093132,2022795.939999999944121,2099763.580000000074506,10149796.810000000521541
20160617,1947101.839999999850988,2008855.139999999897555,1973517.500000000000000,2016005.659999999916181,2112332.219999999739230,10057812.359999999403954
20160620,1942404.319999999832362,2034788.050000000046566,1982345.000000000000000,2013823.070000000065193,2111546.679999999701977,10084907.120000001043081
20160621,1958947.759999999776483,2044275.699999999953434,1986229.100000000093132,2022795.939999999944121,2124900.860000000335276,10137149.359999999403954
20160622,1951595.119999999878928,2042378.169999999925494,2014124.000000000000000,2026676.099999999860302,2122151.469999999739230,10156924.859999999403954
20160623,1962828.319999999832362,2086653.870000000111759,2036722.400000000139698,2042196.739999999990687,2147288.750000000000000,10275690.080000000074506
20160624,1907683.520000000018626,1995572.429999999934807,1973164.400000000139698,1994907.290000000037253,2137862.269999999552965,10009189.910000000149012
20160627,1879906.880000000121072,1943074.099999999860302,1953037.700000000186265,1969928.760000000009313,2150038.139999999664724,9895985.579999998211861
20160628,1911564.080000000074506,1972802.070000000065193,1962571.400000000139698,1999757.489999999990687,2153180.299999999813735,9999875.339999999850988
20160629,1928107.520000000018626,2019607.809999999823049,2014477.100000000093132,2034921.439999999944121,2162606.780000000260770,10159720.649999998509884
20160630,1952616.319999999832362,2074636.179999999701977,2034250.700000000186265,2053352.199999999953434,2193242.839999999850988,10308098.239999998360872
20160701,1958539.280000000027940,2071473.629999999888241,2045903.000000000000000,2056019.810000000055879,2208560.870000000111759,10340496.589999999850988
20160705,1940157.679999999934807,2067046.059999999823049,2048021.600000000093132,2072025.469999999972060,2220343.969999999739230,10347594.779999999329448
20160706,1951186.639999999897555,2085388.849999999860302,2088981.199999999953434,2062082.560000000055879,2209739.179999999701977,10397378.429999999701977
20160707,1959560.479999999981374,2099936.580000000074506,2075563.400000000139698,2057232.360000000102445,2175175.419999999925494,10367468.240000000223517
20160708,1974674.239999999990687,2150537.379999999888241,2095690.100000000093132,2080028.300000000046566,2195599.459999999962747,10496529.480000000447035
20160711,1980801.439999999944121,2174572.760000000242144,2095337.000000000232831,2079543.280000000027940,2196777.769999999552965,10527032.250000000000000
20160712,1989788.000000000000000,2209993.319999999832362,2104517.600000000093132,2079543.280000000027940,2178710.349999999627471,10562552.550000000745058
20160713,1978554.800000000046566,2214420.889999999664724,2102752.100000000093132,2082938.419999999925494,2199527.160000000149012,10578193.369999999180436
20160714,2017768.880000000121072,2226438.580000000074506,2106283.100000000093132,2082453.400000000139698,2193242.839999999850988,10626186.800000000745058
20160715,2017564.639999999897555,2218215.949999999720603,2105576.900000000372529,2085848.540000000037253,2193242.839999999850988,10620448.870000001043081
20160718,2039009.839999999850988,2216950.929999999701977,2084037.800000000279397,2083908.460000000195578,2196777.769999999552965,10620684.800000000745058
20160719,2039826.800000000046566,2223276.029999999795109,2071326.199999999953434,2089728.699999999953434,2187744.059999999590218,10611901.789999999105930
20160720,2041664.959999999729916,2257431.569999999832362,2075916.500000000000000,2069115.349999999860302,2184601.899999999441206,10628730.279999997466803
20160721,2030840.239999999990687,2167615.149999999906868,2075916.500000000000000,2067660.290000000037253,2174782.649999999441206,10516814.829999998211861
20160722,2015113.759999999776483,2192283.039999999571592,2076975.800000000046566,2078815.750000000000000,2203454.860000000335276,10566643.209999999031425
20160725,1988154.080000000074506,2194180.569999999832362,2067795.200000000186265,2080755.830000000074506,2194421.149999999441206,10525306.829999998211861
20160726,1974470.000000000000000,2219480.970000000204891,2060733.200000000186265,2067902.800000000046566,2152787.530000000260770,10475374.500000000000000
20160727,2102732.720000000204891,2203035.709999999962747,2069207.600000000093132,2048259.489999999990687,2172818.799999999813735,10596054.320000000298023
20160728,2131122.080000000074506,2199240.649999999906868,2063204.900000000139698,2056747.340000000083819,2154751.379999999888241,10605066.350000001490116
20160729,2128466.959999999962747,2204933.239999999757856,2071326.199999999953434,2075663.120000000111759,2176353.729999999515712,10656743.250000000000000
20160801,2166047.119999999646097,2204300.729999999981374,2071326.199999999953434,2095548.939999999944121,2140611.660000000149012,10677834.650000000372529
20160802,2133981.439999999944121,2185957.939999999944121,2059673.900000000139698,2104036.790000000037253,2120973.160000000149012,10604623.230000000447035
20160803,2160736.879999999888241,2166350.129999999888241,2035663.100000000093132,2084878.500000000000000,2117045.459999999962747,10564674.070000000298023
20160804,2162370.799999999813735,2187222.959999999962747,2042372.000000000232831,2086818.580000000074506,2118223.769999999552965,10597008.109999999403954
20160805,2195253.439999999944121,2212523.359999999869615,2254938.200000000186265,2080270.810000000055879,2106833.439999999478459,10849819.250000000000000
