訓練日期,20110316 - 20110616
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11115598.560000000521541
真實報酬,1115598.560000000521541

夏普值報酬,0.102859856000000
夏普值風險,0.042225264111552
夏普值,2.435978984720175

預期報酬,20416.237855442283035
風險,158185.104464063828345
趨勢值,0.129065488970110
找到最佳解世代,2491
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](1),MCD[15](2),
Stock#,JNJ[12](1),MCD[15](2),
張數,85499,66560,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.480000000447035,12.799999999813735,
20110316,4929890.820000000298023,4884185.599999999627471,9814076.419999999925494
20110317,4970075.350000000558794,4885516.799999999813735,9855592.150000000372529
20110318,5007694.910000000149012,4858227.199999999254942,9865922.109999999403954
20110321,5029924.650000000372529,4909478.400000000372529,9939403.050000000745058
20110322,5026504.690000000409782,4916800.000000000000000,9943304.690000001341105
20110323,5020519.760000000707805,4960729.599999999627471,9981249.359999999403954
20110324,5047024.450000000186265,4987353.600000000558794,10034378.050000000745058
20110325,5042749.500000000000000,5008652.799999999813735,10051402.300000000745058
20110328,5064979.240000000223517,4992012.799999999813735,10056992.039999999105930
20110329,5063269.260000000707805,5016640.000000000000000,10079909.260000001639128
20110330,5076949.100000000558794,5045926.400000000372529,10122875.500000000000000
20110331,5065834.230000000447035,5064563.200000000186265,10130397.429999999701977
20110401,5086353.990000000223517,5057907.199999999254942,10144261.189999999478459
20110404,5142783.330000000074506,5084531.200000000186265,10227314.530000001192093
20110405,5112858.680000000633299,5098508.799999999813735,10211367.480000000447035
20110406,5100888.820000000298023,5106496.000000000000000,10207384.820000000298023
20110407,5085499.000000000000000,5059238.400000000372529,10144737.400000000372529
20110408,5083789.020000000484288,5061235.200000000186265,10145024.220000000670552
20110411,5117988.620000000111759,5075212.799999999813735,10193201.419999999925494
20110412,5124828.540000000037253,5102502.399999999441206,10227330.939999999478459
20110413,5095758.880000000819564,5117811.200000000186265,10213570.080000001937151
20110414,5131668.460000000894070,5129791.999999999068677,10261460.460000000894070
20110415,5177837.920000000856817,5150425.599999999627471,10328263.519999999552965
20110418,5169288.020000000484288,5125132.799999999813735,10294420.820000000298023
20110419,5359950.790000000037253,5098508.799999999813735,10458459.589999999850988
20110420,5505299.090000000782311,5218316.799999999813735,10723615.890000000596046
20110421,5477939.410000000149012,5119142.399999999441206,10597081.809999998658895
20110425,5481359.370000000111759,5133785.599999999627471,10615144.969999998807907
20110426,5553178.530000000260770,5121139.199999999254942,10674317.730000000447035
20110427,5606187.910000000149012,5183040.000000000000000,10789227.910000000149012
20110428,5589943.099999999627471,5193689.599999999627471,10783632.699999999254942
20110429,5619012.760000000707805,5212326.400000000372529,10831339.160000000149012
20110502,5660907.269999999552965,5234291.200000000186265,10895198.469999998807907
20110503,5665182.220000000670552,5254259.199999999254942,10919441.419999999925494
20110504,5614737.810000000521541,5262911.999999999068677,10877649.809999998658895
20110505,5558308.470000000670552,5231628.799999999813735,10789937.269999999552965
20110506,5580538.209999999962747,5238284.799999999813735,10818823.009999999776483
20110509,5611317.849999999627471,5278886.400000000372529,10890204.250000000000000
20110510,5622432.720000000670552,5305510.399999999441206,10927943.120000001043081
20110511,5691686.910000000149012,5292198.400000000372529,10983885.310000000521541
20110512,5744696.290000000037253,5368742.399999999441206,11113438.689999999478459
20110513,5695961.860000001266599,5374067.199999999254942,11070029.060000000521541
20110516,5674587.110000001266599,5400691.200000000186265,11075278.310000002384186
20110517,5677152.080000001005828,5386713.600000000558794,11063865.680000001564622
20110518,5685701.980000000447035,5424652.799999999813735,11110354.780000001192093
20110519,5676297.090000000782311,5491878.400000000372529,11168175.490000002086163
20110520,5616447.790000000037253,5479897.599999999627471,11096345.390000000596046
20110523,5605332.920000000856817,5491212.799999999813735,11096545.720000000670552
20110524,5624142.700000000186265,5500531.200000000186265,11124673.900000000372529
20110525,5667747.190000001341105,5505856.000000000000000,11173603.190000001341105
20110526,5601057.970000000670552,5486553.600000000558794,11087611.570000000298023
20110527,5708786.709999999962747,5432640.000000000000000,11141426.710000000894070
20110531,5753246.190000001341105,5427315.200000000186265,11180561.390000000596046
20110601,5683992.000000000931323,5390041.599999999627471,11074033.600000001490116
20110602,5683992.000000000931323,5374732.799999999813735,11058724.800000000745058
20110603,5650647.390000000596046,5360755.200000000186265,11011402.589999999850988
20110606,5647227.430000000633299,5371404.799999999813735,11018632.230000000447035
20110607,5600202.980000000447035,5400691.200000000186265,11000894.179999999701977
20110608,5654922.340000000782311,5401356.799999999813735,11056279.140000000596046
20110609,5709641.700000000186265,5408678.400000000372529,11118320.100000001490116
20110610,5650647.390000000596046,5348774.399999999441206,10999421.789999999105930
20110613,5693396.890000000596046,5373401.599999999627471,11066798.490000000223517
20110614,5737001.379999999888241,5422656.000000000000000,11159657.379999998956919
20110615,5656632.320000000298023,5407347.199999999254942,11063979.519999999552965
20110616,5670312.160000000149012,5445286.400000000372529,11115598.560000000521541
