訓練日期,20121228 - 20130403
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11510235.650000000372529
真實報酬,1510235.650000000372529

夏普值報酬,0.142323565000000
夏普值風險,0.041902402327955
夏普值,3.396549054302033

預期報酬,24787.558992793470679
風險,55147.666207745729480
趨勢值,0.449476119250754
找到最佳解世代,2662
找到最佳解實驗#,3
找到最佳解次數,37

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MMM[16](5),TRV[22](2),VZ[26](21),
Stock#,JNJ[12](1),MMM[16](5),TRV[22](2),VZ[26](21),
張數,35668,26986,34809,57497,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,29.879999999888241,16.959999999962747,17.620000000111759,30.440000000409782,
20121228,2478242.520000000018626,2476792.040000000037253,2479810.779999999795109,2466651.740000000223517,9901497.080000000074506
20121231,2500356.679999999701977,2505667.059999999590218,2500000.000000000000000,2487925.630000000819564,9993949.370000001043081
20130102,2526751.000000000000000,2557750.040000000037253,2536201.359999999869615,2545422.630000000819564,10166125.030000001192093
20130103,2523184.199999999720603,2554781.580000000074506,2555694.400000000372529,2533348.260000000707805,10167008.440000001341105
20130104,2552075.279999999795109,2573671.780000000260770,2577972.160000000149012,2547147.540000000037253,10250866.760000001639128
20130107,2546725.080000000074506,2576910.099999999627471,2543163.160000000149012,2569571.370000000111759,10236369.710000000894070
20130108,2547081.759999999776483,2577179.959999999962747,2547688.330000000074506,2478151.140000000596046,10150101.190000001341105
20130109,2558495.520000000018626,2601737.219999999739230,2573795.080000000074506,2472401.440000000409782,10206429.260000001639128
20130110,2574902.799999999813735,2614690.500000000000000,2591547.670000000391155,2506324.670000000391155,10287465.640000000596046
20130111,2580609.679999999701977,2598229.040000000037253,2605471.270000000018626,2489650.540000000037253,10273960.530000001192093
20130114,2588099.959999999962747,2619817.839999999850988,2608952.170000000391155,2448827.670000000391155,10265697.640000000596046
20130115,2581323.040000000037253,2625484.899999999906868,2630185.660000000149012,2413179.530000000260770,10250173.129999998956919
20130116,2588813.319999999832362,2633850.559999999590218,2629837.569999999832362,2386730.910000000149012,10239232.359999999403954
20130117,2600227.080000000074506,2646803.839999999850988,2642020.720000000204891,2422379.050000000745058,10311430.690000001341105
20130118,2611997.520000000018626,2664614.599999999627471,2656292.410000000149012,2445952.820000000298023,10378857.349999999627471
20130122,2592736.799999999813735,2680536.339999999850988,2713379.170000000391155,2468951.620000000111759,10455603.929999999701977
20130123,2598443.679999999701977,2684854.099999999627471,2702588.380000000353903,2460327.070000000298023,10446213.230000000447035
20130124,2607360.679999999701977,2689711.580000000074506,2718252.430000000167638,2448827.670000000391155,10464152.359999999403954
20130125,2636608.439999999944121,2714538.700000000186265,2727302.770000000018626,2453427.430000000633299,10531877.339999999850988
20130128,2625908.040000000037253,2716157.860000000335276,2692493.770000000018626,2459177.130000000819564,10493736.800000000745058
20130129,2654085.759999999776483,2747461.620000000111759,2708505.910000000149012,2501149.940000000409782,10611203.230000000447035
20130130,2642672.000000000000000,2720205.759999999776483,2700499.839999999850988,2507474.610000000335276,10570852.210000000894070
20130131,2636608.439999999944121,2713459.259999999776483,2731131.759999999776483,2507474.610000000335276,10588674.070000000298023
20130201,2645882.120000000111759,2740715.120000000111759,2780908.630000000353903,2562096.760000000707805,10729602.630000002682209
