代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12723153.419999999925494
真實報酬,2723153.419999999925494

夏普值報酬,0.263615342000000
夏普值風險,0.073285221845648
夏普值,3.597114607297235

二次趨勢線,-1.041967082741124 x^2 + 22687.841506525270233 x + 10000000.000000000000000
二次加權預期報酬,22509.317813015637512
風險,200381.145443037705263
二次加權趨勢值,0.112332513936120
一次趨勢線,22587.423449306053953 x + 10000000.000000000000000
一次預期報酬,22587.423449306053953
一次風險,200390.413143482001033
一次趨勢值,0.112717086087013
找到最佳解世代,1842
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](3),DD[7](4),UNH[23](2),
Stock#,BA[2](3),DD[7](4),UNH[23](2),
張數,39100,74621,56525,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.000000000000000,12.929999999701977,53.750000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3287977.000000000000000,3289306.609999999403954,3489907.250000000000000,10067191.859999999403954
FS( 3 ),3298534.000000000000000,3294530.079999999608845,3485950.500000000000000,10079015.580000000074506
FS( 4 ),3321603.000000000000000,3340048.889999999664724,3506299.500000000000000,10167952.390000000596046
FS( 5 ),3369305.000000000000000,3283336.929999999701977,3510256.250000000000000,10162899.179999999701977
FS( 6 ),3391983.000000000000000,3260204.419999999459833,3498386.000000000000000,10150574.419999999925494
FS( 7 ),3409968.999999999534339,3340795.100000000093132,3514778.250000000000000,10265543.349999999627471
FS( 8 ),3433819.999999999534339,3382582.859999999403954,3527779.000000000000000,10344182.859999999403954
FS( 9 ),3461581.000000000000000,3385567.699999999720603,3559998.250000000000000,10407147.949999999254942
FS( 10 ),3475657.000000000000000,3373628.339999999850988,3562824.500000000000000,10412110.839999999850988
FS( 11 ),3392765.000000000000000,3207223.509999999310821,3481428.500000000000000,10081418.009999999776483
FS( 12 ),3397457.000000000000000,3216924.239999999757856,3550389.000000000000000,10164771.240000000223517
FS( 13 ),3389637.000000000000000,3219909.079999999608845,3506299.500000000000000,10115846.580000000074506
FS( 14 ),3367350.000000000000000,3207223.509999999310821,3374031.000000000000000,9948605.509999999776483
FS( 15 ),3439293.999999999534339,3246772.639999999664724,3393814.750000000000000,10079882.389999998733401
FS( 16 ),3399412.000000000000000,3293037.659999999683350,3347464.250000000000000,10039914.910000000149012
FS( 17 ),3447896.000000000465661,3364673.819999999832362,3309027.250000000000000,10121598.070000000298023
FS( 18 ),3551511.000000000000000,3418400.939999999944121,3323158.500000000000000,10293071.439999999478459
FS( 19 ),3584355.000000000000000,3610176.909999999683350,3354247.250000000000000,10548780.160000000149012
FS( 20 ),3630493.000000000000000,3551226.319999999832362,3362160.750000000000000,10543881.070000000298023
FS( 21 ),3593348.000000000000000,3598983.759999999310821,3392119.000000000000000,10584451.759999999776483
FS( 22 ),3574189.000000000000000,3603461.019999999552965,3387597.000000000000000,10565248.019999999552965
FS( 23 ),3565196.000000000465661,3522870.339999999850988,3375726.750000000000000,10463794.089999999850988
FS( 24 ),3605468.999999999534339,3519885.500000000000000,3362160.750000000000000,10487516.250000000000000
FS( 25 ),3665292.000000000000000,3608684.489999999757856,3330506.750000000000000,10604484.240000000223517
FS( 26 ),3682887.000000000000000,3613907.959999999497086,3402858.750000000000000,10699654.709999999031425
FS( 27 ),3706347.000000000465661,3670619.919999999459833,3419816.250000000000000,10796784.169999999925494
FS( 28 ),3677022.000000000465661,3667635.079999999608845,3533431.500000000000000,10878089.580000000074506
FS( 29 ),3699309.000000000000000,3710915.259999999310821,3505169.000000000000000,10915394.259999999776483
FS( 30 ),3684842.000000000000000,3661665.399999999906868,3556041.500000000000000,10902549.900000000372529
FS( 31 ),3705174.000000000000000,3650472.250000000000000,3526648.500000000000000,10882295.750000000000000
FS( 32 ),3757959.000000000000000,3711661.469999999739230,3489342.000000000000000,10958963.469999998807907
FS( 33 ),3793540.000000000000000,3755687.859999999403954,3482559.000000000000000,11031787.859999999403954
FS( 34 ),3776336.000000000000000,3730316.719999999739230,3512517.250000000000000,11019170.969999998807907
FS( 35 ),3867830.000000000000000,3806430.139999999664724,3552084.750000000000000,11226345.890000000596046
FS( 36 ),3860010.000000000000000,3784043.839999999850988,3536257.750000000000000,11180312.589999999850988
FS( 37 ),3861183.000000000000000,3801952.879999999888241,3553780.500000000000000,11216917.379999998956919
FS( 38 ),3829121.000000000465661,3731809.139999999664724,3520430.750000000000000,11081361.890000000596046
FS( 39 ),3900283.000000000000000,3730316.719999999739230,3524952.750000000000000,11155553.469999998807907
FS( 40 ),3910058.000000000000000,3728078.089999999850988,3507995.250000000000000,11146132.339999999850988
FS( 41 ),3914359.000000000000000,3723600.829999999608845,3580347.250000000000000,11218308.080000000074506
FS( 42 ),3874477.000000000000000,3713153.889999999664724,3580912.500000000000000,11168544.390000000596046
FS( 43 ),3931172.000000000465661,3698229.689999999944121,3654960.250000000000000,11284362.940000001341105
FS( 44 ),3871740.000000000000000,3661665.399999999906868,3540214.500000000000000,11073620.900000000372529
FS( 45 ),3938992.000000000000000,3648979.829999999608845,3549823.750000000000000,11137796.580000000074506
FS( 46 ),3894809.000000000000000,3678828.229999999515712,3524952.750000000000000,11098590.980000000447035
FS( 47 ),3851017.000000000000000,3576597.459999999497086,3490472.500000000000000,10918087.959999999031425
FS( 48 ),3900674.000000000000000,3601222.389999999664724,3500081.750000000000000,11001979.140000000596046
FS( 49 ),4007417.000000000000000,3650472.250000000000000,3536823.000000000000000,11194713.250000000000000
FS( 50 ),3997642.000000000000000,3648233.619999999646097,3599565.750000000000000,11245442.369999999180436
FS( 51 ),3978483.000000000000000,3613161.750000000000000,3613697.000000000000000,11205342.750000000000000
FS( 52 ),3944466.000000000000000,3590775.449999999720603,3608044.500000000000000,11143286.949999999254942
FS( 53 ),3994514.000000000000000,3681813.069999999832362,3626132.500000000465661,11302460.570000000298023
FS( 54 ),3981611.000000000000000,3613907.959999999497086,3606348.750000000000000,11201868.709999999031425
FS( 55 ),4028531.000000000000000,3628085.949999999720603,3638568.000000000465661,11295185.949999999254942
FS( 56 ),4069586.000000000000000,3678828.229999999515712,3712615.750000000465661,11461030.980000000447035
FS( 57 ),3998033.000000000000000,3623608.689999999944121,3688875.250000000465661,11310517.939999999478459
FS( 58 ),3895982.000000000000000,3527347.600000000093132,3606348.750000000000000,11029679.349999999627471
FS( 59 ),3909276.000000000000000,3467650.799999999813735,3612001.250000000000000,10988929.050000000745058
FS( 60 ),3825993.000000000000000,3437802.399999999906868,3654395.000000000465661,10918191.400000000372529
FS( 61 ),3858055.000000000000000,3453472.809999999590218,3602392.000000000000000,10913920.809999998658895
FS( 62 ),3939383.000000000000000,3422131.989999999757856,3661743.250000000000000,11023259.240000000223517
