代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12100272.959999999031425
真實報酬,2100272.959999999031425

夏普值報酬,0.201327296000000
夏普值風險,0.060190837708032
夏普值,3.344816315343170

二次趨勢線,86.723723293908392 x^2 + 6662.157666418019289 x + 10000000.000000000000000
二次加權預期報酬,21173.927364265353390
風險,126783.579832480711048
二次加權趨勢值,0.167008435889273
一次趨勢線,14824.898554141524073 x + 10000000.000000000000000
一次預期報酬,14824.898554141524073
一次風險,198710.832403418025933
一次趨勢值,0.074605387008014
找到最佳解世代,1895
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),DD[7](1),MRK[17](3),MSFT[18](12),
Stock#,CAT[3](2),DD[7](1),MRK[17](3),MSFT[18](12),
張數,29847,45821,51292,74449,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.279999999795109,6.239999999757856,27.919999999925494,2.580000000074506,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2509252.569999999366701,2525201.549999999813735,2481021.959999999962747,2525312.660000000149012,10040788.739999998360872
FS( 3 ),2506267.869999999646097,2529783.649999999906868,2480509.040000000037253,2520845.720000000204891,10037406.279999999329448
FS( 4 ),2513132.679999999701977,2609512.189999999944121,2473841.079999999608845,2522334.700000000186265,10118820.649999998509884
FS( 5 ),2493135.189999999944121,2567815.079999999608845,2456401.799999999813735,2479154.279999999795109,9996506.349999999627471
FS( 6 ),2472839.229999999515712,2513746.299999999813735,2449220.919999999925494,2457564.069999999832362,9893370.519999999552965
FS( 7 ),2492836.719999999739230,2539864.269999999552965,2424600.760000000242144,2462031.010000000242144,9919332.759999999776483
FS( 8 ),2528951.589999999850988,2636088.369999999646097,2435885.000000000000000,2513400.819999999832362,10114325.779999999329448
FS( 9 ),2555216.949999999720603,2680076.529999999795109,2425626.600000000093132,2540946.950000000186265,10201867.030000001192093
FS( 10 ),2574020.559999999590218,2663580.969999999739230,2397928.919999999925494,2564770.630000000353903,10200301.080000000074506
FS( 11 ),2559395.529999999795109,2638379.419999999459833,2388696.359999999869615,2567748.590000000316650,10154219.899999998509884
FS( 12 ),2574915.969999999739230,2683742.209999999962747,2419471.560000000055879,2578915.939999999944121,10257045.679999999701977
FS( 13 ),2562380.229999999515712,2700695.979999999515712,2416394.040000000037253,2599761.660000000149012,10279231.910000000149012
FS( 14 ),2606852.259999999776483,2695655.669999999459833,2390748.040000000037253,2602739.620000000111759,10295995.589999999850988
FS( 15 ),2617597.179999999701977,2698863.139999999664724,2385618.839999999850988,2604973.090000000316650,10307052.250000000000000
FS( 16 ),2661472.270000000018626,2711234.810000000055879,2383567.159999999683350,2574449.000000000000000,10330723.240000000223517
FS( 17 ),2500000.000000000000000,2677785.479999999515712,2388183.439999999944121,2513400.819999999832362,10079369.740000000223517
FS( 18 ),2522982.189999999944121,2650751.089999999850988,2370744.159999999683350,2510422.859999999869615,10054900.299999998882413
FS( 19 ),2530145.469999999739230,2578812.119999999646097,2387157.600000000093132,2660065.349999999627471,10156180.539999999105930
FS( 20 ),2515520.439999999944121,2552235.939999999944121,2326120.120000000111759,2648153.510000000242144,10042030.009999999776483
FS( 21 ),2509252.569999999366701,2574688.229999999515712,2337917.279999999795109,2644431.060000000521541,10066289.139999998733401
FS( 22 ),2491941.309999999590218,2561858.349999999627471,2320478.000000000000000,2645920.040000000037253,10020197.699999999254942
FS( 23 ),2488061.199999999720603,2575604.649999999906868,2312784.200000000186265,2636241.669999999925494,10012691.719999998807907
FS( 24 ),2494926.009999999776483,2541697.109999999869615,2319965.079999999608845,2645175.550000000279397,10001763.750000000000000
FS( 25 ),2503880.109999999869615,2505956.729999999515712,2345098.159999999683350,2675699.640000000130385,10030634.640000000596046
FS( 26 ),2508655.629999999888241,2526576.179999999701977,2326633.040000000037253,2727813.939999999944121,10089678.789999999105930
FS( 27 ),2513729.619999999646097,2561858.349999999627471,2357408.239999999757856,2842465.399999999906868,10275461.609999999403954
FS( 28 ),2496716.830000000074506,2523368.709999999962747,2350227.359999999869615,2791840.080000000074506,10162152.980000000447035
