代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11611737.500000000000
真實報酬,1611737.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,27563.309481216456
風險,145270.646429550720
起點值,0.189737639080
找到最佳解世代,1424
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1216(2)[5],2301(10)[1],4904(45)[3],9999(49)[28],
Stock#,1216(2)[5],2301(10)[1],4904(45)[3],9999(49)[28],
張數,97,131,71,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,5160.000000000466,1830.000000000000,34170.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2430160.000000000500,2468559.999999999500,2555380.000000000000,2500000.000000000000,9954100.000000000000
FS( 3 ),2436950.000000000500,2468559.999999999500,2531950.000000000000,2500000.000000000000,9937460.000000000000
FS( 4 ),2529100.000000000500,2509170.000000000000,2489350.000000000000,2500000.000000000000,10027620.000000000000
FS( 5 ),2578570.000000000900,2505240.000000000000,2504969.999999999500,2500000.000000000000,10088780.000000000000
FS( 6 ),2608640.000000000500,2569430.000000000500,2489350.000000000000,2500000.000000000000,10167420.000000000000
FS( 7 ),2608640.000000000500,2582530.000000000000,2473730.000000000000,2500000.000000000000,10164900.000000000000
FS( 8 ),2628040.000000000500,2587769.999999999500,2449590.000000000000,2500000.000000000000,10165400.000000000000
FS( 9 ),2545590.000000000900,2564189.999999999500,2475860.000000000000,2500000.000000000000,10085640.000000000000
FS( 10 ),2641620.000000000500,2610040.000000000000,2489350.000000000000,2500000.000000000000,10241010.000000000000
FS( 11 ),2638710.000000000000,2591700.000000000000,2513490.000000000000,2500000.000000000000,10243900.000000000000
FS( 12 ),2651320.000000000900,2615280.000000000000,2553250.000000000000,2500000.000000000000,10319850.000000000000
FS( 13 ),2601850.000000000500,2587769.999999999500,2524140.000000000000,2500000.000000000000,10213760.000000000000
FS( 14 ),2608640.000000000500,2610040.000000000000,2585200.000000000000,2500000.000000000000,10303880.000000000000
FS( 15 ),2684300.000000000500,2665059.999999999500,2600820.000000000000,2500000.000000000000,10450180.000000000000
FS( 16 ),2704670.000000000000,2624450.000000000000,2605790.000000000000,2500000.000000000000,10434910.000000000000
FS( 17 ),2740560.000000000500,2637550.000000000500,2629930.000000000000,2500000.000000000000,10508040.000000000000
FS( 18 ),2766750.000000000000,2596939.999999999500,2629930.000000000000,2500000.000000000000,10493620.000000000000
