代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11657654.998550000000
真實報酬,1657654.998549999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,28974.831328607164
風險,202093.367677570760
起點值,0.143373489499
找到最佳解世代,1366
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
2002(8)[6],2412(25)[37],3045(41)[2],3231(42)[1],4904(44)[7],9999(49)[49],
Stock#,2002(8)[6],2412(25)[37],3045(41)[2],3231(42)[1],4904(44)[7],9999(49)[49],
張數,120,36,53,105,77,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,4666.000000000000,36946.000000000000,3526.000000000233,316.000000000000,12706.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1714666.000000000000,1661266.000000000000,1666666.000000000000,1662466.000000000000,1680526.000000000000,1666666.000000000000,10052260.000000000000
FS( 3 ),1736266.000000000000,1661266.000000000000,1693696.000000000200,1647766.000000000000,1656656.000000000000,1666666.000000000000,10062320.000000000000
FS( 4 ),1751866.000000000000,1698345.999999999800,1714366.000000000500,1651966.000000000000,1664355.999999999800,1666666.000000000000,10147570.000000000000
FS( 5 ),1714666.000000000000,1711666.000000000000,1709596.000000000200,1613116.000000000000,1673596.000000000000,1666666.000000000000,10089310.000000000000
FS( 6 ),1691866.000000000000,1695825.999999999800,1690516.000000000200,1617316.000000000000,1632786.000000000000,1666666.000000000000,9994980.000000000000
FS( 7 ),1729065.999999999800,1706626.000000000000,1719666.000000000200,1703416.000000000000,1649726.000000000200,1666666.000000000000,10175170.000000000000
FS( 8 ),1847865.999999999800,1695825.999999999800,1726556.000000000200,1678216.000000000000,1662046.000000000200,1666666.000000000000,10277180.000000000000
FS( 9 ),1933066.000000000000,1722466.000000000000,1726556.000000000200,1701316.000000000000,1675906.000000000000,1666666.000000000000,10425980.000000000000
FS( 10 ),1924666.000000000000,1706626.000000000000,1719666.000000000200,1725465.999999999800,1664355.999999999800,1666666.000000000000,10407450.000000000000
FS( 11 ),1973866.000000000000,1682506.000000000000,1719666.000000000200,1764316.000000000000,1658966.000000000000,1666666.000000000000,10465990.000000000000
FS( 12 ),2084266.000000000000,1695825.999999999800,1729736.000000000200,1828366.000000000000,1712096.000000000000,1666666.000000000000,10716960.000000000000
FS( 13 ),1940266.000000000000,1661266.000000000000,1707476.000000000000,1707616.000000000200,1732886.000000000000,1666666.000000000000,10416180.000000000000
FS( 14 ),1873066.000000000000,1669186.000000000200,1714366.000000000500,1676116.000000000200,1738276.000000000000,1666666.000000000000,10337680.000000000000
FS( 15 ),1943866.000000000000,1666666.000000000000,1726556.000000000200,1742266.000000000000,1728266.000000000200,1666666.000000000000,10474290.000000000000
FS( 16 ),1892266.000000000200,1645066.000000000200,1700586.000000000500,1793715.999999999800,1685145.999999999800,1666666.000000000000,10383450.000000000000
FS( 17 ),1869466.000000000000,1645066.000000000200,1705886.000000000200,1785316.000000000000,1688226.000000000200,1666666.000000000000,10360630.000000000000
FS( 18 ),1862266.000000000200,1623825.999999999800,1715956.000000000200,1800016.000000000000,1680526.000000000000,1666666.000000000000,10349260.000000000000
FS( 19 ),1810666.000000000000,1597186.000000000200,1704296.000000000500,1690816.000000000200,1645105.999999999800,1666666.000000000000,10114740.000000000000
FS( 20 ),1780666.000000000000,1599705.999999999800,1688926.000000000200,1660366.000000000000,1666666.000000000000,1666666.000000000000,10063000.000000000000
FS( 21 ),1777065.999999999800,1671705.999999999800,1715956.000000000200,1686616.000000000000,1690536.000000000000,1666666.000000000000,10208550.000000000000
FS( 22 ),1899466.000000000000,1717066.000000000200,1788036.000000000200,1802116.000000000000,1806806.000000000200,1666666.000000000000,10680160.000000000000
FS( 23 ),1995466.000000000000,1711666.000000000000,1818776.000000000200,1927066.000000000200,1902286.000000000000,1666666.000000000000,11021930.000000000000
FS( 24 ),1936666.000000000200,1682506.000000000000,1818776.000000000200,1903965.999999999800,1792946.000000000000,1666666.000000000000,10801530.000000000000
FS( 25 ),1973866.000000000000,1698345.999999999800,1836266.000000000200,2035215.999999999800,1842996.000000000000,1666666.000000000000,11053360.000000000000
FS( 26 ),2018266.000000000200,1709146.000000000000,1822486.000000000200,2017366.000000000200,1788326.000000000000,1666666.000000000000,11022260.000000000000
FS( 27 ),1999066.000000000000,1685026.000000000000,1805526.000000000200,2017366.000000000200,1773696.000000000000,1666666.000000000000,10947350.000000000000
FS( 28 ),2029066.000000000000,1674586.000000000000,1822486.000000000200,1987965.999999999800,1785246.000000000000,1666666.000000000000,10966020.000000000000
FS( 29 ),1965466.000000000000,1658386.000000000000,1829376.000000000500,1849366.000000000000,1761376.000000000000,1666666.000000000000,10730640.000000000000
FS( 30 ),2009866.000000000000,1663786.000000000000,1815596.000000000200,1845166.000000000200,1766766.000000000200,1666666.000000000000,10767850.000000000000
FS( 31 ),1988266.000000000200,1647946.000000000000,1767366.000000000500,1867216.000000000000,1732886.000000000000,1666666.000000000000,10670350.000000000000
FS( 32 ),1995466.000000000000,1653345.999999999800,1801816.000000000200,1894515.999999999800,1776006.000000000000,1666666.000000000000,10787820.000000000000
FS( 33 ),2050666.000000000000,1637146.000000000000,1836266.000000000200,1961715.999999999800,1778316.000000000000,1666666.000000000000,10930780.000000000000
FS( 34 ),2021865.999999999800,1669186.000000000200,1887676.000000000000,2060416.000000000000,1799876.000000000000,1666666.000000000000,11105690.000000000000
FS( 35 ),1999066.000000000000,1666666.000000000000,1921596.000000000200,2193766.000000000500,1782935.999999999800,1666666.000000000000,11230700.000000000000
FS( 36 ),1977466.000000000200,1653345.999999999800,1873896.000000000200,2146516.000000000500,1761376.000000000000,1666666.000000000000,11079270.000000000000
FS( 37 ),1981065.999999999800,1653345.999999999800,1853226.000000000000,2159115.999999999500,1761376.000000000000,1666666.000000000000,11074800.000000000000
FS( 38 ),1973866.000000000000,1663786.000000000000,1880786.000000000200,2111865.999999999500,1776006.000000000000,1666666.000000000000,11072980.000000000000
FS( 39 ),2009866.000000000000,1685026.000000000000,1956046.000000000500,2086666.000000000000,1797566.000000000000,1666666.000000000000,11201840.000000000000
FS( 40 ),2054266.000000000000,1690426.000000000000,1983606.000000000200,2193766.000000000500,1799876.000000000000,1666666.000000000000,11388610.000000000000
