代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12515987.141925000000
真實報酬,2515987.141924999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,45861.679842821708
風險,117598.390075502360
起點值,0.389985609611
找到最佳解世代,1750
找到最佳解實驗#,1
找到最佳解次數,29

投資組合檔數,7
1102(1)[25],2207(12)[2],2308(15)[4],2317(17)[3],2330(20)[5],2357(24)[1],9999(50)[47],
Stock#,1102(1)[25],2207(12)[2],2308(15)[4],2317(17)[3],2330(20)[5],2357(24)[1],9999(50)[47],
張數,60,12,24,32,23,9,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,21571.000000000000,30691.000000000233,40651.000000000000,38171.000000000000,271.000000000000,107461.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1449571.000000000000,1443451.000000000200,1442251.000000000000,1450651.000000000000,1441911.000000000000,1437840.999999999800,1428571.000000000000,10094250.000000000000
FS( 3 ),1453771.000000000000,1433611.000000000200,1442251.000000000000,1459291.000000000000,1443751.000000000000,1453231.000000000000,1428571.000000000000,10114480.000000000000
FS( 4 ),1466371.000000000000,1438531.000000000200,1455691.000000000000,1459291.000000000000,1447661.000000000000,1539181.000000000000,1428571.000000000000,10235300.000000000000
FS( 5 ),1449571.000000000000,1428571.000000000000,1477051.000000000000,1471131.000000000000,1440071.000000000000,1520821.000000000000,1428571.000000000000,10215790.000000000000
FS( 6 ),1451971.000000000000,1423651.000000000200,1481131.000000000000,1478171.000000000000,1440071.000000000000,1536121.000000000000,1428571.000000000000,10239690.000000000000
FS( 7 ),1474770.999999999800,1433611.000000000200,1508251.000000000000,1514011.000000000000,1457091.000000000200,1517761.000000000000,1428571.000000000000,10334070.000000000000
FS( 8 ),1474770.999999999800,1438531.000000000200,1508251.000000000000,1510491.000000000000,1457091.000000000200,1517761.000000000000,1428571.000000000000,10335470.000000000000
FS( 9 ),1493970.999999999800,1433611.000000000200,1529611.000000000000,1517211.000000000000,1466751.000000000000,1517761.000000000000,1428571.000000000000,10387490.000000000000
FS( 10 ),1498171.000000000000,1428571.000000000000,1552891.000000000000,1493531.000000000000,1476181.000000000000,1517761.000000000000,1428571.000000000000,10395680.000000000000
FS( 11 ),1481371.000000000000,1448491.000000000500,1549051.000000000000,1464411.000000000000,1434321.000000000000,1474741.000000000000,1428571.000000000000,10280960.000000000000
FS( 12 ),1491571.000000000000,1543051.000000000500,1560571.000000000000,1524251.000000000000,1440071.000000000000,1483921.000000000000,1428571.000000000000,10472010.000000000000
FS( 13 ),1499971.000000000000,1538011.000000000200,1591771.000000000000,1536091.000000000000,1461001.000000000000,1520821.000000000000,1428571.000000000000,10576240.000000000000
FS( 14 ),1523371.000000000200,1547971.000000000200,1552891.000000000000,1640411.000000000000,1499181.000000000000,1502371.000000000000,1428571.000000000000,10694770.000000000000
FS( 15 ),1516771.000000000000,1552891.000000000000,1525771.000000000200,1666011.000000000000,1495271.000000000000,1545391.000000000000,1428571.000000000000,10730680.000000000000
FS( 16 ),1495771.000000000000,1538011.000000000200,1525771.000000000200,1664091.000000000000,1466751.000000000000,1554571.000000000000,1428571.000000000000,10673540.000000000000
FS( 17 ),1510771.000000000000,1533091.000000000200,1613131.000000000000,1689691.000000000000,1462841.000000000200,1631431.000000000000,1428571.000000000000,10869530.000000000000
FS( 18 ),1531771.000000000000,1582771.000000000200,1589850.999999999800,1705371.000000000000,1451571.000000000000,1612981.000000000000,1428571.000000000000,10902890.000000000000
FS( 19 ),1533571.000000000000,1582771.000000000200,1574251.000000000000,1669211.000000000000,1457091.000000000200,1600651.000000000000,1428571.000000000000,10846120.000000000000
FS( 20 ),1533571.000000000000,1582771.000000000200,1593691.000000000000,1643611.000000000000,1474341.000000000200,1588411.000000000000,1428571.000000000000,10844970.000000000000
FS( 21 ),1533571.000000000000,1597771.000000000200,1585771.000000000000,1700251.000000000000,1474341.000000000200,1603711.000000000000,1428571.000000000000,10923990.000000000000
FS( 22 ),1542571.000000000000,1707211.000000000200,1636410.999999999800,1771931.000000000000,1476181.000000000000,1643671.000000000000,1428571.000000000000,11206550.000000000000
FS( 23 ),1533571.000000000000,1761931.000000000500,1671211.000000000000,1805851.000000000000,1485841.000000000200,1634491.000000000000,1428571.000000000000,11321470.000000000000
FS( 24 ),1544371.000000000000,1766851.000000000200,1591771.000000000000,1780251.000000000000,1464911.000000000000,1616041.000000000000,1428571.000000000000,11192770.000000000000
FS( 25 ),1559371.000000000000,1801651.000000000200,1572331.000000000000,1788891.000000000000,1459161.000000000000,1631431.000000000000,1428571.000000000000,11241410.000000000000
FS( 26 ),1546771.000000000000,1781731.000000000200,1566331.000000000000,1763291.000000000000,1472501.000000000000,1634491.000000000000,1428571.000000000000,11193690.000000000000
FS( 27 ),1565371.000000000000,1806691.000000000200,1556731.000000000000,1805851.000000000000,1495271.000000000000,1631431.000000000000,1428571.000000000000,11289920.000000000000
FS( 28 ),1559371.000000000000,1751971.000000000200,1552891.000000000000,1780251.000000000000,1495271.000000000000,1576081.000000000200,1428571.000000000000,11144410.000000000000
FS( 29 ),1569571.000000000000,1756891.000000000000,1576171.000000000000,1771931.000000000000,1523791.000000000000,1576081.000000000200,1428571.000000000000,11203010.000000000000
FS( 30 ),1577971.000000000000,1791691.000000000200,1570411.000000000000,1741211.000000000000,1523791.000000000000,1625220.999999999800,1428571.000000000000,11258870.000000000000
FS( 31 ),1571971.000000000000,1911091.000000000000,1568491.000000000000,1691611.000000000000,1523791.000000000000,1634491.000000000000,1428571.000000000000,11330020.000000000000
FS( 32 ),1588771.000000000000,1965811.000000000200,1583850.999999999800,1705371.000000000000,1518041.000000000000,1717381.000000000000,1428571.000000000000,11507800.000000000000
FS( 33 ),1576171.000000000000,1940971.000000000200,1609050.999999999800,1696731.000000000000,1487681.000000000000,1705141.000000000000,1428571.000000000000,11444320.000000000000
FS( 34 ),1586371.000000000000,1926091.000000000000,1601371.000000000000,1729051.000000000000,1506771.000000000000,1692811.000000000200,1428571.000000000000,11471040.000000000000
FS( 35 ),1607371.000000000000,2015611.000000000200,1609050.999999999800,1788891.000000000000,1544721.000000000000,1803421.000000000000,1428571.000000000000,11797640.000000000000
