代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10457745.384099999000
真實報酬,457745.384099999440

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24390.970421655089
風險,40598.210600063729
起點值,0.600789297389
找到最佳解世代,1698
找到最佳解實驗#,1
找到最佳解次數,36

投資組合檔數,13
1301(3)[16],1303(4)[6],2227(11)[22],2324(17)[17],2325(18)[8],2354(20)[3],2474(26)[7],2884(33)[5],2887(36)[30],2912(40)[4],3045(42)[14],3474(43)[9],9999(50)[26],
Stock#,1301(3)[16],1303(4)[6],2227(11)[22],2324(17)[17],2325(18)[8],2354(20)[3],2474(26)[7],2884(33)[5],2887(36)[30],2912(40)[4],3045(42)[14],3474(43)[9],9999(50)[26],
張數,11,14,2,44,23,12,3,66,76,4,9,30,-1,
分配資金,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,
剩餘資金,43120.000000000000,14490.000000000000,211190.000000000000,9350.000000000000,11610.000000000116,54390.000000000000,168329.999999999880,8910.000000000116,6950.000000000000,7190.000000000000,74970.000000000000,22230.000000000000,769230.000000000000,
FS( 1 ),769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10000000.000000000000
FS( 2 ),774070.000000000000,772730.000000000000,769230.000000000000,781550.000000000000,806950.000000000000,772230.000000000000,778649.999999999770,769230.000000000000,766950.000000000000,762110.000000000000,761220.000000000000,763230.000000000000,769230.000000000000,10047390.000000000000
FS( 3 ),776930.000000000000,772730.000000000000,789730.000000000000,779790.000000000000,791310.000000000000,771270.000000000000,785399.999999999770,769230.000000000000,769230.000000000000,769230.000000000000,761220.000000000000,767730.000000000000,769230.000000000000,10073040.000000000000
FS( 4 ),776930.000000000000,773850.000000000000,785330.000000000000,786830.000000000000,773830.000000000120,777150.000000000000,777299.999999999880,769230.000000000000,766950.000000000000,770990.000000000000,761220.000000000000,748230.000000000000,769230.000000000000,10037080.000000000000
FS( 5 ),780670.000000000000,773850.000000000000,797050.000000000000,785069.999999999880,791310.000000000000,792150.000000000000,775949.999999999880,773190.000000000120,780630.000000000000,776350.000000000000,765630.000000000000,746730.000000000000,769230.000000000000,10107820.000000000000
FS( 6 ),780670.000000000000,775110.000000000000,786810.000000000000,790350.000000000000,786710.000000000120,798150.000000000000,784049.999999999880,794310.000000000120,780630.000000000000,790590.000000000000,769230.000000000000,763230.000000000000,769230.000000000000,10169080.000000000000
FS( 7 ),780670.000000000000,784490.000000000000,779490.000000000000,804430.000000000000,802350.000000000120,795150.000000000000,777299.999999999880,800250.000000000120,788990.000000000000,797710.000000000000,773640.000000000000,773730.000000000000,769230.000000000000,10227440.000000000000
FS( 8 ),780670.000000000000,791630.000000000000,776550.000000000000,797390.000000000000,779350.000000000120,792150.000000000000,771929.999999999770,796290.000000000120,785950.000000000000,779910.000000000000,780930.000000000000,764730.000000000000,769230.000000000000,10166720.000000000000
FS( 9 ),780670.000000000000,795130.000000000000,770690.000000000000,790350.000000000000,775670.000000000120,803190.000000000000,769230.000000000000,796290.000000000120,783670.000000000000,783470.000000000000,776520.000000000120,755730.000000000000,769230.000000000000,10149850.000000000000
FS( 10 ),783530.000000000120,799750.000000000000,774350.000000000000,804430.000000000000,789470.000000000120,809070.000000000120,762480.000000000000,800250.000000000120,777590.000000000120,801270.000000000000,784530.000000000120,761730.000000000000,769230.000000000000,10217690.000000000000
