代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10228500.000000000000
真實報酬,228500.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11423.829658713379
風險,36895.148951955918
起點值,0.309629585006
找到最佳解世代,2604
找到最佳解實驗#,1
找到最佳解次數,26

投資組合檔數,2
2891(38)[1],9999(49)[8],
Stock#,2891(38)[1],9999(49)[8],
張數,285,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,15350.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4991450.000000000000,5000000.000000000000,9991450.000000000000
FS( 3 ),5065550.000000000000,5000000.000000000000,10065550.000000000000
FS( 4 ),4980050.000000000900,5000000.000000000000,9980050.000000000000
FS( 5 ),5045600.000000000000,5000000.000000000000,10045600.000000000000
FS( 6 ),5088350.000000000000,5000000.000000000000,10088350.000000000000
FS( 7 ),5022800.000000000000,5000000.000000000000,10022800.000000000000
FS( 8 ),5162449.999999999100,5000000.000000000000,10162450.000000000000
FS( 9 ),5096899.999999999100,5000000.000000000000,10096900.000000000000
FS( 10 ),5119700.000000000000,5000000.000000000000,10119700.000000000000
FS( 11 ),5151050.000000000000,5000000.000000000000,10151050.000000000000
FS( 12 ),5131100.000000000000,5000000.000000000000,10131100.000000000000
FS( 13 ),5139650.000000000000,5000000.000000000000,10139650.000000000000
FS( 14 ),5173850.000000000000,5000000.000000000000,10173850.000000000000
FS( 15 ),5225150.000000000000,5000000.000000000000,10225150.000000000000
FS( 16 ),5225150.000000000000,5000000.000000000000,10225150.000000000000
FS( 17 ),5162449.999999999100,5000000.000000000000,10162450.000000000000
FS( 18 ),5216600.000000000000,5000000.000000000000,10216600.000000000000
FS( 19 ),5236550.000000000000,5000000.000000000000,10236550.000000000000
FS( 20 ),5151050.000000000000,5000000.000000000000,10151050.000000000000
FS( 21 ),5225150.000000000000,5003350.000000000000,10228500.000000000000
