代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10391540.000000000000
真實報酬,391540.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19602.223978919606
風險,61392.324116596137
起點值,0.319294378589
找到最佳解世代,1569
找到最佳解實驗#,1
找到最佳解次數,43

投資組合檔數,5
2227(10)[2],2301(11)[17],2412(24)[7],2882(31)[3],2886(35)[1],
Stock#,2227(10)[2],2301(11)[17],2412(24)[7],2882(31)[3],2886(35)[1],
張數,9,59,23,48,98,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,40879.999999999767,2260.000000000000,45459.999999999767,8000.000000000000,5699.999999999767,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1982629.999999999800,2021829.999999999800,2000000.000000000000,2004320.000000000200,2024500.000000000000,10033280.000000000000
FS( 3 ),2017279.999999999500,2071390.000000000000,2000000.000000000000,1998080.000000000000,2016659.999999999800,10103410.000000000000
FS( 4 ),2010349.999999999800,2046610.000000000000,2000000.000000000000,1985120.000000000000,2003919.999999999800,10046000.000000000000
FS( 5 ),2117630.000000000000,2012390.000000000000,2000000.000000000000,2000000.000000000000,2024500.000000000000,10154520.000000000000
FS( 6 ),2114210.000000000000,1985250.000000000000,1984129.999999999800,2000000.000000000000,2007839.999999999500,10091430.000000000000
FS( 7 ),2086489.999999999800,2021829.999999999800,1986199.999999999500,2012480.000000000000,2007839.999999999500,10114839.999999998000
FS( 8 ),2093419.999999999800,1997640.000000000000,1986199.999999999500,2041759.999999999800,2012739.999999999800,10131760.000000000000
FS( 9 ),2069209.999999999800,2071390.000000000000,1990109.999999999500,2052320.000000000200,2056839.999999999500,10239870.000000000000
FS( 10 ),2062279.999999999500,2080829.999999999800,2010119.999999999800,2021120.000000000000,2041159.999999999800,10215509.999999998000
FS( 11 ),2024209.999999999800,2029500.000000000000,2000000.000000000000,2024960.000000000000,2032339.999999999500,10111010.000000000000
FS( 12 ),2034559.999999999800,2021829.999999999800,2008049.999999999800,2023040.000000000000,2045079.999999999500,10132559.999999998000
FS( 13 ),2062279.999999999500,2024190.000000000200,2011959.999999999800,2029280.000000000000,2094079.999999999500,10221790.000000000000
FS( 14 ),2107280.000000000000,2046610.000000000000,2020009.999999999800,2085920.000000000000,2113680.000000000000,10373500.000000000000
FS( 15 ),2131490.000000000000,2058999.999999999800,2022079.999999999800,2084000.000000000000,2098000.000000000000,10394570.000000000000
FS( 16 ),2117630.000000000000,2024190.000000000200,2016099.999999999800,2113279.999999999500,2113680.000000000000,10384880.000000000000
FS( 17 ),2186840.000000000000,2027140.000000000000,2034039.999999999800,2084000.000000000000,2109760.000000000000,10441780.000000000000
FS( 18 ),2166139.999999999100,1972860.000000000000,2029899.999999999800,2064800.000000000200,2081339.999999999500,10315039.999999998000
FS( 19 ),2173070.000000000000,2000000.000000000000,2035879.999999999800,2104640.000000000000,2081339.999999999500,10394930.000000000000
FS( 20 ),2173070.000000000000,2007079.999999999800,2029899.999999999800,2073440.000000000000,2045079.999999999500,10328570.000000000000
FS( 21 ),2128070.000000000000,2019469.999999999800,2029899.999999999800,2084000.000000000000,2094079.999999999500,10355520.000000000000
FS( 22 ),2138420.000000000000,2000000.000000000000,2029899.999999999800,2104640.000000000000,2118579.999999999100,10391540.000000000000
