代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10412333.333110001000
真實報酬,412333.333110000940

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,20256.533156368925
風險,48555.421714825607
起點值,0.417183754995
找到最佳解世代,2032
找到最佳解實驗#,2
找到最佳解次數,35

投資組合檔數,3
1301(3)[6],2886(35)[2],9999(49)[15],
Stock#,1301(3)[6],2886(35)[2],9999(49)[15],
張數,41,163,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,20533.000000000466,14653.000000000000,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3317753.000000000900,3325182.999999999500,3333333.000000000000,9976270.000000000000
FS( 3 ),3329233.000000000900,3401793.000000000500,3333333.000000000000,10064360.000000002000
FS( 4 ),3341123.000000000000,3387123.000000000500,3333333.000000000000,10061580.000000000000
FS( 5 ),3352603.000000000000,3395273.000000000000,3333333.000000000000,10081210.000000000000
FS( 6 ),3383763.000000000500,3486553.000000000000,3333333.000000000000,10203650.000000000000
FS( 7 ),3302173.000000000900,3401793.000000000500,3333333.000000000000,10037300.000000002000
FS( 8 ),3387863.000000000500,3540343.000000000000,3333333.000000000000,10261540.000000000000
FS( 9 ),3333333.000000000000,3540343.000000000000,3333333.000000000000,10207010.000000000000
FS( 10 ),3337023.000000000900,3595762.999999999500,3333333.000000000000,10266120.000000000000
FS( 11 ),3333333.000000000000,3595762.999999999500,3333333.000000000000,10262430.000000000000
FS( 12 ),3352603.000000000000,3564793.000000000500,3333333.000000000000,10250730.000000000000
FS( 13 ),3380073.000000000500,3556643.000000000500,3333333.000000000000,10270050.000000000000
FS( 14 ),3360393.000000000000,3511003.000000000000,3333333.000000000000,10204730.000000000000
FS( 15 ),3387863.000000000500,3571313.000000000000,3333333.000000000000,10292510.000000000000
FS( 16 ),3450183.000000000500,3595762.999999999500,3333333.000000000000,10379280.000000000000
FS( 17 ),3473553.000000000500,3533823.000000000000,3333333.000000000000,10340710.000000000000
FS( 18 ),3469453.000000000500,3587613.000000000500,3333333.000000000000,10390400.000000000000
FS( 19 ),3450183.000000000500,3564793.000000000500,3333333.000000000000,10348310.000000000000
FS( 20 ),3481343.000000000500,3587613.000000000500,3333333.000000000000,10402290.000000000000
FS( 21 ),3523983.000000000900,3556643.000000000500,3333333.000000000000,10413960.000000002000
FS( 22 ),3559243.000000000500,3517523.000000000000,3335566.333110000000,10412333.333110001000
