代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10311190.000000000000
真實報酬,311190.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18602.820855614973
風險,13545.091352565172
起點值,1.373399438321
找到最佳解世代,2248
找到最佳解實驗#,5
找到最佳解次數,13

投資組合檔數,8
2002(8)[7],2303(12)[22],2324(16)[19],2382(21)[5],2474(27)[29],3008(42)[1],3045(43)[24],4904(45)[4],
Stock#,2002(8)[7],2303(12)[22],2324(16)[19],2382(21)[5],2474(27)[29],3008(42)[1],3045(43)[24],4904(45)[4],
張數,52,113,71,21,5,0,12,18,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,21240.000000000000,7000.000000000000,2530.000000000000,47120.000000000000,156149.999999999770,1250000.000000000000,58160.000000000000,21680.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1262480.000000000000,1244350.000000000000,1250000.000000000000,1250000.000000000000,1242699.999999999800,1250000.000000000000,1272799.999999999800,1268720.000000000000,10041050.000000000000
FS( 3 ),1270280.000000000000,1250000.000000000000,1259940.000000000000,1250000.000000000000,1230599.999999999500,1250000.000000000000,1284200.000000000000,1277360.000000000000,10072380.000000000000
FS( 4 ),1262480.000000000000,1271470.000000000000,1256390.000000000000,1258190.000000000000,1237849.999999999800,1250000.000000000000,1267160.000000000000,1277360.000000000000,10080900.000000000000
FS( 5 ),1255200.000000000000,1271470.000000000000,1250000.000000000000,1282130.000000000000,1242699.999999999800,1250000.000000000000,1261400.000000000000,1275559.999999999800,10088460.000000000000
FS( 6 ),1255200.000000000000,1277120.000000000200,1252840.000000000000,1280240.000000000000,1237849.999999999800,1250000.000000000000,1261400.000000000000,1273939.999999999800,10088590.000000000000
FS( 7 ),1280160.000000000000,1277120.000000000200,1250000.000000000000,1310269.999999999800,1216049.999999999500,1250000.000000000000,1278560.000000000000,1275559.999999999800,10137720.000000000000
FS( 8 ),1282760.000000000000,1294070.000000000200,1239350.000000000200,1320140.000000000000,1196649.999999999800,1250000.000000000000,1272799.999999999800,1275559.999999999800,10131330.000000000000
FS( 9 ),1285360.000000000000,1294070.000000000200,1256390.000000000000,1330220.000000000200,1203899.999999999800,1250000.000000000000,1284200.000000000000,1284200.000000000000,10188340.000000000000
FS( 10 ),1272880.000000000000,1277120.000000000200,1273429.999999999800,1320140.000000000000,1218449.999999999800,1250000.000000000000,1278560.000000000000,1292660.000000000000,10183240.000000000000
FS( 11 ),1272880.000000000000,1277120.000000000200,1273429.999999999800,1322240.000000000000,1237849.999999999800,1250000.000000000000,1284200.000000000000,1287620.000000000000,10205340.000000000000
FS( 12 ),1282760.000000000000,1277120.000000000200,1269880.000000000200,1320140.000000000000,1230599.999999999500,1250000.000000000000,1278560.000000000000,1291040.000000000000,10200100.000000000000
FS( 13 ),1282760.000000000000,1271470.000000000000,1266330.000000000000,1330220.000000000200,1283949.999999999800,1250000.000000000000,1261400.000000000000,1291040.000000000000,10237170.000000000000
FS( 14 ),1282760.000000000000,1271470.000000000000,1262780.000000000000,1316150.000000000000,1332449.999999999800,1250000.000000000000,1255760.000000000000,1285820.000000000000,10257190.000000000000
FS( 15 ),1290560.000000000000,1266950.000000000000,1266330.000000000000,1320140.000000000000,1339749.999999999800,1250000.000000000000,1261400.000000000000,1296079.999999999800,10291210.000000000000
FS( 16 ),1292639.999999999800,1244350.000000000000,1262780.000000000000,1322240.000000000000,1393099.999999999500,1250000.000000000000,1250000.000000000000,1296079.999999999800,10311190.000000000000
