代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10388415.000000000000
真實報酬,388415.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19864.146341463416
風險,23047.503968474055
起點值,0.861878421569
找到最佳解世代,1834
找到最佳解實驗#,3
找到最佳解次數,22

投資組合檔數,4
1303(4)[1],2317(16)[2],2325(17)[13],9999(49)[21],
Stock#,1303(4)[1],2317(16)[2],2325(17)[13],9999(49)[21],
張數,43,32,54,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,8580.000000000000,61920.000000000000,40300.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2544720.000000000000,2509280.000000000000,2494600.000000000000,2500000.000000000000,10048600.000000000000
FS( 3 ),2536550.000000000000,2512480.000000000000,2512960.000000000000,2500000.000000000000,10061990.000000000000
FS( 4 ),2544720.000000000000,2530720.000000000000,2512960.000000000000,2500000.000000000000,10088400.000000000000
FS( 5 ),2561060.000000000000,2524640.000000000000,2515660.000000000000,2500000.000000000000,10101360.000000000000
FS( 6 ),2561060.000000000000,2558560.000000000000,2515660.000000000000,2500000.000000000000,10135280.000000000000
FS( 7 ),2568800.000000000000,2573920.000000000000,2518360.000000000000,2500000.000000000000,10161080.000000000000
FS( 8 ),2564930.000000000000,2580000.000000000000,2528619.999999999500,2500000.000000000000,10173550.000000000000
FS( 9 ),2564930.000000000000,2561760.000000000000,2518360.000000000000,2500000.000000000000,10145050.000000000000
FS( 10 ),2552890.000000000000,2583200.000000000000,2520520.000000000000,2500000.000000000000,10156610.000000000000
FS( 11 ),2585140.000000000000,2589280.000000000000,2525920.000000000000,2500000.000000000000,10200340.000000000000
FS( 12 ),2597180.000000000000,2598560.000000000000,2528619.999999999500,2500000.000000000000,10224360.000000000000
FS( 13 ),2641900.000000000000,2632480.000000000000,2525920.000000000000,2500000.000000000000,10300300.000000000000
FS( 14 ),2625560.000000000000,2657120.000000000000,2515660.000000000000,2500000.000000000000,10298340.000000000000
FS( 15 ),2621690.000000000000,2653920.000000000000,2515660.000000000000,2500000.000000000000,10291270.000000000000
FS( 16 ),2638030.000000000000,2700320.000000000000,2515660.000000000000,2500000.000000000000,10354010.000000000000
FS( 17 ),2653940.000000000000,2697120.000000000000,2510260.000000000000,2500000.000000000000,10361320.000000000000
FS( 18 ),2653940.000000000000,2691040.000000000000,2504860.000000000000,2500000.000000000000,10349840.000000000000
FS( 19 ),2662110.000000000000,2672480.000000000000,2504860.000000000000,2500000.000000000000,10339450.000000000000
FS( 20 ),2670280.000000000000,2687840.000000000000,2528619.999999999500,2501675.000000000000,10388415.000000000000
