代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11122890.000000000000
真實報酬,1122890.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,55630.755058894596
風險,46084.473788877607
起點值,1.207147450869
找到最佳解世代,1412
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,11
1216(2)[28],1303(4)[4],1722(7)[50],2002(8)[22],2308(12)[19],2311(13)[1],2382(22)[41],2448(25)[16],2801(28)[23],3481(43)[10],9904(48)[3],
Stock#,1216(2)[28],1303(4)[4],1722(7)[50],2002(8)[22],2308(12)[19],2311(13)[1],2382(22)[41],2448(25)[16],2801(28)[23],3481(43)[10],9904(48)[3],
張數,38,19,12,41,9,68,29,12,84,30,47,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,21789.999999999884,27110.000000000000,5370.000000000000,18570.000000000000,67140.000000000116,9450.000000000000,7480.000000000000,29610.000000000000,8610.000000000000,23789.999999999884,7630.000000000000,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),906430.000000000000,922010.000000000000,922770.000000000120,912370.000000000120,916020.000000000000,939690.000000000000,919820.000000000000,894330.000000000000,909090.000000000000,926489.999999999880,918020.000000000120,10087050.000000000000
FS( 3 ),900729.999999999770,919160.000000000120,900090.000000000000,916470.000000000000,912510.000000000230,956010.000000000000,935770.000000000000,917489.999999999880,928410.000000000000,988589.999999999880,921780.000000000000,10197020.000000000000
FS( 4 ),904149.999999999770,924860.000000000000,904530.000000000120,930000.000000000120,905580.000000000000,951930.000000000000,979270.000000000000,917489.999999999880,930930.000000000000,990090.000000000000,926949.999999999880,10265790.000000000000
FS( 5 ),903009.999999999880,931890.000000000000,891810.000000000000,959110.000000000120,905580.000000000000,958049.999999999880,999280.000000000120,905970.000000000000,924210.000000000000,988589.999999999880,932120.000000000120,10299630.000000000000
FS( 6 ),913649.999999999770,936260.000000000000,896370.000000000000,948860.000000000120,922950.000000000230,956010.000000000000,992320.000000000000,918570.000000000000,925890.000000000000,984690.000000000000,923190.000000000120,10318770.000000000000
FS( 7 ),905289.999999999880,937590.000000000000,900090.000000000000,945990.000000000120,909090.000000000000,943770.000000000000,986230.000000000000,921690.000000000000,911610.000000000000,1027889.999999999800,921780.000000000000,10311030.000000000000
FS( 8 ),922009.999999999880,950320.000000000000,876450.000000000000,951730.000000000120,912510.000000000230,962130.000000000000,973470.000000000000,984090.000000000000,924210.000000000000,1056090.000000000000,932120.000000000120,10445140.000000000000
FS( 9 ),942149.999999999770,980340.000000000000,884610.000000000000,961980.000000000120,933300.000000000120,973010.000000000000,979270.000000000000,985050.000000000000,958650.000000000120,1061490.000000000000,944340.000000000000,10604200.000000000000
FS( 10 ),939489.999999999770,975969.999999999880,897330.000000000000,965259.999999999880,926370.000000000120,1001570.000000000000,972600.000000000000,995610.000000000000,958650.000000000120,1042590.000000000000,934000.000000000000,10609450.000000000000
FS( 11 ),942149.999999999770,977490.000000000120,904530.000000000120,965259.999999999880,940230.000000000120,1001570.000000000000,987390.000000000000,999929.999999999880,962850.000000000000,1050689.999999999800,942930.000000000000,10675030.000000000000
FS( 12 ),938350.000000000000,978820.000000000000,898170.000000000120,960750.000000000120,940230.000000000120,997490.000000000000,981299.999999999880,978809.999999999880,958650.000000000120,1014390.000000000000,951860.000000000000,10598830.000000000000
FS( 13 ),944430.000000000000,983190.000000000000,897330.000000000000,959110.000000000120,940230.000000000120,1013810.000000000000,974340.000000000120,1017809.999999999900,988050.000000000000,1031789.999999999900,948100.000000000000,10698200.000000000000
FS( 14 ),956209.999999999880,988890.000000000000,900930.000000000000,972639.999999999880,950670.000000000120,1013810.000000000000,955490.000000000000,1027290.000000000100,999810.000000000000,1025190.000000000000,953270.000000000120,10744210.000000000000
FS( 15 ),956209.999999999880,993070.000000000000,896370.000000000000,972639.999999999880,957600.000000000120,1028090.000000000000,956650.000000000000,1058970.000000000000,993090.000000000000,1050689.999999999800,949980.000000000000,10813370.000000000000
FS( 16 ),959629.999999999880,994590.000000000000,898170.000000000120,971000.000000000120,967950.000000000230,1028090.000000000000,952590.000000000120,1106489.999999999800,1029210.000000000000,1091189.999999999500,942930.000000000000,10941850.000000000000
FS( 17 ),963049.999999999880,993070.000000000000,907290.000000000000,965259.999999999880,967950.000000000230,1017890.000000000000,946790.000000000120,1078050.000000000000,1036770.000000000100,1089990.000000000000,953270.000000000120,10919390.000000000000
FS( 18 ),985469.999999999880,998770.000000000000,902730.000000000000,971000.000000000120,957600.000000000120,1021970.000000000000,946790.000000000120,1047330.000000000000,1083810.000000000000,1111590.000000000000,971130.000000000000,10998200.000000000000
FS( 19 ),985469.999999999880,1000290.000000000000,905490.000000000120,968130.000000000120,971460.000000000120,1026049.999999999900,976369.999999999880,1066410.000000000200,1066170.000000000000,1125090.000000000000,969250.000000000000,11060190.000000000000
FS( 20 ),984329.999999999880,991740.000000000120,912810.000000000000,969360.000000000120,964530.000000000120,1052570.000000000000,1005079.999999999900,1067490.000000000000,1063650.000000000000,1161390.000000000000,976300.000000000000,11149260.000000000000
FS( 21 ),978629.999999999880,1000290.000000000000,891810.000000000000,968130.000000000120,971460.000000000120,1044410.000000000000,1013200.000000000000,1072770.000000000000,1036770.000000000100,1170990.000000000000,974420.000000000000,11122890.000000000000
