代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10525618.333110001000
真實報酬,525618.333110000940

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,35367.463706975817
風險,16186.119694898785
起點值,2.185048941540
找到最佳解世代,1881
找到最佳解實驗#,3
找到最佳解次數,5

投資組合檔數,12
1301(3)[1],1326(5)[7],2207(12)[32],2308(15)[5],2347(21)[28],2382(25)[31],2409(26)[13],2412(27)[48],3045(43)[49],3231(44)[4],4904(46)[51],9999(50)[42],
Stock#,1301(3)[1],1326(5)[7],2207(12)[32],2308(15)[5],2347(21)[28],2382(25)[31],2409(26)[13],2412(27)[48],3045(43)[49],3231(44)[4],4904(46)[51],9999(50)[42],
張數,13,13,7,14,16,18,73,11,12,37,19,-1,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,32273.000000000000,32662.999999999884,17903.000000000000,23713.000000000000,27893.000000000000,15053.000000000000,2593.000000000000,25823.000000000000,6293.000000000000,13413.000000000000,27353.000000000000,833333.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),835413.000000000000,840482.999999999880,842013.000000000000,841313.000000000000,837813.000000000000,832073.000000000000,845743.000000000120,835753.000000000000,835132.999999999880,853683.000000000000,833333.000000000000,833333.000000000000,10066090.000000000000
FS( 3 ),835413.000000000000,851662.999999999880,836273.000000000000,841313.000000000000,841013.000000000000,847733.000000000000,849393.000000000000,835753.000000000000,834172.999999999880,853683.000000000000,836183.000000000000,833333.000000000000,10095930.000000000000
FS( 4 ),843472.999999999880,855822.999999999880,839143.000000000000,849153.000000000000,844373.000000000000,857992.999999999880,852313.000000000000,835753.000000000000,838612.999999999880,871073.000000000000,834853.000000000000,833333.000000000000,10155900.000000000000
FS( 5 ),860633.000000000000,871032.999999999770,833333.000000000000,861613.000000000000,846613.000000000000,863213.000000000000,836253.000000000000,834983.000000000120,821933.000000000000,896603.000000000000,827633.000000000000,833333.000000000000,10187180.000000000000
FS( 6 ),862713.000000000000,869083.000000000000,830463.000000000000,863993.000000000120,846613.000000000000,863213.000000000000,833333.000000000000,827723.000000000120,825413.000000000120,907703.000000000120,827633.000000000000,833333.000000000000,10191220.000000000000
FS( 7 ),870773.000000000000,869083.000000000000,836273.000000000000,879813.000000000000,849973.000000000000,863213.000000000000,888083.000000000000,823653.000000000000,830693.000000000120,907703.000000000120,824783.000000000000,833333.000000000000,10277380.000000000000
FS( 8 ),862713.000000000000,864922.999999999880,839143.000000000000,879813.000000000000,849973.000000000000,870953.000000000000,926773.000000000120,827723.000000000120,832492.999999999880,909553.000000000000,800843.000000000000,833333.000000000000,10298240.000000000000
FS( 9 ),874803.000000000000,873112.999999999880,836273.000000000000,892273.000000000000,859893.000000000000,873653.000000000000,923853.000000000000,827723.000000000120,832492.999999999880,899933.000000000000,793623.000000000000,833333.000000000000,10320970.000000000000
FS( 10 ),881823.000000000000,874152.999999999880,833333.000000000000,905853.000000000000,868693.000000000000,873653.000000000000,901223.000000000000,827723.000000000120,839453.000000000120,903263.000000000000,803503.000000000000,833333.000000000000,10346010.000000000000
FS( 11 ),882863.000000000120,871032.999999999770,844953.000000000120,903613.000000000000,854293.000000000000,867173.000000000120,923853.000000000000,826843.000000000000,835132.999999999880,911773.000000000000,824783.000000000000,833333.000000000000,10379650.000000000000
FS( 12 ),883903.000000000120,868043.000000000000,900113.000000000000,910333.000000000000,854293.000000000000,857992.999999999880,969113.000000000000,811443.000000000000,830693.000000000120,907703.000000000120,806353.000000000000,833333.000000000000,10433320.000000000000
FS( 13 ),888973.000000000000,868043.000000000000,897173.000000000000,928532.999999999880,860853.000000000000,861953.000000000000,958893.000000000000,802533.000000000000,810533.000000000000,918433.000000000000,812052.999999999880,833333.000000000000,10441310.000000000000
FS( 14 ),903142.999999999880,878183.000000000000,902982.999999999880,905853.000000000000,848853.000000000000,847733.000000000000,1020942.999999999900,794503.000000000000,786892.999999999880,949513.000000000000,832003.000000000000,833333.000000000000,10503940.000000000000
FS( 15 ),904182.999999999880,898592.999999999880,905852.999999999880,890033.000000000000,832213.000000000000,834773.000000000000,1023863.000000000000,804953.000000000000,791213.000000000000,969863.000000000000,836183.000000000000,833891.333110000010,10525618.333110001000
