代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10747970.000000000000
真實報酬,747970.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,31766.063829787236
風險,48515.902102292923
起點值,0.654755707991
找到最佳解世代,2090
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1402(6)[14],2105(9)[8],2324(17)[1],2412(26)[2],2892(39)[6],
Stock#,1402(6)[14],2105(9)[8],2324(17)[1],2412(26)[2],2892(39)[6],
張數,79,30,149,26,183,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,8409.999999999767,2000.000000000233,6379.999999999767,7879.999999999767,3470.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2005530.000000000000,1997600.000000000200,2061089.999999999800,1997920.000000000000,2010980.000000000200,10073120.000000000000
FS( 3 ),1987359.999999999800,2000000.000000000000,2168370.000000000000,1995839.999999999500,2000000.000000000000,10151570.000000000000
FS( 4 ),1990519.999999999800,2008400.000000000000,2101320.000000000000,2002079.999999999800,1983530.000000000000,10085850.000000000000
FS( 5 ),2002369.999999999500,2023400.000000000000,2095359.999999999800,2024439.999999999800,1989020.000000000000,10134590.000000000000
FS( 6 ),1950229.999999999800,2034200.000000000000,2134100.000000000000,2014299.999999999800,1972550.000000000000,10105380.000000000000
FS( 7 ),1996839.999999999800,2042900.000000000200,2129630.000000000000,2028339.999999999500,2005490.000000000000,10203200.000000000000
FS( 8 ),2018169.999999999800,2092100.000000000200,2101320.000000000000,2028339.999999999500,2016470.000000000000,10256400.000000000000
FS( 9 ),2042659.999999999800,2079200.000000000000,2123670.000000000000,2036659.999999999800,2051240.000000000000,10333430.000000000000
FS( 10 ),2030019.999999999800,2077100.000000000200,2162410.000000000000,2040560.000000000000,2062220.000000000000,10372310.000000000000
FS( 11 ),2048979.999999999800,2049200.000000000000,2156450.000000000000,2038739.999999999800,2073200.000000000000,10366570.000000000000
FS( 12 ),2055299.999999999800,2068399.999999999800,2168370.000000000000,2036659.999999999800,2073200.000000000000,10401930.000000000000
FS( 13 ),2055299.999999999800,2092100.000000000200,2174330.000000000000,2056939.999999999800,2084180.000000000000,10462850.000000000000
FS( 14 ),2057670.000000000000,2075000.000000000200,2156450.000000000000,2063439.999999999800,2091500.000000000200,10444060.000000000000
FS( 15 ),2067149.999999999500,2077100.000000000200,2134100.000000000000,2059019.999999999500,2078689.999999999800,10416060.000000000000
FS( 16 ),2067149.999999999500,2111300.000000000000,2168370.000000000000,2080599.999999999500,2091500.000000000200,10518920.000000000000
FS( 17 ),2110600.000000000000,2105000.000000000000,2247340.000000000000,2085019.999999999500,2107970.000000000000,10655930.000000000000
FS( 18 ),2070309.999999999800,2075000.000000000200,2298000.000000000000,2065519.999999999500,2113460.000000000000,10622290.000000000000
FS( 19 ),2088479.999999999500,2062100.000000000200,2275650.000000000000,2061359.999999999800,2113460.000000000000,10601050.000000000000
FS( 20 ),2094799.999999999500,2060000.000000000200,2257770.000000000000,2061359.999999999800,2118950.000000000000,10592880.000000000000
FS( 21 ),2085319.999999999500,2092100.000000000200,2263730.000000000000,2063439.999999999800,2107970.000000000000,10612560.000000000000
FS( 22 ),2088479.999999999500,2092100.000000000200,2269690.000000000000,2059019.999999999500,2107970.000000000000,10617260.000000000000
FS( 23 ),2088479.999999999500,2135000.000000000000,2348660.000000000000,2067859.999999999800,2107970.000000000000,10747970.000000000000
