代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10426795.000000000000
真實報酬,426795.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,20135.452961672472
風險,63653.433130566431
起點值,0.316329410236
找到最佳解世代,1212
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1303(4)[4],2330(17)[1],2347(18)[15],9999(49)[11],
Stock#,1303(4)[4],2330(17)[1],2347(18)[15],9999(49)[11],
張數,45,44,48,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,53800.000000000000,16640.000000000466,23680.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2493250.000000000000,2503520.000000000500,2506240.000000000000,2500000.000000000000,10003010.000000000000
FS( 3 ),2463100.000000000000,2454680.000000000500,2522079.999999999500,2500000.000000000000,9939860.000000000000
FS( 4 ),2476600.000000000000,2496480.000000000500,2474079.999999999500,2500000.000000000000,9947160.000000000000
FS( 5 ),2456350.000000000000,2548840.000000000500,2519200.000000000000,2500000.000000000000,10024390.000000000000
FS( 6 ),2463100.000000000000,2608240.000000000500,2550880.000000000000,2500000.000000000000,10122220.000000000000
FS( 7 ),2496850.000000000000,2618800.000000000500,2525439.999999999500,2500000.000000000000,10141090.000000000000
FS( 8 ),2500000.000000000000,2632440.000000000500,2515840.000000000000,2500000.000000000000,10148280.000000000000
FS( 9 ),2500000.000000000000,2622320.000000000500,2522079.999999999500,2500000.000000000000,10144400.000000000000
FS( 10 ),2509900.000000000000,2628920.000000000000,2519200.000000000000,2500000.000000000000,10158020.000000000000
FS( 11 ),2523400.000000000000,2664120.000000000500,2502880.000000000000,2500000.000000000000,10190400.000000000000
FS( 12 ),2574250.000000000000,2698880.000000000900,2496640.000000000000,2500000.000000000000,10269770.000000000000
FS( 13 ),2681800.000000000000,2740680.000000000500,2512480.000000000000,2500000.000000000000,10434960.000000000000
FS( 14 ),2681800.000000000000,2684800.000000000500,2461600.000000000000,2500000.000000000000,10328200.000000000000
FS( 15 ),2661550.000000000000,2622320.000000000500,2464480.000000000000,2500000.000000000000,10248350.000000000000
FS( 16 ),2681800.000000000000,2646520.000000000500,2500000.000000000000,2500000.000000000000,10328320.000000000000
FS( 17 ),2705650.000000000000,2635960.000000000500,2500000.000000000000,2500000.000000000000,10341610.000000000000
FS( 18 ),2712400.000000000000,2622320.000000000500,2512480.000000000000,2500000.000000000000,10347200.000000000000
FS( 19 ),2715550.000000000000,2643000.000000000000,2515840.000000000000,2500000.000000000000,10374390.000000000000
FS( 20 ),2766400.000000000000,2681280.000000000900,2477439.999999999500,2501675.000000000000,10426795.000000000000
