代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10450810.000000000000
真實報酬,450810.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18523.667984189728
風險,78836.698751757984
起點值,0.234962501950
找到最佳解世代,1756
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1101(0)[1],3008(42)[5],
Stock#,1101(0)[1],3008(42)[5],
張數,178,9,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,3540.000000000000,40910.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4971520.000000000900,5142199.999999999100,10113720.000000000000
FS( 3 ),4950160.000000000000,5158940.000000000000,10109100.000000000000
FS( 4 ),5033820.000000000900,5142199.999999999100,10176020.000000000000
FS( 5 ),5048059.999999999100,5267660.000000000000,10315720.000000000000
FS( 6 ),5048059.999999999100,5158940.000000000000,10207000.000000000000
FS( 7 ),5103240.000000000000,5075330.000000000000,10178570.000000000000
FS( 8 ),5000000.000000000000,5150570.000000000000,10150570.000000000000
FS( 9 ),4923460.000000000000,5158940.000000000000,10082400.000000000000
FS( 10 ),5033820.000000000900,5167310.000000000900,10201130.000000002000
FS( 11 ),5096120.000000000000,5200699.999999999100,10296820.000000000000
FS( 12 ),5131719.999999999100,5125460.000000000000,10257180.000000000000
FS( 13 ),5117480.000000000900,5150570.000000000000,10268050.000000000000
FS( 14 ),5229620.000000000000,5100350.000000000000,10329970.000000000000
FS( 15 ),5256320.000000000900,5025110.000000000000,10281430.000000000000
FS( 16 ),5229620.000000000000,5000000.000000000000,10229620.000000000000
FS( 17 ),5236740.000000000000,4991630.000000000000,10228370.000000000000
FS( 18 ),5277679.999999999100,5016740.000000000000,10294420.000000000000
FS( 19 ),5069420.000000000000,5192330.000000000000,10261750.000000000000
FS( 20 ),5138840.000000000000,5142199.999999999100,10281040.000000000000
FS( 21 ),5201139.999999999100,5225810.000000000900,10426950.000000000000
FS( 22 ),5208259.999999999100,5242550.000000000000,10450810.000000000000
