代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10720456.666220000000
真實報酬,720456.666220000010

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,37249.495931846694
風險,67215.577139459710
起點值,0.554179514885
找到最佳解世代,2147
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
2301(11)[6],2325(16)[13],2454(25)[7],4904(44)[3],4938(45)[9],9999(49)[24],
Stock#,2301(11)[6],2325(16)[13],2454(25)[7],4904(44)[3],4938(45)[9],9999(49)[24],
張數,53,41,4,27,26,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,18365.999999999767,27486.000000000233,60866.000000000000,23986.000000000000,34646.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1638045.999999999500,1649856.000000000500,1652786.000000000000,1638856.000000000200,1626886.000000000000,1666666.000000000000,9873100.000000000000
FS( 3 ),1668785.999999999800,1632636.000000000000,1751826.000000000000,1655056.000000000000,1609206.000000000000,1666666.000000000000,9984180.000000000000
FS( 4 ),1688925.999999999800,1661746.000000000200,1746626.000000000000,1710945.999999999800,1697606.000000000000,1666666.000000000000,10172520.000000000000
FS( 5 ),1684686.000000000000,1653136.000000000000,1757066.000000000000,1724986.000000000000,1719706.000000000000,1666666.000000000000,10206250.000000000000
FS( 6 ),1668785.999999999800,1646576.000000000500,1757066.000000000000,1806256.000000000200,1686686.000000000000,1666666.000000000000,10232040.000000000000
FS( 7 ),1726555.999999999500,1642886.000000000000,1739666.000000000000,1801666.000000000000,1710866.000000000000,1666666.000000000000,10288310.000000000000
FS( 8 ),1759945.999999999800,1660106.000000000500,1757066.000000000000,1790056.000000000000,1677846.000000000000,1666666.000000000000,10311690.000000000000
FS( 9 ),1744045.999999999800,1660106.000000000500,1750106.000000000000,1768995.999999999800,1695526.000000000000,1666666.000000000000,10285450.000000000000
FS( 10 ),1737685.999999999800,1642886.000000000000,1713626.000000000000,1785465.999999999800,1713206.000000000000,1666666.000000000000,10259540.000000000000
FS( 11 ),1744045.999999999800,1658466.000000000200,1753586.000000000000,1780875.999999999800,1737385.999999999800,1666666.000000000000,10341030.000000000000
FS( 12 ),1773195.999999999800,1665026.000000000200,1764026.000000000000,1771426.000000000000,1823446.000000000000,1666666.000000000000,10463790.000000000000
FS( 13 ),1753055.999999999500,1700696.000000000200,1776186.000000000000,1815706.000000000000,1788086.000000000000,1666666.000000000000,10500400.000000000000
FS( 14 ),1746166.000000000000,1744976.000000000200,1783106.000000000000,1815706.000000000000,1781586.000000000000,1666666.000000000000,10538210.000000000000
FS( 15 ),1744045.999999999800,1795816.000000000500,1779666.000000000000,1817865.999999999800,1779246.000000000000,1666666.000000000000,10583310.000000000000
FS( 16 ),1759945.999999999800,1795816.000000000500,1812666.000000000000,1817865.999999999800,1792506.000000000000,1666666.000000000000,10645470.000000000000
FS( 17 ),1757295.999999999800,1799506.000000000200,1805706.000000000000,1815706.000000000000,1792506.000000000000,1666666.000000000000,10637390.000000000000
FS( 18 ),1757295.999999999800,1813036.000000000200,1805706.000000000000,1813276.000000000000,1889746.000000000000,1666666.000000000000,10745730.000000000000
FS( 19 ),1744045.999999999800,1809756.000000000200,1790066.000000000000,1820296.000000000000,1869986.000000000200,1666666.000000000000,10700820.000000000000
FS( 20 ),1744045.999999999800,1836816.000000000500,1739666.000000000000,1820296.000000000000,1911846.000000000000,1667782.666220000000,10720456.666220000000
