代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10689880.000000000000
真實報酬,689880.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,30109.010175763182
風險,18666.344701153459
起點值,1.613010509439
找到最佳解世代,1801
找到最佳解實驗#,20
找到最佳解次數,3

投資組合檔數,12
1101(0)[31],1326(5)[3],2002(8)[1],2301(10)[46],2347(18)[28],2354(20)[9],2409(23)[43],2883(32)[17],3474(42)[26],6505(46)[2],8046(47)[30],9904(48)[40],
Stock#,1101(0)[31],1326(5)[3],2002(8)[1],2301(10)[46],2347(18)[28],2354(20)[9],2409(23)[43],2883(32)[17],3474(42)[26],6505(46)[2],8046(47)[30],9904(48)[40],
張數,36,12,37,32,16,11,31,123,61,11,9,38,
FS( 9 ),853493.000000000000,857933.000000000230,846653.000000000000,818933.000000000000,890933.000000000000,848623.000000000120,843872.999999999880,833333.000000000000,900433.000000000230,861053.000000000000,870773.000000000000,833333.000000000000,10259370.000000000000
FS( 10 ),845933.000000000000,865733.000000000000,850353.000000000120,813813.000000000000,881333.000000000000,902303.000000000120,834573.000000000000,830873.000000000120,903483.000000000120,875352.999999999880,855833.000000000000,842073.000000000120,10301660.000000000000
FS( 11 ),853493.000000000000,891173.000000000120,854423.000000000000,805813.000000000000,868533.000000000000,906153.000000000120,843872.999999999880,853013.000000000120,879083.000000000000,881623.000000000000,852053.000000000000,844733.000000000120,10333970.000000000000
FS( 12 ),845933.000000000000,889373.000000000120,854423.000000000000,796533.000000000000,858933.000000000000,932883.000000000120,854722.999999999770,896063.000000000000,863833.000000000000,875352.999999999880,855833.000000000000,844733.000000000120,10368620.000000000000
FS( 13 ),853493.000000000000,890333.000000000000,861083.000000000000,806773.000000000000,862133.000000000000,944433.000000000120,843872.999999999880,903443.000000000000,866883.000000000120,884263.000000000000,855833.000000000000,840552.999999999880,10413100.000000000000
FS( 14 ),844493.000000000000,878093.000000000120,868853.000000000120,816053.000000000000,870773.000000000000,955873.000000000120,831782.999999999880,888683.000000000000,866883.000000000120,881623.000000000000,863303.000000000000,830673.000000000000,10397090.000000000000
FS( 15 ),848453.000000000000,874493.000000000120,875513.000000000000,815093.000000000000,868533.000000000000,959723.000000000120,834573.000000000000,924353.000000000000,872983.000000000120,890533.000000000120,882023.000000000000,834853.000000000000,10481130.000000000000
FS( 16 ),848453.000000000000,874493.000000000120,874403.000000000000,818933.000000000000,863253.000000000000,963573.000000000120,829302.999999999880,924353.000000000000,888233.000000000120,891413.000000000120,867083.000000000000,836372.999999999880,10479870.000000000000
FS( 17 ),863933.000000000000,883253.000000000230,870333.000000000000,817013.000000000000,862133.000000000000,975013.000000000230,833333.000000000000,924353.000000000000,897383.000000000120,913743.000000000000,855833.000000000000,837513.000000000000,10533840.000000000000
FS( 18 ),847372.999999999880,885053.000000000120,871813.000000000000,817973.000000000000,853653.000000000000,971273.000000000230,831782.999999999880,947723.000000000000,876033.000000000120,908463.000000000000,859523.000000000000,842073.000000000120,10512740.000000000000
FS( 19 ),838372.999999999880,885893.000000000120,875513.000000000000,818933.000000000000,848213.000000000000,971273.000000000230,825272.999999999880,1011682.999999999900,869933.000000000230,935193.000000000000,848273.000000000000,842073.000000000120,10570630.000000000000
FS( 20 ),834413.000000000000,890333.000000000000,874403.000000000000,821173.000000000000,847253.000000000000,944433.000000000120,826512.999999999880,1043663.000000000100,885183.000000000230,930793.000000000000,855833.000000000000,842073.000000000120,10596070.000000000000
FS( 21 ),839453.000000000000,890333.000000000000,872923.000000000000,818933.000000000000,855733.000000000000,921443.000000000120,821242.999999999880,1111313.000000000000,872983.000000000120,935193.000000000000,840803.000000000000,839033.000000000000,10619390.000000000000
FS( 22 ),839453.000000000000,894653.000000000120,876993.000000000000,823093.000000000000,848213.000000000000,944433.000000000120,825272.999999999880,1116233.000000000000,866883.000000000120,948613.000000000000,844583.000000000000,842073.000000000120,10670500.000000000000
FS( 23 ),848453.000000000000,897293.000000000230,890313.000000000000,818933.000000000000,855733.000000000000,948283.000000000120,825272.999999999880,1175272.999999999800,863833.000000000000,952243.000000000000,829553.000000000000,784693.000000000000,10689880.000000000000
