代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10468180.000000000000
真實報酬,468180.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17435.004530353326
風險,68671.697980814366
起點值,0.253889230105
找到最佳解世代,1650
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2412(24)[1],2881(31)[3],
Stock#,2412(24)[1],2881(31)[3],
張數,75,169,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,38000.000000000000,28019.999999999069,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5031500.000000000000,4993239.999999999100,10024740.000000000000
FS( 3 ),5078749.999999999100,5011829.999999998100,10090579.999999996000
FS( 4 ),5168000.000000000000,5016899.999999999100,10184900.000000000000
FS( 5 ),5168000.000000000000,4988170.000000000000,10156170.000000000000
FS( 6 ),5126000.000000000000,4976340.000000000000,10102340.000000000000
FS( 7 ),5115500.000000000000,4957750.000000000000,10073250.000000000000
FS( 8 ),5168000.000000000000,4874939.999999999100,10042940.000000000000
FS( 9 ),5209999.999999999100,4881699.999999998100,10091699.999999996000
FS( 10 ),5251250.000000000000,4940849.999999999100,10192100.000000000000
FS( 11 ),5230250.000000000000,4910429.999999999100,10140680.000000000000
FS( 12 ),5230250.000000000000,4969579.999999998100,10199829.999999998000
FS( 13 ),5162750.000000000000,5005069.999999999100,10167820.000000000000
FS( 14 ),5219750.000000000000,5087880.000000000000,10307630.000000000000
FS( 15 ),5194250.000000000000,5189279.999999999100,10383530.000000000000
FS( 16 ),5204750.000000000000,5123369.999999998100,10328119.999999998000
FS( 17 ),5189000.000000000900,5094639.999999999100,10283640.000000000000
FS( 18 ),5147000.000000000000,5130130.000000000000,10277130.000000000000
FS( 19 ),5131250.000000000000,5047319.999999999100,10178570.000000000000
FS( 20 ),5194250.000000000000,5165619.999999998100,10359869.999999998000
FS( 21 ),5219750.000000000000,5248429.999999999100,10468180.000000000000
