代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10697800.000000000000
真實報酬,697800.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,33301.965156794446
風險,63177.513767366188
起點值,0.527117374062
找到最佳解世代,1554
找到最佳解實驗#,4
找到最佳解次數,7

投資組合檔數,2
1216(2)[1],2412(27)[2],
Stock#,1216(2)[1],2412(27)[2],
張數,142,70,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,14380.000000000000,69200.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4990060.000000000000,4995100.000000000900,9985160.000000000000
FS( 3 ),4953140.000000000000,4995100.000000000900,9948240.000000000000
FS( 4 ),5073840.000000000000,5016800.000000000000,10090640.000000000000
FS( 5 ),5048280.000000000900,5022400.000000000900,10070680.000000002000
FS( 6 ),5137740.000000000000,5027299.999999999100,10165040.000000000000
FS( 7 ),5137740.000000000000,5027299.999999999100,10165040.000000000000
FS( 8 ),5174660.000000000900,5044100.000000000000,10218760.000000000000
FS( 9 ),5237140.000000000000,5044100.000000000000,10281240.000000000000
FS( 10 ),5332280.000000000900,5104300.000000000000,10436580.000000000000
FS( 11 ),5279740.000000000000,5131600.000000000000,10411340.000000000000
FS( 12 ),5310979.999999999100,5131600.000000000000,10442580.000000000000
FS( 13 ),5343640.000000000000,5170100.000000000900,10513740.000000000000
FS( 14 ),5301040.000000000000,5131600.000000000000,10432640.000000000000
FS( 15 ),5301040.000000000000,5158900.000000000000,10459940.000000000000
FS( 16 ),5322340.000000000000,5153299.999999999100,10475640.000000000000
FS( 17 ),5384820.000000000000,5170100.000000000900,10554920.000000000000
FS( 18 ),5458660.000000000900,5170100.000000000900,10628760.000000002000
FS( 19 ),5458660.000000000900,5197400.000000000900,10656060.000000002000
FS( 20 ),5489900.000000000000,5207900.000000000000,10697800.000000000000
